DATE,GNP,CONSUMP,INVEST,EXPORTS,GOVT
1976-01-01,1730.9,1091.8,264.6,23.6,350.9
1976-04-01,1761.8,1111.2,275.8,20.0,354.9
1976-07-01,1794.7,1139.8,279.6,17.0,358.2
1976-10-01,1843.7,1174.6,290.6,14.7,363.8
1977-01-01,1899.1,1211.8,311.5,4.0,371.8
1977-04-01,1968.9,1239.2,341.4,4.2,384.1
1977-07-01,2031.6,1270.2,363.7,5.3,392.3
1977-10-01,2062.4,1307.6,359.6,-5.9,401.1
1978-01-01,2111.4,1332.6,379.7,-6.6,405.6
1978-04-01,2230.3,1391.1,420.2,1.3,417.6
1978-07-01,2289.5,1424.6,424.7,6.8,433.4
1978-10-01,2367.6,1465.7,442.7,15.0,444.2
1979-01-01,2420.5,1501.8,446.9,22.7,449.2
1979-04-01,2474.5,1537.6,463.2,15.2,458.6
1979-07-01,2546.1,1590.0,461.5,21.8,472.8
1979-10-01,2591.5,1637.5,447.8,15.4,490.7
1980-01-01,2673.0,1682.2,461.0,20.7,509.1
1980-04-01,2672.2,1688.9,425.0,30.1,528.2
1980-07-01,2734.0,1749.3,405.4,46.8,532.6
1980-10-01,2848.6,1810.0,456.4,30.8,551.4
1981-01-01,2978.8,1862.9,506.9,38.9,570.1
1981-04-01,3017.7,1896.4,515.3,29.0,577.0
1981-07-01,3099.6,1940.9,535.9,30.9,591.9
1981-10-01,3114.4,1960.2,504.0,36.9,613.3
1982-01-01,3112.6,1996.3,459.5,34.7,622.1
1982-04-01,3159.5,2023.8,467.8,42.1,625.7
1982-07-01,3179.4,2065.6,452.2,14.5,647.1
1982-10-01,3212.5,2117.0,409.6,14.1,671.8
1983-01-01,3265.8,2146.6,428.3,22.7,668.1
1983-04-01,3367.4,2213.0,481.3,-2.1,675.2
1983-07-01,3443.9,2262.8,519.7,-19.3,680.7
1983-10-01,3545.8,2315.8,579.8,-25.8,676.1
1984-01-01,3674.9,2361.1,663.0,-45.7,696.5
1984-04-01,3754.2,2417.0,664.2,-62.8,735.8
1984-07-01,3807.9,2450.3,670.3,-59.3,746.6
1984-10-01,3851.8,2493.4,661.8,-67.9,764.5
1985-01-01,3925.6,2554.9,639.3,-53.1,784.4
1985-04-01,3979.0,2599.3,652.3,-74.3,801.7
1985-07-01,4047.0,2661.4,626.7,-81.2,840.2
1985-10-01,4107.9,2700.4,654.1,-103.2,856.7
1986-01-01,4181.3,2734.3,683.8,-87.1,850.3
1986-04-01,4194.7,2761.0,657.2,-92.7,869.3
1986-07-01,4253.3,2826.0,647.7,-100.8,880.3
1986-10-01,4297.3,2868.5,648.8,-108.9,888.9
1987-01-01,4391.6,2919.5,676.7,-109.1,904.5
1987-04-01,4471.6,2987.2,689.5,-115.8,910.7
1987-07-01,4551.7,3051.6,690.6,-119.0,928.5
1987-10-01,4647.6,3079.1,741.4,-115.0,942.0
1988-01-01,4735.8,3147.7,729.2,-82.0,940.9
1988-04-01,4831.4,3204.3,746.0,-74.3,955.4
1988-07-01,4917.9,3268.2,765.6,-69.6,953.8
1988-10-01,5009.8,3332.6,747.5,-70.3,1000.0
1989-01-01,5101.3,3371.7,769.7,-48.5,1008.5
1989-04-01,5174.0,3425.9,776.7,-51.3,1022.7
1989-07-01,5238.6,3484.3,775.8,-49.3,1027.8
1989-10-01,5289.3,3518.5,762.7,-35.3,1043.3
1990-01-01,5375.4,3588.1,747.2,-30.0,1070.1
1990-04-01,5443.3,3622.7,759.0,-24.9,1086.4
1990-07-01,5514.4,3700.6,759.6,-49.2,1103.4
1990-10-01,5527.3,3724.9,698.3,-28.8,1132.9
1991-01-01,5557.7,3742.8,660.0,13.5,1141.5
1991-04-01,5612.4,3789.0,654.0,18.1,1151.3
