Width,Length,Depth
7.0,5.5,-8.6873106743206
7.0,6.0,-4.99999999999999
7.0,6.5,0.0
7.0,7.0,-1.4752983097386001e-16
7.5,0.0,0.0
7.5,0.5,0.0
7.5,1.0,0.0
7.5,1.5,-2.93114686428283
7.5,2.0,-15.9787274914597
7.5,2.5,-22.5636359634184
7.5,3.0,-25.8344224022034
7.5,3.5,-25.92211170935
7.5,4.0,-25.9851088477966
7.5,4.5,-23.738333965805
7.5,5.0,-19.2717529500411
7.5,5.5,-10.3938780636304
7.5,6.0,-5.77172400084442
7.5,6.5,-0.53345595273984
7.5,7.0,-2.9750507613002005e-16
8.0,0.0,0.0
8.0,0.5,0.0
8.0,1.0,0.0
8.0,1.5,-1.03206846842612
8.0,2.0,-5.00000000000001
8.0,2.5,-11.7123010969633
8.0,3.0,-20.0
8.0,3.5,-22.2728466715365
8.0,4.0,-20.0
8.0,4.5,-20.6696821835943
8.0,5.0,-20.0
8.0,5.5,-12.9242600653669
8.0,6.0,-5.0
8.0,6.5,-1.7763568394002e-15
8.0,7.0,-1.8743155064496002e-16
8.5,0.0,0.0
8.5,0.5,0.0
8.5,1.0,0.0
8.5,1.5,0.0
8.5,2.0,-1.00338562915381
8.5,2.5,-7.57985278577176
8.5,3.0,-15.3685544722464
8.5,3.5,-17.3065718056362
8.5,4.0,-15.5329791060883
8.5,4.5,-13.8347095529364
8.5,5.0,-15.5840542894355
8.5,5.5,-8.79798014203842
8.5,6.0,-2.09814258584149
8.5,6.5,0.0
8.5,7.0,-0.03734191669178
9.0,0.0,0.0
9.0,0.5,0.0
9.0,1.0,0.0
9.0,1.5,0.0
9.0,2.0,0.0
9.0,2.5,-5.18359640909304
9.0,3.0,-10.0
9.0,3.5,-10.570317665346
9.0,4.0,-10.0
9.0,4.5,-10.30708322803
9.0,5.0,-10.0
9.0,5.5,-5.14973967178928
9.0,6.0,-1.1102230246251001e-15
9.0,6.5,0.0
9.0,7.0,-5.0038407292868e-15
9.5,0.0,0.0
9.5,0.5,0.0
9.5,1.0,0.0
9.5,1.5,0.0
9.5,2.0,0.0
9.5,2.5,-0.55132585546183
9.5,3.0,-2.3092638912203e-14
9.5,3.5,0.0
9.5,4.0,-1.4876988529977e-14
9.5,4.5,0.0
9.5,5.0,-2.2648549702353e-14
9.5,5.5,-0.98886928795241
9.5,6.0,0.0
9.5,6.5,0.0
9.5,7.0,0.0
10.0,0.0,0.0
10.0,0.5,0.0
10.0,1.0,0.0
10.0,1.5,-0.01654896862856
10.0,2.0,-6.9388939039072e-17
10.0,2.5,0.0
10.0,3.0,-1.9317880628477e-14
10.0,3.5,-0.08847584894183
10.0,4.0,-1.5765166949677e-14
10.0,4.5,-0.01330633228753
10.0,5.0,-1.4210854715201e-14
10.0,5.5,-0.17800503147875
10.0,6.0,0.0
10.0,6.5,0.0
10.0,7.0,0.0
