units_1,units_2,units_3,units_4,units_5,units_6,units_7,units_8,units_9,units_10,units_11,units_12,units_13,units_14,units_15,units_16,units_17,units_18,units_19,units_20,units_21,units_22,units_23,units_24,cycle
39.0,51.0,37.0,13.0,889.0,23.0,11.0,19.0,28.0,120.0,76.0,11.0,28.0,39.0,3.0,16.0,11.0,14.0,86.0,86.0,86.0,63.0,39.0,86.0,33.0
41.0,43.0,40.0,16.0,1083.0,28.0,13.0,22.0,28.0,97.0,62.0,13.0,22.0,41.0,3.0,19.0,13.0,18.0,61.0,61.0,61.0,46.0,41.0,61.0,34.0
23.0,50.0,23.0,15.0,1110.0,18.0,13.0,25.0,32.0,118.0,73.0,12.0,28.0,23.0,2.0,19.0,13.0,17.0,66.0,66.0,66.0,49.0,23.0,66.0,35.0
33.0,80.0,33.0,10.0,803.0,19.0,7.0,32.0,20.0,185.0,116.0,7.0,43.0,33.0,7.0,11.0,7.0,11.0,39.0,39.0,39.0,28.0,33.0,39.0,36.0
33.0,63.0,33.0,14.0,828.0,21.0,12.0,33.0,20.0,146.0,91.0,12.0,34.0,33.0,9.0,18.0,12.0,16.0,56.0,56.0,56.0,42.0,33.0,56.0,37.0
40.0,68.0,40.0,11.0,1001.0,20.0,9.0,29.0,25.0,157.0,97.0,9.0,35.0,40.0,11.0,14.0,9.0,13.0,54.0,54.0,54.0,41.0,40.0,54.0,38.0
25.0,80.0,24.0,20.0,1281.0,13.0,16.0,32.0,23.0,181.0,113.0,16.0,43.0,25.0,3.0,22.0,16.0,21.0,65.0,65.0,65.0,48.0,25.0,65.0,39.0
27.0,68.0,27.0,24.0,918.0,20.0,20.0,32.0,14.0,155.0,96.0,20.0,35.0,27.0,1.0,29.0,20.0,27.0,40.0,40.0,40.0,29.0,27.0,40.0,40.0
31.0,85.0,30.0,16.0,974.0,16.0,14.0,45.0,23.0,194.0,120.0,13.0,47.0,31.0,4.0,20.0,14.0,18.0,42.0,42.0,42.0,31.0,31.0,42.0,41.0
30.0,76.0,29.0,23.0,524.0,27.0,19.0,51.0,18.0,172.0,109.0,19.0,40.0,30.0,7.0,28.0,19.0,27.0,49.0,49.0,49.0,36.0,30.0,49.0,42.0
19.0,74.0,19.0,23.0,486.0,33.0,20.0,40.0,30.0,168.0,105.0,19.0,39.0,19.0,3.0,28.0,20.0,27.0,48.0,48.0,48.0,36.0,19.0,48.0,43.0
28.0,80.0,28.0,24.0,380.0,21.0,20.0,51.0,39.0,185.0,115.0,20.0,43.0,28.0,3.0,29.0,20.0,28.0,29.0,29.0,29.0,21.0,28.0,29.0,44.0
21.0,131.0,21.0,33.0,456.0,32.0,27.0,54.0,27.0,300.0,188.0,27.0,70.0,21.0,3.0,40.0,27.0,38.0,47.0,47.0,47.0,34.0,21.0,47.0,45.0
39.0,139.0,38.0,37.0,360.0,33.0,30.0,63.0,37.0,315.0,198.0,30.0,74.0,39.0,3.0,47.0,30.0,41.0,35.0,35.0,35.0,27.0,39.0,35.0,46.0
48.0,197.0,48.0,30.0,488.0,33.0,24.0,90.0,38.0,449.0,280.0,24.0,104.0,48.0,8.0,36.0,24.0,33.0,62.0,62.0,62.0,47.0,48.0,62.0,47.0
32.0,175.0,32.0,36.0,622.0,48.0,29.0,86.0,39.0,401.0,249.0,29.0,95.0,32.0,3.0,44.0,29.0,40.0,77.0,77.0,77.0,58.0,32.0,77.0,48.0
47.0,147.0,47.0,58.0,522.0,51.0,47.0,63.0,53.0,336.0,211.0,47.0,79.0,47.0,3.0,69.0,47.0,64.0,51.0,51.0,51.0,40.0,47.0,51.0,49.0
48.0,212.0,48.0,47.0,306.0,43.0,36.0,76.0,60.0,483.0,304.0,35.0,114.0,48.0,3.0,54.0,36.0,50.0,75.0,75.0,75.0,56.0,48.0,75.0,50.0
48.0,175.0,48.0,48.0,628.0,50.0,39.0,106.0,48.0,401.0,249.0,39.0,95.0,48.0,0.0,58.0,39.0,52.0,76.0,76.0,76.0,57.0,48.0,76.0,51.0
68.0,186.0,67.0,56.0,320.0,80.0,47.0,85.0,59.0,426.0,266.0,47.0,100.0,68.0,1.0,68.0,47.0,63.0,78.0,78.0,78.0,59.0,68.0,78.0,52.0
76.0,144.0,75.0,48.0,646.0,63.0,39.0,69.0,92.0,332.0,207.0,39.0,77.0,76.0,2.0,58.0,39.0,52.0,109.0,109.0,109.0,80.0,76.0,109.0,53.0
62.0,140.0,61.0,61.0,790.0,68.0,48.0,83.0,72.0,323.0,200.0,48.0,76.0,62.0,3.0,72.0,48.0,66.0,120.0,120.0,120.0,91.0,62.0,120.0,54.0
73.0,170.0,72.0,54.0,556.0,80.0,43.0,96.0,78.0,390.0,244.0,43.0,91.0,73.0,6.0,63.0,43.0,60.0,97.0,97.0,97.0,73.0,73.0,97.0,55.0
116.0,157.0,114.0,51.0,552.0,68.0,43.0,113.0,91.0,357.0,224.0,43.0,84.0,116.0,7.0,63.0,43.0,58.0,118.0,118.0,118.0,88.0,116.0,118.0,56.0
91.0,225.0,91.0,58.0,806.0,85.0,47.0,96.0,78.0,512.0,321.0,47.0,119.0,91.0,5.0,68.0,47.0,65.0,185.0,185.0,185.0,138.0,91.0,185.0,57.0
97.0,103.0,96.0,95.0,855.0,76.0,75.0,108.0,96.0,236.0,148.0,75.0,56.0,97.0,,112.0,76.0,104.0,146.0,146.0,146.0,109.0,97.0,146.0,58.0
113.0,128.0,112.0,97.0,1050.0,74.0,78.0,116.0,86.0,294.0,184.0,78.0,69.0,113.0,,118.0,78.0,110.0,157.0,157.0,157.0,117.0,113.0,157.0,59.0
96.0,140.0,96.0,140.0,1120.0,80.0,112.0,123.0,83.0,321.0,199.0,112.0,75.0,96.0,,167.0,112.0,155.0,181.0,181.0,181.0,137.0,96.0,181.0,60.0
120.0,146.0,119.0,126.0,908.0,131.0,99.0,192.0,92.0,334.0,209.0,99.0,78.0,120.0,,150.0,99.0,138.0,155.0,155.0,155.0,117.0,120.0,155.0,61.0
109.0,150.0,107.0,105.0,1068.0,139.0,84.0,373.0,150.0,343.0,214.0,83.0,80.0,109.0,,126.0,84.0,117.0,194.0,194.0,194.0,146.0,109.0,194.0,62.0
105.0,158.0,104.0,151.0,1696.0,197.0,120.0,195.0,158.0,363.0,227.0,120.0,84.0,105.0,,181.0,121.0,168.0,172.0,172.0,172.0,129.0,105.0,172.0,63.0
115.0,160.0,115.0,125.0,1658.0,175.0,99.0,213.0,224.0,366.0,228.0,99.0,86.0,115.0,,150.0,100.0,138.0,168.0,168.0,168.0,126.0,115.0,168.0,64.0
188.0,179.0,186.0,132.0,1872.0,147.0,106.0,215.0,199.0,408.0,256.0,106.0,96.0,188.0,,160.0,106.0,149.0,185.0,185.0,185.0,138.0,188.0,185.0,65.0
198.0,148.0,195.0,103.0,2262.0,212.0,81.0,232.0,167.0,338.0,212.0,81.0,80.0,198.0,,125.0,81.0,115.0,300.0,300.0,300.0,226.0,198.0,300.0,66.0
280.0,145.0,278.0,100.0,2120.0,175.0,80.0,318.0,242.0,332.0,209.0,80.0,138.0,280.0,,120.0,80.0,112.0,315.0,315.0,315.0,236.0,280.0,315.0,67.0
249.0,151.0,248.0,122.0,2215.0,186.0,97.0,184.0,199.0,348.0,226.0,97.0,137.0,249.0,,146.0,97.0,137.0,449.0,449.0,449.0,337.0,249.0,449.0,68.0
211.0,166.0,208.0,111.0,1756.0,144.0,91.0,195.0,213.0,402.0,434.0,91.0,190.0,211.0,,134.0,91.0,124.0,401.0,401.0,401.0,299.0,211.0,401.0,69.0
304.0,159.0,299.0,160.0,2010.0,140.0,128.0,243.0,165.0,422.0,380.0,128.0,149.0,304.0,,192.0,128.0,177.0,336.0,336.0,336.0,253.0,304.0,336.0,70.0
249.0,188.0,248.0,74.0,2278.0,170.0,60.0,242.0,160.0,492.0,501.0,59.0,127.0,249.0,,89.0,60.0,81.0,483.0,483.0,483.0,364.0,249.0,483.0,71.0
266.0,119.0,263.0,92.0,3064.0,157.0,74.0,264.0,195.0,403.0,359.0,74.0,128.0,266.0,,110.0,74.0,102.0,401.0,401.0,401.0,300.0,266.0,401.0,72.0
207.0,237.0,206.0,99.0,3001.0,225.0,80.0,199.0,177.0,892.0,719.0,80.0,291.0,207.0,,119.0,80.0,112.0,426.0,426.0,426.0,319.0,207.0,426.0,73.0
200.0,383.0,199.0,104.0,4429.0,103.0,83.0,173.0,256.0,1418.0,710.0,82.0,342.0,200.0,,126.0,83.0,117.0,332.0,332.0,332.0,247.0,200.0,332.0,74.0
244.0,163.0,242.0,109.0,4118.0,128.0,86.0,207.0,118.0,1011.0,541.0,86.0,223.0,244.0,,128.0,86.0,118.0,323.0,323.0,323.0,241.0,244.0,323.0,75.0
224.0,463.0,221.0,113.0,3112.0,140.0,91.0,152.0,145.0,1268.0,436.0,91.0,276.0,224.0,,137.0,91.0,125.0,390.0,390.0,390.0,293.0,224.0,390.0,76.0
321.0,325.0,318.0,115.0,3968.0,146.0,92.0,173.0,160.0,1112.0,286.0,92.0,278.0,321.0,,138.0,92.0,125.0,357.0,357.0,357.0,268.0,321.0,357.0,77.0
148.0,579.0,145.0,127.0,3395.0,150.0,102.0,146.0,166.0,1606.0,382.0,102.0,253.0,148.0,,151.0,102.0,141.0,512.0,512.0,512.0,385.0,148.0,512.0,78.0
184.0,431.0,181.0,106.0,3693.0,158.0,84.0,158.0,171.0,1221.0,432.0,83.0,324.0,184.0,,126.0,85.0,118.0,236.0,236.0,236.0,178.0,184.0,236.0,79.0
199.0,833.0,198.0,103.0,3038.0,160.0,82.0,145.0,179.0,814.0,210.0,81.0,243.0,199.0,,125.0,82.0,115.0,294.0,294.0,294.0,220.0,199.0,294.0,80.0
209.0,580.0,207.0,109.0,2303.0,179.0,87.0,156.0,182.0,952.0,280.0,87.0,244.0,209.0,,131.0,88.0,120.0,321.0,321.0,321.0,240.0,209.0,321.0,81.0
1063.0,654.0,212.0,118.0,2959.0,148.0,95.0,162.0,202.0,920.0,332.0,95.0,202.0,214.0,,142.0,95.0,130.0,334.0,334.0,334.0,249.0,214.0,334.0,82.0
1535.0,950.0,225.0,113.0,2509.0,306.0,91.0,297.0,167.0,907.0,393.0,91.0,201.0,227.0,,137.0,91.0,125.0,343.0,343.0,343.0,258.0,227.0,343.0,83.0
1705.0,1252.0,227.0,135.0,2718.0,397.0,109.0,332.0,166.0,804.0,320.0,108.0,121.0,228.0,,162.0,109.0,150.0,363.0,363.0,363.0,271.0,228.0,363.0,84.0
1203.0,1192.0,253.0,95.0,1813.0,481.0,76.0,451.0,174.0,869.0,308.0,75.0,91.0,256.0,,113.0,76.0,104.0,366.0,366.0,366.0,275.0,256.0,366.0,85.0
1176.0,1127.0,210.0,140.0,2103.0,441.0,111.0,425.0,188.0,872.0,447.0,111.0,160.0,212.0,,167.0,111.0,154.0,408.0,408.0,408.0,306.0,212.0,408.0,86.0
943.0,1168.0,206.0,176.0,2156.0,600.0,141.0,346.0,179.0,980.0,478.0,141.0,169.0,209.0,,213.0,141.0,197.0,338.0,338.0,338.0,256.0,209.0,338.0,87.0
685.0,1469.0,215.0,129.0,2212.0,414.0,104.0,373.0,214.0,1195.0,764.0,104.0,234.0,217.0,,157.0,104.0,143.0,332.0,332.0,332.0,248.0,217.0,332.0,88.0
951.0,690.0,234.0,164.0,1995.0,358.0,130.0,522.0,150.0,849.0,441.0,129.0,145.0,236.0,,196.0,130.0,182.0,348.0,348.0,348.0,261.0,236.0,348.0,89.0
779.0,,227.0,147.0,1995.0,648.0,118.0,398.0,222.0,,,118.0,,228.0,,178.0,118.0,165.0,378.0,378.0,378.0,283.0,228.0,378.0,90.0
853.0,,266.0,167.0,2252.0,352.0,133.0,437.0,282.0,,,135.0,,270.0,,202.0,136.0,188.0,364.0,364.0,364.0,274.0,270.0,364.0,91.0
593.0,,186.0,213.0,2142.0,415.0,160.0,346.0,208.0,,,170.0,,188.0,,257.0,170.0,236.0,430.0,430.0,430.0,324.0,188.0,430.0,92.0
844.0,,276.0,129.0,1933.0,584.0,135.0,423.0,261.0,,,104.0,,280.0,,157.0,104.0,143.0,301.0,301.0,301.0,227.0,280.0,301.0,93.0
1055.0,,352.0,150.0,1973.0,606.0,177.0,507.0,236.0,,,119.0,,354.0,,180.0,119.0,167.0,447.0,447.0,447.0,334.0,354.0,447.0,94.0
773.0,,258.0,159.0,1656.0,1012.0,281.0,399.0,269.0,,,126.0,,261.0,,191.0,127.0,175.0,567.0,567.0,567.0,424.0,261.0,567.0,95.0
722.0,,324.0,167.0,1883.0,617.0,267.0,430.0,340.0,,,134.0,,326.0,,202.0,134.0,187.0,417.0,417.0,417.0,311.0,326.0,417.0,96.0
687.0,,293.0,169.0,1788.0,530.0,275.0,444.0,206.0,,,136.0,,295.0,,205.0,136.0,189.0,521.0,521.0,521.0,392.0,295.0,521.0,97.0
711.0,,334.0,186.0,1763.0,597.0,234.0,460.0,240.0,,,147.0,,338.0,,222.0,147.0,205.0,473.0,473.0,473.0,354.0,338.0,473.0,98.0
889.0,,422.0,198.0,1337.0,446.0,303.0,584.0,253.0,,,166.0,,427.0,,237.0,158.0,220.0,540.0,540.0,540.0,405.0,427.0,540.0,99.0
635.0,,258.0,310.0,1749.0,558.0,396.0,600.0,269.0,,,239.0,,261.0,,373.0,247.0,345.0,683.0,683.0,683.0,512.0,261.0,683.0,100.0
669.0,,298.0,359.0,1960.0,590.0,608.0,588.0,271.0,,,372.0,,303.0,,431.0,288.0,398.0,416.0,416.0,416.0,311.0,303.0,416.0,101.0
712.0,,315.0,214.0,1383.0,576.0,355.0,893.0,295.0,,,256.0,,319.0,,257.0,170.0,236.0,482.0,482.0,482.0,361.0,319.0,482.0,102.0
727.0,,334.0,,1631.0,730.0,,864.0,316.0,,,,,336.0,,,,,509.0,509.0,509.0,382.0,336.0,509.0,103.0
887.0,,339.0,,1513.0,736.0,,580.0,496.0,,,,,340.0,,,,,539.0,539.0,539.0,403.0,340.0,539.0,104.0
794.0,,369.0,,1687.0,647.0,,632.0,572.0,,,,,264.0,,,,,546.0,546.0,546.0,408.0,325.0,546.0,105.0
838.0,,392.0,,2145.0,,,712.0,340.0,,,,,357.0,,,,,594.0,594.0,382.0,443.0,462.0,594.0,106.0
880.0,,616.0,,1522.0,,,700.0,,,,,,456.0,,,,,634.0,634.0,424.0,476.0,447.0,634.0,107.0
1030.0,,712.0,,1578.0,,,703.0,,,,,,873.0,,,,,996.0,996.0,497.0,746.0,518.0,996.0,108.0
842.0,,256.0,,1546.0,,,753.0,,,,,,337.0,,,,,1151.0,1151.0,515.0,862.0,465.0,1151.0,109.0
,,,,1685.0,,,699.0,,,,,,,,,,,685.0,685.0,310.0,512.0,,685.0,110.0
,,,,1726.0,,,857.0,,,,,,,,,,,,,,,,,111.0
,,,,1561.0,,,1099.0,,,,,,,,,,,,,,,,,112.0
,,,,1411.0,,,1156.0,,,,,,,,,,,,,,,,,113.0
,,,,1714.0,,,3876.0,,,,,,,,,,,,,,,,,114.0
,,,,2258.0,,,1507.0,,,,,,,,,,,,,,,,,115.0
,,,,1442.0,,,1524.0,,,,,,,,,,,,,,,,,116.0
,,,,,,,2073.0,,,,,,,,,,,,,,,,,117.0
,,,,,,,2725.0,,,,,,,,,,,,,,,,,118.0
,,,,,,,2255.0,,,,,,,,,,,,,,,,,119.0
,,,,,,,1634.0,,,,,,,,,,,,,,,,,120.0
,,,,,,,1360.0,,,,,,,,,,,,,,,,,121.0
,,,,,,,1270.0,,,,,,,,,,,,,,,,,122.0
,,,,,,,1328.0,,,,,,,,,,,,,,,,,123.0
,,,,,,,1470.0,,,,,,,,,,,,,,,,,124.0
,,,,,,,1040.0,,,,,,,,,,,,,,,,,125.0
,,,,,,,1095.0,,,,,,,,,,,,,,,,,126.0
,,,,,,,1823.0,,,,,,,,,,,,,,,,,127.0
,,,,,,,3221.0,,,,,,,,,,,,,,,,,128.0
,,,,,,,3986.0,,,,,,,,,,,,,,,,,129.0
,,,,,,,3632.0,,,,,,,,,,,,,,,,,130.0
,,,,,,,3760.0,,,,,,,,,,,,,,,,,131.0
,,,,,,,3225.0,,,,,,,,,,,,,,,,,132.0
,,,,,,,3473.0,,,,,,,,,,,,,,,,,133.0
,,,,,,,3359.0,,,,,,,,,,,,,,,,,134.0
,,,,,,,2032.0,,,,,,,,,,,,,,,,,135.0
,,,,,,,3337.0,,,,,,,,,,,,,,,,,136.0
,,,,,,,2474.0,,,,,,,,,,,,,,,,,137.0
,,,,,,,1748.0,,,,,,,,,,,,,,,,,138.0
,,,,,,,1581.0,,,,,,,,,,,,,,,,,139.0
,,,,,,,2590.0,,,,,,,,,,,,,,,,,140.0
,,,,,,,2769.0,,,,,,,,,,,,,,,,,141.0
,,,,,,,2134.0,,,,,,,,,,,,,,,,,142.0
,,,,,,,2312.0,,,,,,,,,,,,,,,,,143.0
,,,,,,,1822.0,,,,,,,,,,,,,,,,,144.0
,,,,,,,1890.0,,,,,,,,,,,,,,,,,145.0
,,,,,,,1770.0,,,,,,,,,,,,,,,,,146.0
,,,,,,,1664.0,,,,,,,,,,,,,,,,,147.0
,,,,,,,1533.0,,,,,,,,,,,,,,,,,148.0
,,,,,,,1628.0,,,,,,,,,,,,,,,,,149.0
,,,,,,,1682.0,,,,,,,,,,,,,,,,,150.0
,,,,,,,1416.0,,,,,,,,,,,,,,,,,151.0
,,,,,,,1721.0,,,,,,,,,,,,,,,,,152.0
,,,,,,,1732.0,,,,,,,,,,,,,,,,,153.0
,,,,,,,1748.0,,,,,,,,,,,,,,,,,154.0
,,,,,,,1312.0,,,,,,,,,,,,,,,,,155.0
,,,,,,,1659.0,,,,,,,,,,,,,,,,,156.0
