Date,ProductGroup,SalesRegion,SalesOffice,SalesInUsd,SalesCost,QuantityInvoiced,SKU
2002-12-01,Electrical,East,Buffalo,1923.3792375026,1522.54166829675,432.0,CPR 00108N 0400RI
2003-01-01,Electrical,East,Buffalo,1145.72835842369,1446.09684049385,,CPR 00108N 0400RI
2003-02-01,Electrical,East,Buffalo,1182.26330369934,986.393825237584,432.0,CPR 00108N 0400RI
2003-03-01,Electrical,East,Buffalo,398.881411275747,336.391754937865,448.07199016869,CPR 00108N 0400RI
2003-04-01,Electrical,East,Buffalo,1581.90941591645,1375.80158078496,,CPR 00108N 0400RI
2003-05-01,Electrical,East,Buffalo,389.927562676235,343.546798062528,448.009023878649,CPR 00108N 0400RI
2003-06-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2003-07-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2003-08-01,Electrical,East,Buffalo,,672.54311915015,,CPR 00108N 0400RI
2001-01-01,Electrical,East,Buffalo,1740.31714626129,1600.64971287748,,CPR 00200  0400RI
2001-02-01,Electrical,East,Buffalo,815.36033250107,750.658871690955,,CPR 00200  0400RI
2001-03-01,Electrical,East,Buffalo,1848.45000239384,1705.64614036526,,CPR 00200  0400RI
2001-04-01,Electrical,East,Buffalo,324.917664652908,291.214640211565,,CPR 00200  0400RI
2001-05-01,Electrical,East,Buffalo,648.238120882882,584.879447097244,,CPR 00200  0400RI
2001-06-01,Electrical,East,Buffalo,898.902238122998,856.741996096486,,CPR 00200  0400RI
2001-07-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2001-11-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-01-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-02-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-03-01,Electrical,East,Buffalo,506.946762265671,483.018184017221,,CPR 00200  0400RI
2002-04-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-05-01,Electrical,East,Buffalo,620.983262305786,507.313042948631,,CPR 00200  0400RI
2002-06-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-07-01,Electrical,East,Buffalo,59.048,50.248,200.0,CPR 00200  0400RI
2002-08-01,Electrical,East,Buffalo,638.967211416393,543.762358363573,,CPR 00200  0400RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-10-01,Electrical,East,Buffalo,744.492382359323,681.201229674094,360.033584476682,CPR 00200  0400RI
2002-11-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2002-12-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2003-01-01,Electrical,East,Buffalo,311.87023902495,740.148264961361,,CPR 00200  0400RI
2003-02-01,Electrical,East,Buffalo,1181.0310034616,1204.31001837154,,CPR 00200  0400RI
2003-03-01,Electrical,East,Buffalo,985.33624831852,1207.80173615098,,CPR 00200  0400RI
2003-04-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2003-05-01,Electrical,East,Buffalo,878.965028550081,890.477361842893,,CPR 00200  0400RI
2003-06-01,Electrical,East,Buffalo,437.491933947883,443.654906100064,,CPR 00200  0400RI
2003-07-01,Electrical,East,Buffalo,794.077993658516,1152.63157493178,,CPR 00200  0400RI
2003-08-01,Electrical,East,Buffalo,,,,CPR 00200  0400RI
2003-09-01,Electrical,East,Buffalo,455.394681700571,681.028170871205,,CPR 00200  0400RI
2003-10-01,Electrical,East,Buffalo,452.920565980826,677.787228112333,,CPR 00200  0400RI
2003-11-01,Electrical,East,Buffalo,888.947450973024,1376.99541900504,,CPR 00200  0400RI
2003-12-01,Electrical,East,Buffalo,445.849677725688,684.579678529239,,CPR 00200  0400RI
2001-01-01,Electrical,East,Buffalo,,726.275300690976,,CPR 00200  7300RI
2001-02-01,Electrical,East,Buffalo,,733.402346071975,,CPR 00200  7300RI
2001-03-01,Electrical,East,Buffalo,694.88584755187,553.628713230678,649.599328833799,CPR 00200  7300RI
2001-04-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2001-05-01,Electrical,East,Buffalo,,757.998576719057,,CPR 00200  7300RI
2001-06-01,Electrical,East,Buffalo,225.539971825328,184.264,215.903379380131,CPR 00200  7300RI
2001-07-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2001-11-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-01-01,Electrical,East,Buffalo,201.266784941918,760.776608847528,216.008484863424,CPR 00200  7300RI
2002-02-01,Electrical,East,Buffalo,536.861256826646,456.771361473988,647.918003612611,CPR 00200  7300RI
2002-03-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-04-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-05-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-06-01,Electrical,East,Buffalo,1438.46686314417,1457.49881801084,861.509742932339,CPR 00200  7300RI
2002-07-01,Electrical,East,Buffalo,1199.56226757481,937.942299193208,1083.29561000743,CPR 00200  7300RI
2002-08-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-10-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2002-11-01,Electrical,East,Buffalo,,767.004537091154,,CPR 00200  7300RI
2002-12-01,Electrical,East,Buffalo,960.069289359866,962.716253642467,862.137053681677,CPR 00200  7300RI
2003-01-01,Electrical,East,Buffalo,234.751253238011,669.764263162335,431.54473625854,CPR 00200  7300RI
2003-02-01,Electrical,East,Buffalo,1088.04297487503,1126.78328753548,983.939292470648,CPR 00200  7300RI
2003-03-01,Electrical,East,Buffalo,960.306655930128,1127.22924250405,981.961750080422,CPR 00200  7300RI
2003-04-01,Electrical,East,Buffalo,1216.03182807608,1339.9886147853,1151.08870881038,CPR 00200  7300RI
2003-05-01,Electrical,East,Buffalo,197.648,224.46701888875,192.0,CPR 00200  7300RI
2003-06-01,Electrical,East,Buffalo,611.540746148803,671.939920324175,575.666436433288,CPR 00200  7300RI
2003-07-01,Electrical,East,Buffalo,863.120865552783,843.852519066694,1531.44132506258,CPR 00200  7300RI
2003-08-01,Electrical,East,Buffalo,432.382774603738,442.104678745494,1148.81206069643,CPR 00200  7300RI
2003-09-01,Electrical,East,Buffalo,,,,CPR 00200  7300RI
2003-10-01,Electrical,East,Buffalo,825.300888110279,878.875336702115,767.807430363347,CPR 00200  7300RI
2003-11-01,Electrical,East,Buffalo,1206.54808661064,1336.2158905817,1924.23440866402,CPR 00200  7300RI
2003-12-01,Electrical,East,Buffalo,1009.26486222113,1100.62112182767,961.738902393814,CPR 00200  7300RI
2001-01-01,Electrical,East,Buffalo,1049.41607894975,840.267584437271,,CPR 00207  7000RI
2001-02-01,Electrical,East,Buffalo,1750.24732346383,1403.67046404025,,CPR 00207  7000RI
2001-03-01,Electrical,East,Buffalo,350.212635945072,282.552822209481,,CPR 00207  7000RI
2001-04-01,Electrical,East,Buffalo,1066.15035464761,931.941782849704,,CPR 00207  7000RI
2001-05-01,Electrical,East,Buffalo,1046.75747897622,927.015104837272,,CPR 00207  7000RI
2001-06-01,Electrical,East,Buffalo,340.00081860943,305.399015390881,,CPR 00207  7000RI
2001-07-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2001-11-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-01-01,Electrical,East,Buffalo,777.139933972394,632.555805467413,,CPR 00207  7000RI
2002-02-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-03-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-04-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-05-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-06-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-07-01,Electrical,East,Buffalo,160.88,132.76,384.0,CPR 00207  7000RI
2002-08-01,Electrical,East,Buffalo,538.972760181276,600.021743285224,,CPR 00207  7000RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-10-01,Electrical,East,Buffalo,201.08703114438,164.066703649575,480.253060243793,CPR 00207  7000RI
2002-11-01,Electrical,East,Buffalo,,,,CPR 00207  7000RI
2002-12-01,Electrical,East,Buffalo,720.381445702568,604.927309063574,,CPR 00207  7000RI
2003-01-01,Electrical,East,Buffalo,538.570766036343,724.210232308461,,CPR 00207  7000RI
2003-02-01,Electrical,East,Buffalo,750.983785265373,675.442930248913,720.013391678645,CPR 00207  7000RI
2003-03-01,Electrical,East,Buffalo,766.268475738319,690.691109401981,400.049663840518,CPR 00207  7000RI
2003-04-01,Electrical,East,Buffalo,897.12549122821,827.71605245496,721.213278962464,CPR 00207  7000RI
2003-05-01,Electrical,East,Buffalo,593.886107279487,551.756611575239,1443.44254081677,CPR 00207  7000RI
2003-06-01,Electrical,East,Buffalo,937.872979749196,832.529408960315,719.878145219402,CPR 00207  7000RI
2003-07-01,Electrical,East,Buffalo,322.653413955837,276.105378772947,720.27034057646,CPR 00207  7000RI
2003-08-01,Electrical,East,Buffalo,322.251601951106,270.557926777597,719.797376719263,CPR 00207  7000RI
2003-09-01,Electrical,East,Buffalo,322.477905884254,267.706189845086,720.500455256624,CPR 00207  7000RI
2003-10-01,Electrical,East,Buffalo,615.171367640247,535.085619521388,,CPR 00207  7000RI
2003-11-01,Electrical,East,Buffalo,903.419134971268,820.692659740385,2160.97526890419,CPR 00207  7000RI
2003-12-01,Electrical,East,Buffalo,301.451220635929,269.896182679554,719.587496386688,CPR 00207  7000RI
2001-01-01,Electrical,East,Buffalo,855.479585667412,1169.41200559891,972.198074098551,CPR 00207  7200RI
2001-02-01,Electrical,East,Buffalo,283.981226165118,782.269199488746,324.0,CPR 00207  7200RI
2001-03-01,Electrical,East,Buffalo,1418.69731694671,990.350167603591,1615.73744047625,CPR 00207  7200RI
2001-04-01,Electrical,East,Buffalo,283.969058057875,203.371364025288,324.0,CPR 00207  7200RI
2001-05-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2001-06-01,Electrical,East,Buffalo,552.666544775917,395.798294896137,648.214358565396,CPR 00207  7200RI
2001-07-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2001-11-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2002-01-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2002-02-01,Electrical,East,Buffalo,440.292310147595,335.420077771229,648.203000025041,CPR 00207  7200RI
2002-03-01,Electrical,East,Buffalo,,528.700091557543,,CPR 00207  7200RI
2002-04-01,Electrical,East,Buffalo,276.296,182.176,324.0,CPR 00207  7200RI
2002-05-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2002-06-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2002-07-01,Electrical,East,Buffalo,,,,CPR 00207  7200RI
2002-08-01,Electrical,East,Buffalo,437.539578300236,409.855351448494,649.535369474237,CPR 00207  7200RI
2002-09-01,Electrical,East,Buffalo,588.789442273543,420.272738575903,648.564088637116,CPR 00207  7200RI
2002-10-01,Electrical,East,Buffalo,294.110784727848,204.918459185409,324.0,CPR 00207  7200RI
2002-11-01,Electrical,East,Buffalo,589.231196684745,397.918094089613,647.794382462103,CPR 00207  7200RI
2002-12-01,Electrical,East,Buffalo,1176.37519284905,952.16051596656,1292.45051698024,CPR 00207  7200RI
2003-01-01,Electrical,East,Buffalo,731.854815892624,906.943771933306,973.352306666892,CPR 00207  7200RI
2003-02-01,Electrical,East,Buffalo,841.112132921152,723.807998380276,929.062937693784,CPR 00207  7200RI
2003-03-01,Electrical,East,Buffalo,561.443011124031,675.738245127045,855.894076926854,CPR 00207  7200RI
2003-04-01,Electrical,East,Buffalo,324.423564901631,315.399020760555,391.819396137246,CPR 00207  7200RI
2003-05-01,Electrical,East,Buffalo,972.239345690543,946.561662766281,1172.77884986301,CPR 00207  7200RI
2003-06-01,Electrical,East,Buffalo,1016.72067831114,944.729064775415,1175.07459323124,CPR 00207  7200RI
2003-07-01,Electrical,East,Buffalo,699.456003666585,631.224716611322,782.609544694065,CPR 00207  7200RI
2003-08-01,Electrical,East,Buffalo,698.596022298081,618.234354182671,783.746708813859,CPR 00207  7200RI
2003-09-01,Electrical,East,Buffalo,684.254572168601,609.147646713611,785.49359817919,CPR 00207  7200RI
2003-10-01,Electrical,East,Buffalo,999.294097935331,918.249948377783,1176.62553053525,CPR 00207  7200RI
2003-11-01,Electrical,East,Buffalo,1303.85993454454,1244.30253626714,1564.0765402955,CPR 00207  7200RI
2003-12-01,Electrical,East,Buffalo,650.842938367642,617.870542594815,785.467614682352,CPR 00207  7200RI
2001-01-01,Electrical,East,Buffalo,1067.79765993933,838.668357530137,432.0,CPR 00207  7300RI
2001-02-01,Electrical,East,Buffalo,355.148597516189,282.133372313824,432.0,CPR 00207  7300RI
2001-03-01,Electrical,East,Buffalo,711.407817141389,564.942574351982,,CPR 00207  7300RI
2001-04-01,Electrical,East,Buffalo,728.850095489155,578.696077227981,865.226847396121,CPR 00207  7300RI
2001-05-01,Electrical,East,Buffalo,716.773693218144,576.574157634259,864.320776440726,CPR 00207  7300RI
2001-06-01,Electrical,East,Buffalo,689.74287243611,565.078278935749,864.202347724253,CPR 00207  7300RI
2001-07-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2001-11-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2002-01-01,Electrical,East,Buffalo,308.424,243.944,432.0,CPR 00207  7300RI
2002-02-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2002-03-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2002-04-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2002-05-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2002-06-01,Electrical,East,Buffalo,321.689565787796,280.003903490183,432.0,CPR 00207  7300RI
2002-07-01,Electrical,East,Buffalo,321.695695755223,286.480298062032,432.0,CPR 00207  7300RI
2002-08-01,Electrical,East,Buffalo,329.229738598577,287.487546161748,432.0,CPR 00207  7300RI
2002-09-01,Electrical,East,Buffalo,329.235820782765,293.994629971226,432.0,CPR 00207  7300RI
2002-10-01,Electrical,East,Buffalo,329.153910352044,287.369215033536,432.0,CPR 00207  7300RI
2002-11-01,Electrical,East,Buffalo,329.318932041704,280.955162896107,432.0,CPR 00207  7300RI
2002-12-01,Electrical,East,Buffalo,659.181517241417,662.824537248208,,CPR 00207  7300RI
2003-01-01,Electrical,East,Buffalo,819.203613782857,474.106215523514,432.0,CPR 00207  7300RI
2003-02-01,Electrical,East,Buffalo,329.284141684343,346.31083736638,432.0,CPR 00207  7300RI
2003-03-01,Electrical,East,Buffalo,341.485041931781,362.176013104769,448.036591780341,CPR 00207  7300RI
2003-04-01,Electrical,East,Buffalo,629.320822283199,713.599450917642,,CPR 00207  7300RI
2003-05-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-06-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-07-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-08-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-09-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-10-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-11-01,Electrical,East,Buffalo,,,,CPR 00207  7300RI
2003-12-01,Electrical,East,Buffalo,1818.68747701867,1135.89498903243,560.209184517382,CPR 00207  7300RI
2001-01-01,Electrical,East,Buffalo,,643.625475747401,647.006483042126,CPR 00207  7400RI
2001-02-01,Electrical,East,Buffalo,1199.1958529482,432.600185283101,431.882841239666,CPR 00207  7400RI
2001-03-01,Electrical,East,Buffalo,1194.80612374101,435.095545653372,432.318025710062,CPR 00207  7400RI
2001-04-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2001-05-01,Electrical,East,Buffalo,631.441476935225,668.230516489193,645.96920841331,CPR 00207  7400RI
2001-06-01,Electrical,East,Buffalo,517.420247485287,193.560111732334,191.42721137785,CPR 00207  7400RI
2001-07-01,Electrical,East,Buffalo,582.066819641511,871.930106680816,863.562308491468,CPR 00207  7400RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2001-09-01,Electrical,East,Buffalo,64.7166653895047,22.36,24.0,CPR 00207  7400RI
2001-10-01,Electrical,East,Buffalo,582.203643999677,201.200915932516,215.89778723212,CPR 00207  7400RI
2001-11-01,Electrical,East,Buffalo,583.076437061277,196.675439780414,215.989027932991,CPR 00207  7400RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2002-01-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2002-02-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2002-03-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2002-04-01,Electrical,East,Buffalo,581.468611651911,205.35151017585,215.522138729996,CPR 00207  7400RI
2002-05-01,Electrical,East,Buffalo,481.825339249612,187.98783066078,192.324598698769,CPR 00207  7400RI
2002-06-01,Electrical,East,Buffalo,60.224,24.7270016060657,24.0,CPR 00207  7400RI
2002-07-01,Electrical,East,Buffalo,,430.728445300846,407.592190218555,CPR 00207  7400RI
2002-08-01,Electrical,East,Buffalo,542.079302755018,229.64849227902,215.900193275175,CPR 00207  7400RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2002-10-01,Electrical,East,Buffalo,615.130928772561,254.671284089281,239.768498150457,CPR 00207  7400RI
2002-11-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2002-12-01,Electrical,East,Buffalo,800.502711026544,347.681608035525,311.06059290039,CPR 00207  7400RI
2003-01-01,Electrical,East,Buffalo,1133.83086553776,825.888233982564,550.088519830059,CPR 00207  7400RI
2003-02-01,Electrical,East,Buffalo,573.494694038601,833.356275738224,662.134444023193,CPR 00207  7400RI
2003-03-01,Electrical,East,Buffalo,522.871106049357,283.870319488402,224.569867542326,CPR 00207  7400RI
2003-04-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2003-05-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2003-06-01,Electrical,East,Buffalo,565.269699331192,289.57048863596,224.471442662992,CPR 00207  7400RI
2003-07-01,Electrical,East,Buffalo,1681.39621706826,1092.50269102403,675.99494024231,CPR 00207  7400RI
2003-08-01,Electrical,East,Buffalo,563.767236432713,357.495170783173,223.558903398377,CPR 00207  7400RI
2003-09-01,Electrical,East,Buffalo,563.376528689381,1068.24624712503,672.295658652885,CPR 00207  7400RI
2003-10-01,Electrical,East,Buffalo,,,,CPR 00207  7400RI
2003-11-01,Electrical,East,Buffalo,1576.82613306962,1084.27110783496,673.420674773264,CPR 00207  7400RI
2001-01-01,Electrical,East,Buffalo,653.268740515337,282.11733693804,324.177403507545,CPR 00229  7000RI
2001-02-01,Electrical,East,Buffalo,1957.0484436909,852.558706144547,969.387842816425,CPR 00229  7000RI
2001-03-01,Electrical,East,Buffalo,651.831162935433,285.016736556573,324.406405252795,CPR 00229  7000RI
2001-04-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2001-05-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2001-06-01,Electrical,East,Buffalo,635.340586201851,285.38389173035,323.465258342964,CPR 00229  7000RI
2001-07-01,Electrical,East,Buffalo,636.289390476914,285.357322684764,323.980086087925,CPR 00229  7000RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2001-10-01,Electrical,East,Buffalo,282.332718964745,118.944,144.0,CPR 00229  7000RI
2001-11-01,Electrical,East,Buffalo,352.525305013048,145.826460793569,179.814490061439,CPR 00229  7000RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2002-01-01,Electrical,East,Buffalo,568.215823124893,252.984885007416,324.4940157882,CPR 00229  7000RI
2002-02-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2002-03-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2002-04-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2002-05-01,Electrical,East,Buffalo,,379.493001568563,468.393746644792,CPR 00229  7000RI
2002-06-01,Electrical,East,Buffalo,328.20871725306,152.595614102245,180.065706169844,CPR 00229  7000RI
2002-07-01,Electrical,East,Buffalo,1798.65777808554,841.191193901771,971.285069860373,CPR 00229  7000RI
2002-08-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2002-10-01,Electrical,East,Buffalo,603.974367973858,281.902087910709,323.614542510541,CPR 00229  7000RI
2002-11-01,Electrical,East,Buffalo,1207.1017787084,549.665205244148,645.188881598894,CPR 00229  7000RI
2002-12-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2003-01-01,Electrical,East,Buffalo,896.184068745714,700.621916281102,649.680267352473,CPR 00229  7000RI
2003-02-01,Electrical,East,Buffalo,,,,CPR 00229  7000RI
2003-03-01,Electrical,East,Buffalo,733.639963623224,389.469643301665,392.406727458108,CPR 00229  7000RI
2003-04-01,Electrical,East,Buffalo,407.537515504825,243.263431980727,239.723526352446,CPR 00229  7000RI
2003-05-01,Electrical,East,Buffalo,254.176,142.435599824602,152.017350567891,CPR 00229  7000RI
2003-06-01,Electrical,East,Buffalo,292.311475981524,149.731882332214,160.000479371057,CPR 00229  7000RI
2003-07-01,Electrical,East,Buffalo,717.297889799697,368.700193815675,392.519666666914,CPR 00229  7000RI
2003-08-01,Electrical,East,Buffalo,716.050727207315,360.694424961768,392.116690750205,CPR 00229  7000RI
2003-09-01,Electrical,East,Buffalo,423.603642330981,211.578181290497,232.219071520862,CPR 00229  7000RI
2003-10-01,Electrical,East,Buffalo,686.157162634529,357.558437291716,392.632046144618,CPR 00229  7000RI
2003-11-01,Electrical,East,Buffalo,668.499481763667,364.157401025056,391.70111876043,CPR 00229  7000RI
2003-12-01,Electrical,East,Buffalo,395.735292857345,213.835417293099,232.572868180022,CPR 00229  7000RI
2001-01-01,Electrical,East,Buffalo,768.873755176092,720.217756764982,239.987859822071,CPR 00600  7800RI
2001-02-01,Electrical,East,Buffalo,771.054341260732,726.974449766343,240.037119348241,CPR 00600  7800RI
2001-03-01,Electrical,East,Buffalo,1543.03948681161,585.009140121694,191.68867715413,CPR 00600  7800RI
2001-04-01,Electrical,East,Buffalo,,300.367182038113,95.9971344160797,CPR 00600  7800RI
2001-05-01,Electrical,East,Buffalo,1122.14678173237,451.581420554338,144.108958729036,CPR 00600  7800RI
2001-06-01,Electrical,East,Buffalo,374.564428715999,146.439024060668,48.0,CPR 00600  7800RI
2001-07-01,Electrical,East,Buffalo,374.447250132316,146.407135351027,48.0,CPR 00600  7800RI
2001-08-01,Electrical,East,Buffalo,374.50457939231,141.644861080056,48.0,CPR 00600  7800RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2001-11-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2001-12-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2002-01-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2002-02-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2002-03-01,Electrical,East,Buffalo,374.574014875113,130.8,48.0,CPR 00600  7800RI
2002-04-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2002-05-01,Electrical,East,Buffalo,348.504,138.667739650668,48.0,CPR 00600  7800RI
2002-06-01,Electrical,East,Buffalo,696.883163868089,292.765416317057,95.8530243119107,CPR 00600  7800RI
2002-07-01,Electrical,East,Buffalo,348.504,150.462890779326,48.0,CPR 00600  7800RI
2002-08-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00600  7800RI
2002-10-01,Electrical,East,Buffalo,1424.0721192355,612.487090713161,192.189892287764,CPR 00600  7800RI
2002-11-01,Electrical,East,Buffalo,712.444187061091,298.765735360741,95.8150322810099,CPR 00600  7800RI
2002-12-01,Electrical,East,Buffalo,356.237499387072,162.409691438717,48.0,CPR 00600  7800RI
2003-01-01,Electrical,East,Buffalo,1068.93232468685,562.943684566962,143.99887291968,CPR 00600  7800RI
