Stock,Date,Open,High,Low,Close,Volume,AdjClose
IBM,2000-04-03,120.0,128.0,101.25,111.5,9127221.0,106.0
IBM,2000-03-01,102.0,128.25,99.5,118.37,8800373.0,112.53
IBM,2000-02-01,112.37,119.75,100.94,102.75,7203815.0,97.68
IBM,2000-01-03,112.44,124.75,109.62,112.25,9076280.0,106.6
IBM,1999-12-01,102.56,122.12,102.25,107.87,7343740.0,102.44
IBM,1999-11-01,98.5,109.87,90.0,103.06,10524366.0,97.88
IBM,1999-10-01,121.0,123.25,89.0,98.25,15068947.0,93.18
IBM,1999-09-01,125.62,137.69,119.62,121.0,7380161.0,114.76
IBM,1999-08-02,124.0,129.63,117.56,124.56,6115295.0,118.14
IBM,1999-07-01,130.0,139.19,122.62,125.69,6530133.0,119.09
IBM,1999-06-01,113.62,132.0,109.44,129.25,6336504.0,122.47
IBM,1999-05-03,208.0,246.0,112.62,116.0,10937435.0,109.91
IBM,1999-04-01,177.31,215.25,163.0,209.19,13167533.0,98.99
IBM,1999-03-01,169.5,185.94,164.0,177.25,10290000.0,83.88
IBM,1999-02-01,184.5,184.5,161.75,169.75,11474200.0,80.33
IBM,1999-01-04,185.0,199.25,173.5,183.25,13521831.0,86.6
IBM,1998-12-01,163.5,189.94,162.25,184.38,6636845.0,87.14
IBM,1998-11-02,148.44,170.56,145.75,165.13,7166840.0,78.04
IBM,1998-10-01,125.06,149.81,116.81,148.5,11648536.0,70.08
IBM,1998-09-01,113.0,136.19,110.75,128.5,9511533.0,60.64
IBM,1998-08-03,134.0,134.88,112.62,112.62,9637561.0,53.14
IBM,1998-07-01,116.0,138.13,112.75,132.5,8495590.0,62.42
IBM,1998-06-01,117.37,120.0,106.0,114.81,7841036.0,54.09
IBM,1998-05-01,115.94,129.31,115.5,117.5,7878370.0,55.35
IBM,1998-04-01,103.87,120.0,103.31,115.87,8724247.0,54.48
IBM,1998-03-02,104.19,106.69,95.87,103.87,7565663.0,48.84
IBM,1998-02-02,100.0,105.87,97.5,104.44,7808231.0,49.11
IBM,1998-01-02,104.5,108.37,95.62,98.75,10603100.0,46.34
IBM,1997-12-01,110.0,113.5,96.37,104.62,8859200.0,49.09
IBM,1997-11-03,99.12,109.94,95.25,109.5,7922273.0,51.38
IBM,1997-10-01,106.12,107.25,88.62,98.5,10361973.0,46.13
IBM,1997-09-02,101.37,107.44,96.12,106.0,8736476.0,49.65
IBM,1997-08-01,105.5,109.44,99.69,101.37,7775914.0,47.48
IBM,1997-07-01,90.25,108.44,90.12,105.75,9792818.0,49.44
IBM,1997-06-02,87.75,93.75,81.75,90.25,8296771.0,42.19
IBM,1997-05-01,160.5,179.25,84.5,86.5,13671800.0,40.44
IBM,1997-04-01,137.0,161.13,127.12,160.5,15685472.0,37.52
IBM,1997-03-03,143.75,149.75,130.0,137.25,14722700.0,32.08
IBM,1997-02-03,157.38,157.38,137.13,143.75,16956421.0,33.6
IBM,1997-01-02,153.75,170.13,145.0,156.88,19412090.0,36.58
IBM,1996-12-02,159.63,166.0,147.25,151.5,13216571.0,35.33
IBM,1996-11-01,128.88,160.75,127.12,159.38,14687200.0,37.17
IBM,1996-10-01,124.0,135.38,123.12,129.0,10678156.0,30.0
IBM,1996-09-03,113.25,127.87,112.56,124.5,11048640.0,28.95
IBM,1996-08-01,108.0,115.75,107.25,114.37,8832436.0,26.6
IBM,1996-07-01,99.25,108.87,89.12,107.5,14386836.0,24.92
IBM,1996-06-03,106.37,106.62,96.12,99.0,12099540.0,22.95
IBM,1996-05-01,107.75,112.5,103.62,106.75,10668872.0,24.75
IBM,1996-04-01,112.12,120.87,103.37,107.75,18113809.0,24.9
IBM,1996-03-01,121.62,125.5,107.62,111.25,16350666.0,25.7
IBM,1996-02-01,108.75,128.88,108.12,122.62,18545440.0,28.33
IBM,1996-01-02,91.37,109.87,83.12,108.5,20732690.0,25.01
IBM,1995-12-01,97.0,97.25,87.75,91.37,12622060.0,21.07
IBM,1995-11-01,97.25,102.37,93.0,96.62,11101047.0,22.28
IBM,1995-10-02,95.0,99.25,89.12,97.25,15599727.0,22.36
IBM,1995-09-01,102.75,104.5,91.62,94.5,19990140.0,21.73
IBM,1995-08-01,109.12,114.62,98.62,103.37,12608295.0,23.77
IBM,1995-07-03,96.25,111.25,95.75,108.87,15672220.0,24.98
IBM,1995-06-01,93.5,99.37,88.37,96.0,12574127.0,22.03
IBM,1995-05-01,93.87,97.87,91.5,93.0,12325127.0,21.34
IBM,1995-04-03,82.25,96.87,82.25,94.62,12843473.0,21.65
IBM,1995-03-01,75.12,85.12,75.12,82.12,11587652.0,18.79
IBM,1995-02-01,72.37,76.25,72.25,75.25,7799178.0,17.22
IBM,1995-01-03,73.5,78.0,70.25,72.12,10532171.0,16.45
IBM,1994-12-01,70.62,74.62,68.87,73.5,8004342.0,16.76
IBM,1994-11-01,74.37,75.25,68.0,70.75,9145695.0,16.14
IBM,1994-10-03,69.37,76.37,67.37,74.5,10742285.0,16.93
IBM,1994-09-01,66.87,71.37,66.62,69.62,9104038.0,15.82
IBM,1994-08-01,61.88,70.12,61.5,68.5,10940626.0,15.57
IBM,1994-07-01,59.0,63.13,54.5,61.88,11361800.0,14.01
IBM,1994-06-01,63.0,65.0,58.13,58.75,8683600.0,13.3
IBM,1994-05-02,57.5,64.12,56.25,63.0,9430914.0,14.26
IBM,1994-04-04,53.0,59.5,51.38,57.5,11657178.0,12.96
IBM,1994-03-01,52.88,58.88,51.38,54.63,11347200.0,12.31
IBM,1994-02-01,56.88,57.38,52.0,52.88,8047831.0,11.92
IBM,1994-01-03,56.88,60.0,54.75,56.5,10605466.0,12.68
IBM,1993-12-01,54.75,59.88,52.75,56.5,9310272.0,12.68
IBM,1993-11-01,46.0,56.13,45.75,53.88,13258628.0,12.09
IBM,1993-10-01,42.13,46.63,42.13,46.0,9049752.0,10.27
IBM,1993-09-01,45.75,46.38,41.25,42.0,7134704.0,9.38
IBM,1993-08-02,44.38,45.88,40.63,45.75,6854418.0,10.22
IBM,1993-07-01,49.63,49.75,41.13,44.5,10187142.0,9.88
IBM,1993-06-01,53.25,54.38,48.5,49.38,6824090.0,10.96
IBM,1993-05-03,49.13,54.0,47.13,52.75,8025980.0,11.71
IBM,1993-04-01,51.5,53.13,47.38,48.63,8116971.0,10.68
IBM,1993-03-01,54.75,57.13,49.88,50.88,9554069.0,11.17
IBM,1993-02-01,52.0,54.88,48.75,54.38,10955557.0,11.94
IBM,1993-01-04,51.75,53.25,45.88,51.5,16168840.0,11.19
IBM,1992-12-01,68.37,68.87,48.75,50.38,18623763.0,10.95
IBM,1992-11-02,67.0,69.87,60.88,68.25,10446800.0,14.83
IBM,1992-10-01,81.0,81.12,65.0,66.87,12186690.0,14.27
IBM,1992-09-01,86.62,88.75,80.0,80.75,6983028.0,17.23
IBM,1992-08-03,94.5,95.25,85.0,86.62,5976438.0,18.49
IBM,1992-07-01,97.87,100.37,92.37,94.75,6686327.0,19.96
IBM,1992-06-01,90.5,98.62,88.25,97.87,6858272.0,20.61
IBM,1992-05-01,91.25,94.37,90.12,90.75,5872100.0,19.11
IBM,1992-04-01,83.5,90.75,81.62,90.75,7671200.0,18.87
IBM,1992-03-02,86.87,90.25,83.12,83.5,6406400.0,17.36
IBM,1992-02-03,90.0,93.25,86.62,86.87,6143600.0,18.06
IBM,1992-01-02,89.0,98.12,88.87,90.0,7038309.0,18.46
IBM,1991-12-02,91.12,92.37,83.5,89.0,9268266.0,18.26
IBM,1991-11-01,98.37,101.37,92.37,92.5,6154600.0,18.97
IBM,1991-10-01,103.62,104.75,96.75,98.25,5507460.0,19.91
IBM,1991-09-03,97.75,106.37,97.62,103.62,6116320.0,20.99
IBM,1991-08-01,101.0,101.75,92.0,96.87,6046909.0,19.63
IBM,1991-07-01,97.62,103.0,95.62,101.25,5418018.0,20.27
IBM,1991-06-03,106.0,107.37,96.62,97.12,7556480.0,19.44
IBM,1991-05-01,102.5,106.5,100.5,106.12,6893527.0,21.24
IBM,1991-04-01,113.87,114.75,102.12,103.0,8065490.0,20.38
IBM,1991-03-01,128.25,135.0,111.0,113.87,9248540.0,22.53
IBM,1991-02-01,126.5,139.75,125.62,128.75,8918400.0,25.47
IBM,1991-01-02,112.87,127.12,105.5,126.75,8275727.0,24.84
IBM,1990-12-03,114.5,116.0,110.62,113.0,5632040.0,22.14
IBM,1990-11-01,105.37,115.12,104.87,113.62,7065238.0,22.26
IBM,1990-10-01,107.12,110.37,96.25,105.5,7268347.0,20.44
IBM,1990-09-04,101.0,109.25,100.75,106.37,6630147.0,20.61
IBM,1990-08-01,111.87,112.37,96.5,101.87,7365808.0,19.74
IBM,1990-07-02,117.5,123.12,110.5,111.5,5997257.0,21.36
IBM,1990-06-01,120.5,122.25,116.25,117.5,5790647.0,22.51
IBM,1990-05-01,109.5,122.12,107.87,120.0,7155000.0,22.99
IBM,1990-04-02,105.12,111.25,105.0,109.0,5837000.0,20.65
IBM,1990-03-01,103.75,109.37,103.37,106.12,6103763.0,20.11
IBM,1990-02-01,98.62,105.5,97.5,103.87,7356484.0,19.68
IBM,1990-01-02,94.75,101.62,94.5,98.62,7503781.0,18.46
IBM,1989-12-01,97.62,101.87,93.37,94.12,6819080.0,17.61
IBM,1989-11-01,100.25,100.75,96.0,97.62,6029961.0,18.27
IBM,1989-10-02,109.37,109.75,97.75,100.25,8059309.0,18.53
IBM,1989-09-01,116.87,118.75,107.75,109.25,6864140.0,20.2
IBM,1989-08-01,115.5,119.37,112.5,117.12,6630156.0,21.65
IBM,1989-07-03,112.5,116.75,110.62,115.0,5592420.0,21.04
IBM,1989-06-01,109.5,115.12,107.5,111.87,6931072.0,20.46
IBM,1989-05-01,113.0,113.75,107.5,109.62,6557000.0,20.05
IBM,1989-04-03,109.25,115.75,106.25,114.12,5811060.0,20.65
IBM,1989-03-01,122.12,122.37,107.62,109.12,7744218.0,19.74
IBM,1989-02-01,129.75,130.88,120.62,121.5,6289915.0,21.98
IBM,1989-01-03,121.87,130.88,120.62,130.63,6688380.0,23.43
IBM,1988-12-01,118.37,124.12,117.62,121.87,4477828.0,21.86
IBM,1988-11-01,122.87,124.37,114.12,118.5,5188438.0,21.26
IBM,1988-10-03,115.12,124.87,112.75,122.62,5790742.0,21.8
IBM,1988-09-01,111.12,116.5,109.5,115.37,5433352.0,20.51
IBM,1988-08-01,126.0,126.87,110.37,111.5,5256886.0,19.82
IBM,1988-07-01,127.75,129.5,120.0,125.75,6282660.0,22.16
IBM,1988-06-01,113.0,128.38,111.75,127.37,7438090.0,22.45
IBM,1988-05-02,113.62,115.12,107.5,112.5,4249790.0,19.83
IBM,1988-04-04,107.5,116.5,105.62,113.37,6598620.0,19.78
IBM,1988-03-01,117.87,118.62,104.25,107.62,6373182.0,18.78
IBM,1988-02-01,112.75,117.87,106.87,117.5,7290480.0,20.51
IBM,1988-01-04,117.0,124.0,108.62,112.37,8420960.0,19.41
IBM,1987-12-01,112.5,120.37,105.0,115.5,6809909.0,19.95
IBM,1987-11-02,121.0,124.87,110.0,110.75,7524100.0,19.13
IBM,1987-10-01,151.25,157.25,100.0,122.5,12657872.0,20.97
IBM,1987-09-01,168.63,169.38,148.5,150.75,9960361.0,25.81
IBM,1987-08-03,159.5,175.88,158.5,168.38,9350304.0,28.82
IBM,1987-07-01,162.88,169.88,159.13,161.0,6122872.0,27.37
IBM,1987-06-01,161.0,168.63,156.0,162.5,6594545.0,27.63
IBM,1987-05-01,160.0,167.63,155.0,160.0,7800820.0,27.2
IBM,1987-04-01,149.0,161.5,142.63,160.13,11348533.0,27.04
IBM,1987-03-02,139.5,156.63,137.63,150.13,7628036.0,25.35
IBM,1987-02-02,128.25,144.25,128.0,139.5,7844210.0,23.56
IBM,1987-01-02,121.0,130.88,115.75,128.75,9833866.0,21.57
IBM,1986-12-01,126.5,130.13,120.0,120.0,6371690.0,20.1
IBM,1986-11-03,124.0,127.87,119.25,127.12,5959136.0,21.29
IBM,1986-10-01,134.88,135.5,119.75,123.62,7612730.0,20.53
IBM,1986-09-02,138.88,145.5,133.13,134.5,8053923.0,22.33
IBM,1986-08-01,132.63,142.0,129.25,138.75,5624114.0,23.04
Intel,2005-12-01,26.94,27.49,24.87,24.96,54107733.0,24.57
Intel,2005-11-01,23.18,27.15,22.53,26.68,56234966.0,26.27
Intel,2005-10-03,24.74,24.96,22.75,23.5,58262005.0,23.06
Intel,2005-09-01,25.58,26.12,23.8,24.65,53493957.0,24.19
Intel,2005-08-01,27.24,27.66,25.31,25.72,45049221.0,25.24
Intel,2005-07-01,26.23,28.84,26.08,27.14,55455755.0,26.55
Intel,2005-06-01,26.8,27.75,25.73,26.02,55191463.0,25.46
Intel,2005-05-02,23.5,27.4,23.35,26.96,64584867.0,26.38
Intel,2005-04-01,23.34,23.9,21.94,23.52,67651157.0,22.93
Intel,2005-03-01,24.36,25.47,22.96,23.23,63823945.0,22.65
Intel,2005-02-01,22.49,24.63,22.17,23.99,78924846.0,23.39
Intel,2005-01-03,23.64,23.79,21.89,22.45,82481585.0,21.81
Intel,2004-12-01,22.5,24.5,22.44,23.39,69185754.0,22.73
Intel,2004-11-01,22.19,24.99,22.15,22.38,72085390.0,21.74
Intel,2004-10-01,20.3,22.61,20.22,22.26,75530195.0,21.59
Intel,2004-09-01,21.1,21.72,19.64,20.06,77974208.0,19.46
Intel,2004-08-02,24.04,24.99,20.86,21.29,61273304.0,20.65
Intel,2004-07-01,27.39,27.48,22.46,24.38,84238776.0,23.61
Intel,2004-06-01,28.37,29.01,27.13,27.6,51221776.0,26.72
Intel,2004-05-03,26.05,28.98,25.61,28.55,62199539.0,27.64
Intel,2004-04-01,27.37,28.56,25.72,25.73,68996995.0,24.88
Intel,2004-03-01,29.04,30.14,26.03,27.2,76426029.0,26.3
Intel,2004-02-02,30.9,31.43,28.65,29.2,60823984.0,28.23
Intel,2004-01-02,32.36,34.6,30.35,30.52,59486895.0,29.47
Intel,2003-12-01,33.82,34.4,29.66,32.05,50668872.0,30.95
Intel,2003-11-03,33.33,34.51,31.66,33.54,48305094.0,32.39
Intel,2003-10-01,27.82,33.28,27.81,32.95,54786638.0,31.8
Intel,2003-09-02,28.77,29.38,27.22,27.52,58535385.0,26.56
Intel,2003-08-01,24.78,29.04,23.33,28.59,56696171.0,27.59
Intel,2003-07-01,20.87,25.5,20.51,24.89,68178022.0,24.0
Intel,2003-06-02,21.0,22.92,19.99,20.81,67030680.0,20.07
Intel,2003-05-01,18.37,21.01,18.3,20.82,64541551.0,20.08
Intel,2003-04-01,16.38,19.56,16.28,18.4,61260466.0,17.72
Intel,2003-03-03,17.13,19.01,15.59,16.28,64721704.0,15.68
Intel,2003-02-03,15.65,17.29,14.88,17.25,54643742.0,16.62
Intel,2003-01-02,16.02,18.01,15.14,15.66,64880928.0,15.06
Intel,2002-12-02,21.88,22.09,15.42,15.57,58389095.0,14.98
Intel,2002-11-01,17.1,21.3,16.91,20.88,63559699.0,20.09
Intel,2002-10-01,14.05,17.51,12.95,17.3,85138574.0,16.62
Intel,2002-09-03,16.47,17.04,13.67,13.89,66464565.0,13.35
Intel,2002-08-01,18.72,19.67,15.82,16.67,55220986.0,16.02
Intel,2002-07-01,18.35,19.88,16.26,18.79,70957249.0,18.04
Intel,2002-06-03,27.43,28.2,17.45,18.27,69893439.0,17.54
Intel,2002-05-01,28.57,31.36,25.56,27.62,46150504.0,26.51
Intel,2002-04-01,30.14,31.45,27.51,28.61,46482072.0,27.44
Intel,2002-03-01,29.09,34.25,28.99,30.41,47849219.0,29.17
Intel,2002-02-01,34.82,35.07,28.5,28.55,53846668.0,27.38
Intel,2002-01-02,31.9,36.78,31.56,35.04,55613433.0,33.59
Intel,2001-12-03,32.29,34.85,31.41,31.45,43995395.0,30.15
Intel,2001-11-01,24.53,32.99,24.25,32.66,55037100.0,31.31
Intel,2001-10-01,20.21,26.5,19.08,24.42,56607743.0,23.39
Intel,2001-09-04,27.56,28.09,18.96,20.44,75960346.0,19.58
Intel,2001-08-01,30.62,32.23,26.88,27.96,43029891.0,26.78
Intel,2001-07-02,29.58,31.0,27.0,29.81,48377695.0,28.54
Intel,2001-06-01,27.26,31.93,26.14,29.25,50365990.0,28.0
Intel,2001-05-01,30.77,32.5,26.4,27.01,45703445.0,25.86
Intel,2001-04-02,26.06,32.57,22.25,30.91,63693440.0,29.57
Intel,2001-03-01,28.25,33.69,24.56,26.31,66763273.0,25.17
Intel,2001-02-01,37.06,38.23,28.0,28.56,50421578.0,27.32
Intel,2001-01-02,30.69,38.59,30.0,37.0,61110909.0,35.38
Intel,2000-12-01,38.5,38.5,29.81,30.06,58737290.0,28.74
Intel,2000-11-01,44.31,47.88,36.0,38.06,51287913.0,36.39
Intel,2000-10-02,42.94,47.0,35.0,45.0,67244954.0,43.01
Intel,2000-09-01,75.62,75.69,41.38,41.56,77048785.0,39.72
Intel,2000-08-01,67.06,75.83,60.44,74.87,31158291.0,71.55
Intel,2000-07-03,134.13,147.5,64.5,66.75,42980490.0,63.77
Intel,2000-06-01,126.19,140.25,124.12,133.69,40595390.0,63.86
Intel,2000-05-01,127.94,131.0,105.12,124.69,54545336.0,59.56
Intel,2000-04-03,131.38,139.06,108.37,126.81,65995536.0,60.56
Intel,2000-03-01,112.87,145.38,112.0,131.94,51730104.0,63.01
Intel,2000-02-01,98.37,116.5,96.62,113.0,50486320.0,53.97
Intel,2000-01-03,83.27,106.62,77.37,98.94,73769270.0,47.24
Intel,1999-12-01,76.06,85.5,70.56,82.31,38776809.0,39.3
Intel,1999-11-01,77.62,83.87,73.62,76.69,42351209.0,36.61
Intel,1999-10-01,74.25,79.81,65.0,77.44,61434561.0,36.96
Intel,1999-09-01,83.69,89.5,72.62,74.31,52269514.0,35.46
Intel,1999-08-02,69.87,84.5,69.5,82.19,51764545.0,39.23
Intel,1999-07-01,59.75,71.75,59.25,69.0,50930142.0,32.92
Intel,1999-06-01,53.81,59.88,50.13,59.5,43560354.0,28.38
Intel,1999-05-03,61.19,65.0,51.0,54.06,40838460.0,25.79
Intel,1999-04-01,119.94,133.5,55.0,61.19,53352276.0,29.18
Intel,1999-03-01,118.81,124.37,109.56,118.87,75877217.0,28.34
Intel,1999-02-01,140.69,140.69,118.87,119.94,84851705.0,28.6
Intel,1999-01-04,119.94,143.69,119.69,140.94,76369915.0,33.59
Intel,1998-12-01,105.81,126.19,105.69,118.56,56260290.0,28.25
Intel,1998-11-02,89.75,115.87,89.56,107.62,67840320.0,25.65
Intel,1998-10-01,84.25,90.81,75.81,89.19,73758672.0,21.25
Intel,1998-09-01,70.94,89.0,69.75,85.75,72464914.0,20.43
Intel,1998-08-03,83.62,92.62,70.94,71.19,88825752.0,16.96
Intel,1998-07-01,74.69,88.25,72.25,84.44,74254436.0,20.11
Intel,1998-06-01,69.12,77.62,65.66,74.12,67772472.0,17.65
Intel,1998-05-01,80.94,85.44,71.25,71.44,58246800.0,17.01
Intel,1998-04-01,77.5,85.06,71.31,80.81,76032038.0,19.24
Intel,1998-03-02,89.81,91.37,74.0,78.06,79953345.0,18.58
Intel,1998-02-02,82.5,95.62,82.19,89.69,74033663.0,21.35
Intel,1998-01-02,70.69,82.87,70.5,81.0,70181140.0,19.28
Intel,1997-12-01,78.5,81.75,67.37,70.25,66193927.0,16.71
Intel,1997-11-03,78.44,81.75,72.02,77.62,67702168.0,18.47
Intel,1997-10-01,92.75,95.62,69.25,77.0,90202660.0,18.32
Intel,1997-09-02,93.12,99.25,92.0,92.31,52210133.0,21.96
Intel,1997-08-01,92.75,102.0,89.87,92.12,69055923.0,21.91
Intel,1997-07-01,142.0,154.56,76.75,91.81,89247800.0,21.84
Intel,1997-06-02,154.0,154.63,140.75,141.81,103607314.0,16.86
Intel,1997-05-01,153.38,169.75,140.0,151.5,135409866.0,18.01
Intel,1997-04-01,137.63,153.5,128.25,153.13,117950036.0,18.2
Intel,1997-03-03,141.13,150.25,125.75,139.13,114471440.0,16.53
Intel,1997-02-03,163.5,165.0,137.0,141.88,121478652.0,16.86
Intel,1997-01-02,131.75,164.0,127.62,162.25,105976036.0,19.28
Intel,1996-12-02,126.0,141.5,123.37,130.94,88495771.0,15.56
Intel,1996-11-01,109.87,127.25,108.0,126.87,84585080.0,15.07
Intel,1996-10-01,94.62,114.25,94.25,109.87,80424765.0,13.05
Intel,1996-09-03,79.12,99.5,78.5,95.44,66584000.0,11.33
Intel,1996-08-01,75.37,83.25,74.87,79.81,57526690.0,9.48
Intel,1996-07-01,73.75,75.89,64.12,75.12,92232400.0,8.92
Intel,1996-06-03,75.12,77.75,70.25,73.44,57243600.0,8.71
Intel,1996-05-01,67.37,75.62,66.5,75.5,64441600.0,8.96
Intel,1996-04-01,57.13,70.37,56.38,67.75,80938895.0,8.04
Intel,1996-03-01,57.63,60.25,51.5,56.88,67761066.0,6.75
Intel,1996-02-01,55.0,61.63,54.86,58.81,60467920.0,6.97
Intel,1996-01-02,57.38,59.38,49.81,55.23,112054909.0,6.55
Intel,1995-12-01,61.38,64.0,55.19,56.75,64917040.0,6.73
Intel,1995-11-01,70.75,73.14,59.88,60.88,81136533.0,7.21
Intel,1995-10-02,60.61,71.37,57.75,69.87,82715418.0,8.28
Intel,1995-09-01,61.25,66.62,57.25,60.13,76068400.0,7.12
Intel,1995-08-01,65.0,67.25,57.13,61.38,87998226.0,7.27
Intel,1995-07-03,63.38,78.37,62.5,65.0,114913240.0,7.7
Intel,1995-06-01,112.5,117.62,58.38,63.31,92298400.0,7.49
Intel,1995-05-01,103.5,119.0,102.87,112.25,131184218.0,6.64
Intel,1995-04-03,84.75,104.12,84.5,102.37,115518315.0,6.06
Intel,1995-03-01,79.75,90.0,78.37,84.87,91427826.0,5.02
Intel,1995-02-01,69.37,80.75,69.12,79.75,84607242.0,4.72
Intel,1995-01-03,63.63,71.75,63.0,69.37,98914819.0,4.1
Intel,1994-12-01,62.0,65.75,57.5,63.88,102595885.0,3.78
Intel,1994-11-01,61.88,67.27,59.75,63.13,87542095.0,3.73
Intel,1994-10-03,61.75,63.0,57.38,62.13,82570133.0,3.67
Intel,1994-09-01,64.75,68.25,60.0,61.5,64968380.0,3.63
Intel,1994-08-01,59.0,67.5,56.63,65.75,71104347.0,3.88
Intel,1994-07-01,58.88,63.0,56.13,59.25,68221120.0,3.5
Intel,1994-06-01,62.5,65.0,57.25,58.5,55543636.0,3.45
Intel,1994-05-02,60.75,62.75,56.5,62.5,62761980.0,3.69
Intel,1994-04-04,65.5,71.0,56.0,61.0,103743578.0,3.6
Intel,1994-03-01,68.87,73.5,65.0,67.5,75196660.0,3.98
Intel,1994-02-01,65.0,69.25,60.5,68.75,75217684.0,4.05
