NAME,STRING,DESC
EPSG:4041,+proj=longlat +a=6378135 +b=6356750.304921594 +no_defs,Unknown datum based upon the Average Terrestrial System 1977 ellipsoid
EPSG:4042,+proj=longlat +a=6377299.36559538 +b=6356098.359005156 +no_defs,Unknown datum based upon the Everest (1830 Definition) ellipsoid
EPSG:4043,+proj=longlat +ellps=WGS72 +no_defs,Unknown datum based upon the WGS 72 ellipsoid
EPSG:4044,+proj=longlat +a=6377301.243 +b=6356100.230165384 +no_defs,Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid
EPSG:4045,+proj=longlat +a=6377299.151 +b=6356098.145120132 +no_defs,Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid
EPSG:4046,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",RGRDC 2005
EPSG:4047,+proj=longlat +a=6371007 +b=6371007 +no_defs,Unspecified datum based upon the GRS 1980 Authalic Sphere
EPSG:4052,+proj=longlat +a=6370997 +b=6370997 +no_defs,Unspecified datum based upon the Clarke 1866 Authalic Sphere
EPSG:4053,+proj=longlat +a=6371228 +b=6371228 +no_defs,Unspecified datum based upon the International 1924 Authalic Sphere
EPSG:4054,+proj=longlat +a=6378273 +b=6356889.449 +no_defs,Unspecified datum based upon the Hughes 1980 ellipsoid
EPSG:4055,"+proj=longlat +a=6378137 +b=6378137 +towgs84=0,0,0,0,0,0,0 +no_defs",Popular Visualisation CRS
EPSG:4075,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",SREF98
EPSG:4081,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",REGCAN95
EPSG:4120,+proj=longlat +ellps=bessel +no_defs,Greek
EPSG:4121,+proj=longlat +datum=GGRS87 +no_defs,GGRS87
EPSG:4122,+proj=longlat +a=6378135 +b=6356750.304921594 +no_defs,ATS77
EPSG:4123,"+proj=longlat +ellps=intl +towgs84=-96.062,-82.428,-121.753,4.801,0.345,-1.376,1.496 +no_defs",KKJ
EPSG:4124,"+proj=longlat +ellps=bessel +towgs84=414.1,41.3,603.1,-0.855,2.141,-7.023,0 +no_defs",RT90
EPSG:4125,"+proj=longlat +ellps=bessel +towgs84=-404.78,685.68,45.47,0,0,0,0 +no_defs",Samboja
EPSG:4126,+proj=longlat +ellps=GRS80 +no_defs,LKS94 (ETRS89)
EPSG:4127,"+proj=longlat +ellps=clrk66 +towgs84=219.315,168.975,-166.145,0.198,5.926,-2.356,-57.104 +no_defs",Tete
EPSG:4128,+proj=longlat +ellps=clrk66 +no_defs,Madzansua
EPSG:4129,+proj=longlat +ellps=clrk66 +no_defs,Observatario
EPSG:4130,"+proj=longlat +ellps=WGS84 +towgs84=0,0,0,-0,-0,-0,0 +no_defs",Moznet
EPSG:4131,"+proj=longlat +a=6377276.345 +b=6356075.41314024 +towgs84=198,881,317,0,0,0,0 +no_defs",Indian 1960
EPSG:4132,"+proj=longlat +ellps=clrk80 +towgs84=-239.1,-170.02,397.5,0,0,0,0 +no_defs",FD58
EPSG:4133,"+proj=longlat +ellps=GRS80 +towgs84=0.055,-0.541,-0.185,0.0183,-0.0003,-0.007,-0.014 +no_defs",EST92
EPSG:4134,"+proj=longlat +ellps=clrk80 +towgs84=-180.624,-225.516,173.919,-0.81,-1.898,8.336,16.7101 +no_defs",PSD93
EPSG:4135,"+proj=longlat +ellps=clrk66 +towgs84=61,-285,-181,0,0,0,0 +no_defs",Old Hawaiian
EPSG:4136,+proj=longlat +ellps=clrk66 +no_defs,St. Lawrence Island
EPSG:4137,+proj=longlat +ellps=clrk66 +no_defs,St. Paul Island
EPSG:4138,+proj=longlat +ellps=clrk66 +no_defs,St. George Island
EPSG:4139,"+proj=longlat +ellps=clrk66 +towgs84=11,72,-101,0,0,0,0 +no_defs",Puerto Rico
EPSG:4140,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",NAD83(CSRS98)
EPSG:4141,"+proj=longlat +ellps=GRS80 +towgs84=-48,55,52,0,0,0,0 +no_defs",Israel
EPSG:4142,"+proj=longlat +ellps=clrk80 +towgs84=-125,53,467,0,0,0,0 +no_defs",Locodjo 1965
EPSG:4143,"+proj=longlat +ellps=clrk80 +towgs84=-124.76,53,466.79,0,0,0,0 +no_defs",Abidjan 1987
EPSG:4144,"+proj=longlat +a=6377276.345 +b=6356075.41314024 +towgs84=282,726,254,0,0,0,0 +no_defs",Kalianpur 1937
EPSG:4145,"+proj=longlat +a=6377301.243 +b=6356100.230165384 +towgs84=283,682,231,0,0,0,0 +no_defs",Kalianpur 1962
EPSG:4146,"+proj=longlat +a=6377299.151 +b=6356098.145120132 +towgs84=295,736,257,0,0,0,0 +no_defs",Kalianpur 1975
EPSG:4147,"+proj=longlat +ellps=krass +towgs84=-17.51,-108.32,-62.39,0,0,0,0 +no_defs",Hanoi 1972
EPSG:4148,"+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +no_defs",Hartebeesthoek94
EPSG:4149,"+proj=longlat +ellps=bessel +towgs84=674.4,15.1,405.3,0,0,0,0 +no_defs",CH1903
EPSG:4150,"+proj=longlat +ellps=bessel +towgs84=674.374,15.056,405.346,0,0,0,0 +no_defs",CH1903+
EPSG:4151,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",CHTRF95
EPSG:4152,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",NAD83(HARN)
EPSG:4153,"+proj=longlat +ellps=intl +towgs84=-133.63,-157.5,-158.62,0,0,0,0 +no_defs",Rassadiran
EPSG:4154,"+proj=longlat +ellps=intl +towgs84=-117,-132,-164,0,0,0,0 +no_defs",ED50(ED77)
EPSG:4155,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-83,37,124,0,0,0,0 +no_defs",Dabola 1981
EPSG:4156,"+proj=longlat +ellps=bessel +towgs84=589,76,480,0,0,0,0 +no_defs",S-JTSK
EPSG:4157,+proj=longlat +a=6378293.645208759 +b=6356617.987679838 +no_defs,Mount Dillon
EPSG:4158,"+proj=longlat +ellps=intl +towgs84=-0.465,372.095,171.736,0,0,0,0 +no_defs",Naparima 1955
EPSG:4159,"+proj=longlat +ellps=intl +towgs84=-115.854,-99.0583,-152.462,0,0,0,0 +no_defs",ELD79
EPSG:4160,+proj=longlat +ellps=intl +no_defs,Chos Malal 1914
EPSG:4161,"+proj=longlat +ellps=intl +towgs84=27.5,14,186.4,0,0,0,0 +no_defs",Pampa del Castillo
EPSG:4162,+proj=longlat +ellps=bessel +no_defs,Korean 1985
EPSG:4163,"+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +no_defs",Yemen NGN96
EPSG:4164,"+proj=longlat +ellps=krass +towgs84=-76,-138,67,0,0,0,0 +no_defs",South Yemen
EPSG:4165,"+proj=longlat +ellps=intl +towgs84=-173,253,27,0,0,0,0 +no_defs",Bissau
EPSG:4166,"+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +no_defs",Korean 1995
EPSG:4167,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",NZGD2000
EPSG:4168,"+proj=longlat +a=6378300 +b=6356751.689189189 +towgs84=-199,32,322,0,0,0,0 +no_defs",Accra
EPSG:4169,"+proj=longlat +ellps=clrk66 +towgs84=-115,118,426,0,0,0,0 +no_defs",American Samoa 1962
EPSG:4170,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",SIRGAS 1995
EPSG:4171,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",RGF93
EPSG:4172,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",POSGAR
EPSG:4173,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",IRENET95
EPSG:4174,+proj=longlat +a=6378300 +b=6356751.689189189 +no_defs,Sierra Leone 1924
EPSG:4175,"+proj=longlat +ellps=clrk80 +towgs84=-88,4,101,0,0,0,0 +no_defs",Sierra Leone 1968
EPSG:4176,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",Australian Antarctic
EPSG:4178,"+proj=longlat +ellps=krass +towgs84=26,-121,-78,0,0,0,0 +no_defs",Pulkovo 1942(83)
EPSG:4179,"+proj=longlat +ellps=krass +towgs84=33.4,-146.6,-76.3,-0.359,-0.053,0.844,-0.84 +no_defs",Pulkovo 1942(58)
EPSG:4180,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",EST97
EPSG:4181,"+proj=longlat +ellps=intl +towgs84=-189.681,18.3463,-42.7695,-0.33746,-3.09264,2.53861,0.4598 +no_defs",Luxembourg 1930
EPSG:4182,"+proj=longlat +ellps=intl +towgs84=-425,-169,81,0,0,0,0 +no_defs",Azores Occidental 1939
EPSG:4183,"+proj=longlat +ellps=intl +towgs84=-104,167,-38,0,0,0,0 +no_defs",Azores Central 1948
EPSG:4184,"+proj=longlat +ellps=intl +towgs84=-203,141,53,0,0,0,0 +no_defs",Azores Oriental 1940
EPSG:4185,+proj=longlat +ellps=intl +no_defs,Madeira 1936
EPSG:4188,"+proj=longlat +ellps=airy +towgs84=482.5,-130.6,564.6,-1.042,-0.214,-0.631,8.15 +no_defs",OSNI 1952
EPSG:4189,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",REGVEN
EPSG:4190,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",POSGAR 98
EPSG:4191,+proj=longlat +ellps=krass +no_defs,Albanian 1987
EPSG:4192,"+proj=longlat +ellps=intl +towgs84=-206.1,-174.7,-87.7,0,0,0,0 +no_defs",Douala 1948
EPSG:4193,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-70.9,-151.8,-41.4,0,0,0,0 +no_defs",Manoca 1962
EPSG:4194,"+proj=longlat +ellps=intl +towgs84=164,138,-189,0,0,0,0 +no_defs",Qornoq 1927
EPSG:4195,"+proj=longlat +ellps=intl +towgs84=105,326,-102.5,0,0,0.814,-0.6 +no_defs",Scoresbysund 1952
EPSG:4196,"+proj=longlat +ellps=intl +towgs84=-45,417,-3.5,0,0,0.814,-0.6 +no_defs",Ammassalik 1958
EPSG:4197,+proj=longlat +ellps=clrk80 +no_defs,Garoua
EPSG:4198,+proj=longlat +ellps=clrk80 +no_defs,Kousseri
EPSG:4199,+proj=longlat +ellps=intl +no_defs,Egypt 1930
EPSG:4200,"+proj=longlat +ellps=krass +towgs84=24.47,-130.89,-81.56,-0,-0,0.13,-0.22 +no_defs",Pulkovo 1995
EPSG:4201,"+proj=longlat +ellps=clrk80 +towgs84=-166,-15,204,0,0,0,0 +no_defs",Adindan
EPSG:4202,"+proj=longlat +ellps=aust_SA +towgs84=-117.808,-51.536,137.784,0.303,0.446,0.234,-0.29 +no_defs",AGD66
EPSG:4203,"+proj=longlat +ellps=aust_SA +towgs84=-134,-48,149,0,0,0,0 +no_defs",AGD84
EPSG:4204,"+proj=longlat +ellps=intl +towgs84=-143,-236,7,0,0,0,0 +no_defs",Ain el Abd
EPSG:4205,"+proj=longlat +ellps=krass +towgs84=-43,-163,45,0,0,0,0 +no_defs",Afgooye
EPSG:4206,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Agadez
EPSG:4207,"+proj=longlat +ellps=intl +towgs84=-304.046,-60.576,103.64,0,0,0,0 +no_defs",Lisbon
EPSG:4208,"+proj=longlat +ellps=intl +towgs84=-151.99,287.04,-147.45,0,0,0,0 +no_defs",Aratu
EPSG:4209,"+proj=longlat +a=6378249.145 +b=6356514.966398753 +towgs84=-143,-90,-294,0,0,0,0 +no_defs",Arc 1950
EPSG:4210,"+proj=longlat +ellps=clrk80 +towgs84=-160,-6,-302,0,0,0,0 +no_defs",Arc 1960
EPSG:4211,"+proj=longlat +ellps=bessel +towgs84=-377,681,-50,0,0,0,0 +no_defs",Batavia
EPSG:4212,"+proj=longlat +ellps=clrk80 +towgs84=31.95,300.99,419.19,0,0,0,0 +no_defs",Barbados 1938
EPSG:4213,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-106,-87,188,0,0,0,0 +no_defs",Beduaram
EPSG:4214,"+proj=longlat +ellps=krass +towgs84=15.8,-154.4,-82.3,0,0,0,0 +no_defs",Beijing 1954
EPSG:4215,+proj=longlat +ellps=intl +no_defs,Belge 1950
EPSG:4216,"+proj=longlat +ellps=clrk66 +towgs84=-73,213,296,0,0,0,0 +no_defs",Bermuda 1957
EPSG:4218,"+proj=longlat +ellps=intl +towgs84=307,304,-318,0,0,0,0 +no_defs",Bogota 1975
EPSG:4219,"+proj=longlat +ellps=bessel +towgs84=-384,664,-48,0,0,0,0 +no_defs",Bukit Rimpah
EPSG:4220,"+proj=longlat +ellps=clrk80 +towgs84=-50.9,-347.6,-231,0,0,0,0 +no_defs",Camacupa
EPSG:4221,"+proj=longlat +ellps=intl +towgs84=-148,136,90,0,0,0,0 +no_defs",Campo Inchauspe
EPSG:4222,"+proj=longlat +a=6378249.145 +b=6356514.966398753 +towgs84=-136,-108,-292,0,0,0,0 +no_defs",Cape
EPSG:4223,+proj=longlat +datum=carthage +no_defs,Carthage
EPSG:4224,"+proj=longlat +ellps=intl +towgs84=-134,229,-29,0,0,0,0 +no_defs",Chua
EPSG:4225,"+proj=longlat +ellps=intl +towgs84=-206,172,-6,0,0,0,0 +no_defs",Corrego Alegre 1970-72
EPSG:4226,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Cote d'Ivoire
EPSG:4227,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-190.421,8.532,238.69,0,0,0,0 +no_defs",Deir ez Zor
EPSG:4228,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Douala
EPSG:4229,"+proj=longlat +ellps=helmert +towgs84=-130,110,-13,0,0,0,0 +no_defs",Egypt 1907
EPSG:4230,"+proj=longlat +ellps=intl +towgs84=-87,-98,-121,0,0,0,0 +no_defs",ED50
EPSG:4231,"+proj=longlat +ellps=intl +towgs84=-83.11,-97.38,-117.22,0.00569291,-0.0446976,0.0442851,0.1218 +no_defs",ED87
EPSG:4232,"+proj=longlat +ellps=clrk80 +towgs84=-346,-1,224,0,0,0,0 +no_defs",Fahud
EPSG:4233,"+proj=longlat +ellps=intl +towgs84=-133,-321,50,0,0,0,0 +no_defs",Gandajika 1970
EPSG:4234,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Garoua
EPSG:4235,+proj=longlat +ellps=intl +no_defs,Guyane Francaise
EPSG:4236,"+proj=longlat +ellps=intl +towgs84=-637,-549,-203,0,0,0,0 +no_defs",Hu Tzu Shan 1950
EPSG:4237,"+proj=longlat +ellps=GRS67 +towgs84=52.17,-71.82,-14.9,0,0,0,0 +no_defs",HD72
EPSG:4238,"+proj=longlat +a=6378160 +b=6356774.50408554 +towgs84=-24,-15,5,0,0,0,0 +no_defs",ID74
EPSG:4239,"+proj=longlat +a=6377276.345 +b=6356075.41314024 +towgs84=217,823,299,0,0,0,0 +no_defs",Indian 1954
EPSG:4240,"+proj=longlat +a=6377276.345 +b=6356075.41314024 +towgs84=210,814,289,0,0,0,0 +no_defs",Indian 1975
EPSG:4241,+proj=longlat +a=6378249.144808011 +b=6356514.966204134 +no_defs,Jamaica 1875
EPSG:4242,"+proj=longlat +ellps=clrk66 +towgs84=70,207,389.5,0,0,0,0 +no_defs",JAD69
EPSG:4243,+proj=longlat +a=6377299.36559538 +b=6356098.359005156 +no_defs,Kalianpur 1880
EPSG:4244,"+proj=longlat +a=6377276.345 +b=6356075.41314024 +towgs84=-97,787,86,0,0,0,0 +no_defs",Kandawala
EPSG:4245,"+proj=longlat +a=6377304.063 +b=6356103.038993155 +towgs84=-11,851,5,0,0,0,0 +no_defs",Kertau 1968
EPSG:4246,"+proj=longlat +ellps=clrk80 +towgs84=-294.7,-200.1,525.5,0,0,0,0 +no_defs",KOC
EPSG:4247,"+proj=longlat +ellps=intl +towgs84=-273.5,110.6,-357.9,0,0,0,0 +no_defs",La Canoa
EPSG:4248,"+proj=longlat +ellps=intl +towgs84=-288,175,-376,0,0,0,0 +no_defs",PSAD56
EPSG:4249,+proj=longlat +ellps=intl +no_defs,Lake
EPSG:4250,"+proj=longlat +ellps=clrk80 +towgs84=-130,29,364,0,0,0,0 +no_defs",Leigon
EPSG:4251,"+proj=longlat +ellps=clrk80 +towgs84=-90,40,88,0,0,0,0 +no_defs",Liberia 1964
EPSG:4252,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Lome
EPSG:4253,"+proj=longlat +ellps=clrk66 +towgs84=-133,-77,-51,0,0,0,0 +no_defs",Luzon 1911
EPSG:4254,"+proj=longlat +ellps=intl +towgs84=16,196,93,0,0,0,0 +no_defs",Hito XVIII 1963
EPSG:4255,"+proj=longlat +ellps=intl +towgs84=-333,-222,114,0,0,0,0 +no_defs",Herat North
EPSG:4256,"+proj=longlat +ellps=clrk80 +towgs84=41,-220,-134,0,0,0,0 +no_defs",Mahe 1971
EPSG:4257,"+proj=longlat +ellps=bessel +towgs84=-587.8,519.75,145.76,0,0,0,0 +no_defs",Makassar
EPSG:4258,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",ETRS89
EPSG:4259,"+proj=longlat +ellps=intl +towgs84=-254.1,-5.36,-100.29,0,0,0,0 +no_defs",Malongo 1987
EPSG:4260,"+proj=longlat +ellps=clrk80 +towgs84=-70.9,-151.8,-41.4,0,0,0,0 +no_defs",Manoca
EPSG:4261,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=31,146,47,0,0,0,0 +no_defs",Merchich
EPSG:4262,"+proj=longlat +ellps=bessel +towgs84=639,405,60,0,0,0,0 +no_defs",Massawa
EPSG:4263,"+proj=longlat +ellps=clrk80 +towgs84=-92,-93,122,0,0,0,0 +no_defs",Minna
EPSG:4264,"+proj=longlat +ellps=intl +towgs84=-252.95,-4.11,-96.38,0,0,0,0 +no_defs",Mhast
EPSG:4265,"+proj=longlat +ellps=intl +towgs84=-104.1,-49.1,-9.9,0.971,-2.917,0.714,-11.68 +no_defs",Monte Mario
EPSG:4266,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-74,-130,42,0,0,0,0 +no_defs",M'poraloko
EPSG:4267,+proj=longlat +datum=NAD27 +no_defs,NAD27
EPSG:4268,+proj=longlat +a=6378450.047548896 +b=6356826.621488444 +no_defs,NAD27 Michigan
EPSG:4269,+proj=longlat +datum=NAD83 +no_defs,NAD83
EPSG:4270,"+proj=longlat +ellps=clrk80 +towgs84=-243,-192,477,0,0,0,0 +no_defs",Nahrwan 1967
EPSG:4271,"+proj=longlat +ellps=intl +towgs84=-10,375,165,0,0,0,0 +no_defs",Naparima 1972
EPSG:4272,+proj=longlat +datum=nzgd49 +no_defs,NZGD49
EPSG:4273,"+proj=longlat +a=6377492.018 +b=6356173.508712696 +towgs84=278.3,93,474.5,7.889,0.05,-6.61,6.21 +no_defs",NGO 1948
EPSG:4274,"+proj=longlat +ellps=intl +towgs84=-223.237,110.193,36.649,0,0,0,0 +no_defs",Datum 73
EPSG:4275,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-168,-60,320,0,0,0,0 +no_defs",NTF
EPSG:4276,+proj=longlat +ellps=WGS66 +no_defs,NSWC 9Z-2
EPSG:4277,+proj=longlat +datum=OSGB36 +no_defs,OSGB 1936
EPSG:4278,+proj=longlat +ellps=airy +no_defs,OSGB70
EPSG:4279,+proj=longlat +ellps=airy +no_defs,OS(SN)80
EPSG:4280,+proj=longlat +ellps=bessel +no_defs,Padang
EPSG:4281,"+proj=longlat +a=6378300.789 +b=6356566.435 +towgs84=-275.722,94.7824,340.894,-8.001,-4.42,-11.821,1 +no_defs",Palestine 1923
EPSG:4282,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-148,51,-291,0,0,0,0 +no_defs",Pointe Noire
EPSG:4283,"+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs",GDA94
EPSG:4284,"+proj=longlat +ellps=krass +towgs84=23.92,-141.27,-80.9,-0,0.35,0.82,-0.12 +no_defs",Pulkovo 1942
EPSG:4285,"+proj=longlat +ellps=intl +towgs84=-128.16,-282.42,21.93,0,0,0,0 +no_defs",Qatar 1974
EPSG:4286,+proj=longlat +ellps=helmert +no_defs,Qatar 1948
EPSG:4287,"+proj=longlat +ellps=intl +towgs84=164,138,-189,0,0,0,0 +no_defs",Qornoq
EPSG:4288,+proj=longlat +ellps=intl +no_defs,Loma Quintana
EPSG:4289,"+proj=longlat +ellps=bessel +towgs84=565.417,50.3319,465.552,-0.398957,0.343988,-1.8774,4.0725 +no_defs",Amersfoort
EPSG:4291,"+proj=longlat +ellps=GRS67 +towgs84=-57,1,-41,0,0,0,0 +no_defs",SAD69
EPSG:4292,"+proj=longlat +ellps=intl +towgs84=-355,21,72,0,0,0,0 +no_defs",Sapper Hill 1943
EPSG:4293,"+proj=longlat +ellps=bess_nam +towgs84=616,97,-251,0,0,0,0 +no_defs",Schwarzeck
EPSG:4294,"+proj=longlat +ellps=bessel +towgs84=-403,684,41,0,0,0,0 +no_defs",Segora
EPSG:4295,+proj=longlat +ellps=bessel +no_defs,Serindung
EPSG:4296,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Sudan
EPSG:4297,"+proj=longlat +ellps=intl +towgs84=-189,-242,-91,0,0,0,0 +no_defs",Tananarive
EPSG:4298,"+proj=longlat +ellps=evrstSS +towgs84=-533.4,669.2,-52.5,0,0,4.28,9.4 +no_defs",Timbalai 1948
EPSG:4299,+proj=longlat +datum=ire65 +no_defs,TM65
EPSG:4300,"+proj=longlat +ellps=mod_airy +towgs84=482.5,-130.6,564.6,-1.042,-0.214,-0.631,8.15 +no_defs",TM75
EPSG:4301,"+proj=longlat +ellps=bessel +towgs84=-146.414,507.337,680.507,0,0,0,0 +no_defs",Tokyo
EPSG:4302,"+proj=longlat +a=6378293.645208759 +b=6356617.987679838 +towgs84=-61.702,284.488,472.052,0,0,0,0 +no_defs",Trinidad 1903
EPSG:4303,+proj=longlat +ellps=helmert +no_defs,TC(1948)
EPSG:4304,"+proj=longlat +a=6378249.2 +b=6356515 +towgs84=-73,-247,227,0,0,0,0 +no_defs",Voirol 1875
EPSG:4306,+proj=longlat +ellps=bessel +no_defs,Bern 1938
EPSG:4307,"+proj=longlat +ellps=clrk80 +towgs84=-186,-93,310,0,0,0,0 +no_defs",Nord Sahara 1959
EPSG:4308,+proj=longlat +ellps=bessel +no_defs,RT38
EPSG:4309,"+proj=longlat +ellps=intl +towgs84=-155,171,37,0,0,0,0 +no_defs",Yacare
EPSG:4310,+proj=longlat +a=6378249.2 +b=6356515 +no_defs,Yoff
EPSG:4311,"+proj=longlat +ellps=intl +towgs84=-265,120,-358,0,0,0,0 +no_defs",Zanderij
