memname,memlabel,name,type,length,npos,varnum,label,format,informat
REFERENTIAL_CONSTRAINTS,Referential constraints,CONSTRAINT_SCHEMA,char,8.0,72.0,4.0,Constraint Schema,,
REFERENTIAL_CONSTRAINTS,Referential constraints,CONSTRAINT_NAME,char,32.0,80.0,5.0,Constraint Name,,
REFERENTIAL_CONSTRAINTS,Referential constraints,UNIQUE_CONSTRAINT_CATALOG,char,32.0,112.0,6.0,Unique Constraint Catalog,,
REFERENTIAL_CONSTRAINTS,Referential constraints,UNIQUE_CONSTRAINT_SCHEMA,char,8.0,144.0,7.0,Unique Constraint Schema,,
REFERENTIAL_CONSTRAINTS,Referential constraints,UNIQUE_LIBNAME,char,8.0,152.0,8.0,Unique Library Name,,
REFERENTIAL_CONSTRAINTS,Referential constraints,UNIQUE_MEMNAME,char,32.0,160.0,9.0,Unique Member Name,,
REFERENTIAL_CONSTRAINTS,Referential constraints,UNIQUE_CONSTRAINT_NAME,char,32.0,192.0,10.0,Unique Constraint Name,,
REFERENTIAL_CONSTRAINTS,Referential constraints,MATCH_OPTION,char,8.0,224.0,11.0,Match Option,,
REFERENTIAL_CONSTRAINTS,Referential constraints,UPDATE_RULE,char,12.0,232.0,12.0,Update Rule,,
REFERENTIAL_CONSTRAINTS,Referential constraints,DELETE_RULE,char,12.0,244.0,13.0,Delete Rule,,
REFERENTIAL_CONSTRAINTS,Referential constraints,DIAGNOSTIC,char,256.0,256.0,14.0,Diagnostic Message from File Open Attempt,,
CHECK_CONSTRAINTS,Check constraints,CONSTRAINT_CATALOG,char,32.0,0.0,1.0,Constraint Catalog,,
CHECK_CONSTRAINTS,Check constraints,CONSTRAINT_SCHEMA,char,8.0,32.0,2.0,Constraint Schema,,
CHECK_CONSTRAINTS,Check constraints,CONSTRAINT_NAME,char,32.0,40.0,3.0,Constraint Name,,
CHECK_CONSTRAINTS,Check constraints,CHECK_CLAUSE,char,256.0,72.0,4.0,Check Clause,,
CHECK_CONSTRAINTS,Check constraints,DIAGNOSTIC,char,256.0,328.0,5.0,Diagnostic Message from File Open Attempt,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,TABLE_CATALOG,char,8.0,0.0,1.0,Libname,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,TABLE_SCHEMA,char,8.0,8.0,2.0,Table Schema,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,TABLE_NAME,char,32.0,16.0,3.0,Table,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,CONSTRAINT_CATALOG,char,32.0,48.0,4.0,Constraint Catalog,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,CONSTRAINT_SCHEMA,char,8.0,80.0,5.0,Constraint Schema,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,CONSTRAINT_NAME,char,32.0,88.0,6.0,Constraint Name,,
CONSTRAINT_TABLE_USAGE,Constraint table usage,DIAGNOSTIC,char,256.0,120.0,7.0,Diagnostic Message from File Open Attempt,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,TABLE_CATALOG,char,8.0,0.0,1.0,Libname,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,TABLE_SCHEMA,char,8.0,8.0,2.0,Table Schema,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,TABLE_NAME,char,32.0,16.0,3.0,Table,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,COLUMN_NAME,char,32.0,48.0,4.0,Column,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,CONSTRAINT_CATALOG,char,32.0,80.0,5.0,Constraint Catalog,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,CONSTRAINT_SCHEMA,char,8.0,112.0,6.0,Constraint Schema,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,CONSTRAINT_NAME,char,32.0,120.0,7.0,Constraint Name,,
CONSTRAINT_COLUMN_USAGE,Constraint column usage,DIAGNOSTIC,char,256.0,152.0,8.0,Diagnostic Message from File Open Attempt,,
DICTIONARIES,DICTIONARY tables and their columns,MEMNAME,char,32.0,0.0,1.0,Member Name,,
DICTIONARIES,DICTIONARY tables and their columns,MEMLABEL,char,256.0,32.0,2.0,Data Set Label,,
DICTIONARIES,DICTIONARY tables and their columns,NAME,char,32.0,288.0,3.0,Column Name,,
DICTIONARIES,DICTIONARY tables and their columns,TYPE,char,4.0,320.0,4.0,Column Type,,
DICTIONARIES,DICTIONARY tables and their columns,LENGTH,num,8.0,324.0,5.0,Column Length,,
DICTIONARIES,DICTIONARY tables and their columns,NPOS,num,8.0,332.0,6.0,Column Position,,
DICTIONARIES,DICTIONARY tables and their columns,VARNUM,num,8.0,340.0,7.0,Column Number in Table,,
DICTIONARIES,DICTIONARY tables and their columns,LABEL,char,256.0,348.0,8.0,Column Label,,
DICTIONARIES,DICTIONARY tables and their columns,FORMAT,char,49.0,604.0,9.0,Column Format,,
DICTIONARIES,DICTIONARY tables and their columns,INFORMAT,char,49.0,653.0,10.0,Column Informat,,
GOPTIONS,SAS/GRAPH options,OPTNAME,char,32.0,0.0,1.0,Option Name,,
GOPTIONS,SAS/GRAPH options,OPTTYPE,char,8.0,32.0,2.0,Option type,,
GOPTIONS,SAS/GRAPH options,OFFSET,num,8.0,40.0,3.0,Offset into option value,,
GOPTIONS,SAS/GRAPH options,SETTING,char,1024.0,48.0,4.0,Option Setting,,
GOPTIONS,SAS/GRAPH options,OPTDESC,char,160.0,1072.0,5.0,Option Description,,
GOPTIONS,SAS/GRAPH options,LEVEL,char,8.0,1232.0,6.0,Option Location,,
GOPTIONS,SAS/GRAPH options,OPTSTART,char,8.0,1240.0,7.0,Option Set,,
GOPTIONS,SAS/GRAPH options,GROUP,char,32.0,1248.0,8.0,Option Group,,
ENGINES,Available engines,ENGINE,char,8.0,0.0,1.0,Engine Name,,
ENGINES,Available engines,ALIAS,char,8.0,8.0,2.0,Alias,,
ENGINES,Available engines,DESCRIPTION,char,40.0,16.0,3.0,Description,,
ENGINES,Available engines,PREFERRED,char,3.0,56.0,4.0,Preferred?,,
ENGINES,Available engines,PROPERTIES,char,1024.0,59.0,5.0,Engine Dialog Properties,,
LIBNAMES,LIBNAME information,LIBNAME,char,8.0,0.0,1.0,Library Name,,
LIBNAMES,LIBNAME information,ENGINE,char,8.0,8.0,2.0,Engine Name,,
LIBNAMES,LIBNAME information,PATH,char,1024.0,16.0,3.0,Pathname,,
LIBNAMES,LIBNAME information,LEVEL,num,8.0,1040.0,4.0,Library Concatenation Level,,
LIBNAMES,LIBNAME information,FILEFORMAT,char,8.0,1048.0,5.0,Default File Format,,
LIBNAMES,LIBNAME information,READONLY,char,3.0,1056.0,6.0,Read-only?,,
LIBNAMES,LIBNAME information,SEQUENTIAL,char,3.0,1059.0,7.0,Sequential?,,
LIBNAMES,LIBNAME information,SYSDESC,char,1024.0,1062.0,8.0,System Information Description,,
LIBNAMES,LIBNAME information,SYSNAME,char,1024.0,2086.0,9.0,System Information Name,,
LIBNAMES,LIBNAME information,SYSVALUE,char,1024.0,3110.0,10.0,System Information Value,,
LIBNAMES,LIBNAME information,TEMP,char,3.0,4134.0,11.0,Temp Access?,,
DESTINATIONS,Open ODS Destinations,DESTINATION,char,100.0,0.0,1.0,Destination,,
DESTINATIONS,Open ODS Destinations,STYLE,char,32.0,100.0,2.0,Style,,
FUNCTIONS,Available functions,SOURCE,char,1.0,0.0,1.0,Format Source,,
FUNCTIONS,Available functions,FNCNAME,char,32.0,1.0,2.0,Function name,,
FUNCTIONS,Available functions,MINARG,num,8.0,33.0,3.0,Minimum args to function,,
FUNCTIONS,Available functions,MAXARG,num,8.0,41.0,4.0,Maximum args to function,,
FUNCTIONS,Available functions,FNCTYPE,char,1.0,49.0,5.0,Function type,,
FUNCTIONS,Available functions,FNCARGS,num,8.0,50.0,6.0,Argument attributes,,
FUNCTIONS,Available functions,FNCPROD,char,1.0,58.0,7.0,Function implementation type,,
INFOMAPS,Information Maps,LIBNAME,char,8.0,0.0,1.0,Library Name,,
INFOMAPS,Information Maps,MEMNAME,char,32.0,8.0,2.0,Member Name,,
INFOMAPS,Information Maps,MAPNAME,char,60.0,40.0,3.0,Information Map Name,,
INFOMAPS,Information Maps,REPOSITORY,char,128.0,100.0,4.0,Information Map Repository,,
INFOMAPS,Information Maps,PATH,char,1024.0,228.0,5.0,Information Map Path,,
INFOMAPS,Information Maps,PROMPTID,char,1024.0,1252.0,6.0,Information Map Prompt ID,,
INFOMAPS,Information Maps,DESCRIPTION,char,1024.0,2276.0,7.0,Information Map Description,,
INFOMAPS,Information Maps,DIAGNOSTIC,char,256.0,3300.0,8.0,Diagnostic Message from File Open Attempt,,
DATAITEMS,Information Map Data Items,LIBNAME,char,8.0,0.0,1.0,Library Name,,
DATAITEMS,Information Map Data Items,MEMNAME,char,32.0,8.0,2.0,Member Name,,
DATAITEMS,Information Map Data Items,NAME,char,32.0,40.0,3.0,Column Name,,
DATAITEMS,Information Map Data Items,DATAITEMNAME,char,1024.0,72.0,4.0,Data Item Name,,
DATAITEMS,Information Map Data Items,ID,char,1024.0,1096.0,5.0,Data Item ID,,
DATAITEMS,Information Map Data Items,PATH,char,1024.0,2120.0,6.0,Data Item Path,,
DATAITEMS,Information Map Data Items,CLASS,char,8.0,3144.0,7.0,Data Item Classification,,
DATAITEMS,Information Map Data Items,AGGREGATION,char,64.0,3152.0,8.0,Data Item Default Aggregation,,
DATAITEMS,Information Map Data Items,ISCALC,char,3.0,3216.0,9.0,Data Item is Calculated?,,
DATAITEMS,Information Map Data Items,ISUSABLE,char,3.0,3219.0,10.0,Data Item is Usable?,,
DATAITEMS,Information Map Data Items,PROMPTID,char,1024.0,3222.0,11.0,Data Item Prompt ID,,
DATAITEMS,Information Map Data Items,DESCRIPTION,char,1024.0,4246.0,12.0,Data Item Description,,
DATAITEMS,Information Map Data Items,DIAGNOSTIC,char,256.0,5270.0,13.0,Diagnostic Message from File Open Attempt,,
FILTERS,Information Map Filters,LIBNAME,char,8.0,0.0,1.0,Library Name,,
FILTERS,Information Map Filters,MEMNAME,char,32.0,8.0,2.0,Member Name,,
FILTERS,Information Map Filters,NAME,char,32.0,40.0,3.0,SAS Name for Filter,,
FILTERS,Information Map Filters,FILTERNAME,char,1024.0,72.0,4.0,Filter Name,,
FILTERS,Information Map Filters,ID,char,1024.0,1096.0,5.0,Filter ID,,
FILTERS,Information Map Filters,PATH,char,1024.0,2120.0,6.0,Filter Path,,
FILTERS,Information Map Filters,PROMPTUSAGE,char,6.0,3144.0,7.0,Filter Prompt Usage,,
FILTERS,Information Map Filters,USAGEPROMPTID,char,1024.0,3150.0,8.0,Prompt ID Usage with Filter,,
FILTERS,Information Map Filters,DESCRIPTION,char,1024.0,4174.0,9.0,Filter Description,,
FILTERS,Information Map Filters,DIAGNOSTIC,char,256.0,5198.0,10.0,Diagnostic Message from File Open Attempt,,
PROMPTS,Information Map Prompts,LIBNAME,char,8.0,0.0,1.0,Library Name,,
PROMPTS,Information Map Prompts,MEMNAME,char,32.0,8.0,2.0,Member Name,,
PROMPTS,Information Map Prompts,NAME,char,32.0,40.0,3.0,SAS Name for Prompt,,
PROMPTS,Information Map Prompts,PROMPTNAME,char,1024.0,72.0,4.0,Prompt Name,,
PROMPTS,Information Map Prompts,ID,char,1024.0,1096.0,5.0,Prompt ID,,
PROMPTS,Information Map Prompts,TEXT,char,1024.0,2120.0,6.0,Prompting Text,,
PROMPTS,Information Map Prompts,TYPE,char,4.0,3144.0,7.0,Prompt Value Type,,
PROMPTS,Information Map Prompts,LENGTH,num,8.0,3148.0,8.0,Prompt Value Length,,
PROMPTS,Information Map Prompts,PROMPTTYPE,char,64.0,3156.0,9.0,Prompt Value SQL Type,,
PROMPTS,Information Map Prompts,DEPENDENTPID,char,1024.0,3220.0,10.0,Dependent Prompt ID,,
PROMPTS,Information Map Prompts,DESCRIPTION,char,1024.0,4244.0,11.0,Prompt Description,,
PROMPTS,Information Map Prompts,DIAGNOSTIC,char,256.0,5268.0,12.0,Diagnostic Message from File Open Attempt,,
PROMPTSXML,Information Map Prompts XML,LIBNAME,char,8.0,0.0,1.0,Library Name,,
PROMPTSXML,Information Map Prompts XML,MEMNAME,char,32.0,8.0,2.0,Member Name,,
PROMPTSXML,Information Map Prompts XML,ID,char,1024.0,40.0,3.0,Prompt ID,,
PROMPTSXML,Information Map Prompts XML,ORDER,num,8.0,1064.0,4.0,Order Number of XML String,,
PROMPTSXML,Information Map Prompts XML,LENGTH,num,8.0,1072.0,5.0,XML String Length,,
PROMPTSXML,Information Map Prompts XML,XML,char,32767.0,1080.0,6.0,Prompt XML String,,
PROMPTSXML,Information Map Prompts XML,DIAGNOSTIC,char,256.0,33847.0,7.0,Diagnostic Message from File Open Attempt,,
VIEW_SOURCES,Sources Referenced by View,LIBNAME,char,8.0,0.0,1.0,Library Name,,
VIEW_SOURCES,Sources Referenced by View,MEMNAME,char,32.0,8.0,2.0,Member Name,,
VIEW_SOURCES,Sources Referenced by View,ENGINE,char,8.0,40.0,3.0,Engine Name,,
VIEW_SOURCES,Sources Referenced by View,SRC_LIBNAME,char,8.0,48.0,4.0,Source Library Name,,
VIEW_SOURCES,Sources Referenced by View,SRC_MEMNAME,char,32.0,56.0,5.0,Source Member Name,,
VIEW_SOURCES,Sources Referenced by View,SRC_COUNT,num,8.0,88.0,6.0,Number of References to Source,,
VIEW_SOURCES,Sources Referenced by View,SRC_OUTPUT,char,3.0,96.0,7.0,Source written to?,,
XATTRS,Extended Attributes,LIBNAME,char,8.0,0.0,1.0,Library Name,,
XATTRS,Extended Attributes,MEMNAME,char,32.0,8.0,2.0,Member Name,,
XATTRS,Extended Attributes,NAME,char,32.0,40.0,3.0,Column Name,,
XATTRS,Extended Attributes,XATTR,char,32.0,72.0,4.0,Extended Attribute Name,,
