CONT,ID,ISO,NAME,ISONAME,region,pop,popAGR,popUrban,totalFR,AdolescentFPpct,AdolescentFPyear,AdultLiteracypct,MaleSchoolpct,FemaleSchoolpct,GNI,PopPovertypct,PopPovertyYear
91.0,595.0,484.0,MEXICO,MEXICO,AMR,107029360.0,0.013402629944,0.76,2.3,,,0.903,0.99,1.0,9590.0,0.099,2000.0
91.0,665.0,558.0,NICARAGUA,NICARAGUA,AMR,5486685.0,0.018472706809,0.581,3.2,0.185,1999.0,0.767,0.86,0.85,3300.0,0.451,2001.0
91.0,710.0,591.0,PANAMA,PANAMA,AMR,3231502.0,0.01746947253,0.578,2.7,0.179,2000.0,0.919,1.0,0.99,6870.0,0.072,2000.0
91.0,763.0,659.0,SAINT KITTS/NEVIS,SAINT KITTS AND NEVIS,AMR,42696.0,0.0046636327043,0.319,2.4,,,,,,11190.0,,
91.0,926.0,840.0,UNITED STATES,UNITED STATES,AMR,298212895.0,0.0091832420353,0.808,2.0,0.116,2000.0,,0.92,0.93,39710.0,,
92.0,149.0,28.0,ANTIGUA/BARBUDA,ANTIGUA AND BARBUDA,AMR,81485.0,0.014752684466,0.384,2.3,,,,,,10360.0,,
92.0,150.0,32.0,ARGENTINA,ARGENTINA,AMR,38747148.0,0.0097164900185,0.906,2.3,0.133,2000.0,0.972,,,12460.0,0.033,2001.0
92.0,184.0,52.0,BARBADOS,BARBADOS,AMR,269556.0,0.0025762890673,0.529,1.5,,,0.997,1.0,1.0,15060.0,,
92.0,205.0,68.0,BOLIVIA,BOLIVIA,AMR,9182015.0,0.018750609213,0.644,3.8,0.109,2002.0,0.865,0.95,0.95,2590.0,0.144,1999.0
92.0,220.0,76.0,BRAZIL,BRAZIL,AMR,186404913.0,0.013158167048,0.842,2.3,,,0.884,0.98,0.91,8020.0,0.082,2001.0
92.0,275.0,152.0,CHILE,CHILE,AMR,16295102.0,0.011406661747,0.877,2.0,0.155,1999.0,0.957,0.85,0.84,10500.0,,2000.0
92.0,285.0,170.0,COLOMBIA,COLOMBIA,AMR,45600244.0,0.015421037274,0.774,2.6,0.188,2004.0,0.942,0.88,0.87,6820.0,0.082,1999.0
92.0,318.0,212.0,DOMINICA,DOMINICA,AMR,78940.0,0.0045065361574,0.727,2.0,,,,0.83,0.79,5250.0,,
92.0,325.0,218.0,ECUADOR,ECUADOR,AMR,13228423.0,0.013563494808,0.628,2.7,0.135,1997.0,0.91,0.99,1.0,3690.0,0.177,1998.0
92.0,406.0,308.0,GRENADA,GRENADA,AMR,102924.0,0.0027984777317,0.422,2.4,,,,0.89,0.8,7000.0,,
92.0,418.0,328.0,GUYANA,GUYANA,AMR,751218.0,0.0024192766987,0.385,2.2,,,,1.0,0.98,4110.0,,
92.0,715.0,600.0,PARAGUAY,PARAGUAY,AMR,6158259.0,0.022252398652,0.585,3.8,0.1,1997.0,0.916,0.89,0.89,4870.0,0.164,2002.0
92.0,720.0,604.0,PERU,PERU,AMR,27968244.0,0.014627850044,0.746,2.8,0.115,1998.0,0.877,1.0,1.0,5370.0,0.181,2000.0
92.0,770.0,662.0,ST. LUCIA,SAINT LUCIA,AMR,160765.0,0.0075857890552,0.313,2.2,0.141,2000.0,0.901,0.99,1.0,5560.0,,
92.0,775.0,670.0,SAINT VINCENT/GRENADINES,SAINT VINCENT AND THE GRENADINES,AMR,119051.0,0.0047223223334,0.605,2.2,,,,0.9,0.9,6250.0,,
92.0,840.0,740.0,SURINAME,SURINAME,AMR,449238.0,0.0074303062189,0.772,2.6,0.125,2000.0,0.88,0.96,0.98,,,
92.0,887.0,780.0,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,AMR,1305236.0,0.0032847906364,0.762,1.6,0.126,1997.0,0.985,0.91,0.9,11180.0,,
92.0,930.0,858.0,URUGUAY,URUGUAY,AMR,3463197.0,0.006671983177,0.93,2.3,0.148,2000.0,0.977,0.9,0.91,9070.0,,2000.0
92.0,940.0,862.0,VENEZUELA,VENEZUELA,AMR,26749114.0,0.017541865018,0.881,2.7,0.181,2000.0,0.93,0.9,0.91,5760.0,0.143,1998.0
93.0,115.0,31.0,AZERBAIJAN,AZERBAIJAN,EUR,8410801.0,0.0070049733484,0.499,1.8,0.106,2000.0,0.988,0.81,0.79,3830.0,0.037,2001.0
93.0,120.0,8.0,ALBANIA,ALBANIA,EUR,3129678.0,-0.00068337945659,0.45,2.2,0.038,1999.0,0.987,0.96,0.94,5070.0,,2002.0
93.0,135.0,51.0,ARMENIA,ARMENIA,EUR,3016312.0,-0.0064069254403,0.641,1.3,0.15,1998.0,0.994,0.95,0.93,4270.0,0.128,1998.0
93.0,140.0,20.0,ANDORRA,ANDORRA,EUR,67151.0,0.0040852302855,0.913,1.3,,,,0.88,0.9,,,
93.0,165.0,40.0,AUSTRIA,AUSTRIA,EUR,8189444.0,0.0015371574031,0.658,1.4,0.052,2001.0,,0.89,0.91,31790.0,,
93.0,185.0,70.0,BOSNIA/HERZEGOVINA,BOSNIA AND HERZEGOVINA,EUR,3907074.0,0.013464086702,0.453,1.3,0.084,1998.0,0.946,,,7430.0,,
93.0,190.0,56.0,BELGIUM,BELGIUM,EUR,10419049.0,0.0025638048148,0.973,1.7,,,,1.0,1.0,31360.0,,
93.0,211.0,112.0,BELARUS,BELARUS,EUR,9755106.0,-0.0043603586379,0.716,1.2,0.104,2001.0,0.996,0.95,0.94,6900.0,,2000.0
93.0,245.0,100.0,BULGARIA,BULGARIA,EUR,7725965.0,-0.0064064172605,0.705,1.2,0.179,2001.0,0.982,0.91,0.9,7870.0,0.047,2001.0
93.0,310.0,203.0,CZECH REPUBLIC,CZECH REPUBLIC,EUR,10219603.0,-0.00098894442214,0.745,1.2,0.05,2001.0,,0.87,0.87,18400.0,,
93.0,315.0,208.0,DENMARK,DENMARK,EUR,5430590.0,0.0035085437976,0.855,1.8,0.022,2001.0,,1.0,1.0,31550.0,,
93.0,331.0,233.0,ESTONIA,ESTONIA,EUR,1329697.0,-0.008006781325,0.696,1.4,0.09,2001.0,0.998,0.95,0.94,13190.0,,1998.0
93.0,340.0,246.0,FINLAND,FINLAND,EUR,5249060.0,0.0024674478401,0.609,1.7,0.031,2001.0,,1.0,1.0,29560.0,,
93.0,350.0,250.0,FRANCE,FRANCE,EUR,60495537.0,0.0034744693065,0.767,1.9,0.028,1999.0,,0.99,0.99,29320.0,,
93.0,390.0,268.0,GEORGIA,GEORGIA,EUR,4474404.0,-0.010728492946,0.515,1.4,0.187,1998.0,,0.89,0.88,2930.0,0.027,2001.0
93.0,394.0,276.0,GERMANY,GERMANY,EUR,82689210.0,0.0011988925312,0.885,1.3,0.048,2000.0,,,,27950.0,,
93.0,400.0,300.0,GREECE,GREECE,EUR,11119891.0,0.0040617942255,0.614,1.2,0.044,1999.0,0.91,0.99,0.99,22000.0,,
93.0,416.0,826.0,GUERNSEY,UNITED KINGDOM,EUR,59667844.0,0.003093483596,0.892,1.7,0.088,2000.0,,1.0,1.0,31460.0,,
93.0,440.0,191.0,CROATIA,CROATIA,EUR,4551338.0,-0.0028037984816,0.599,1.3,0.056,2001.0,0.981,0.9,0.89,11670.0,,2001.0
93.0,445.0,348.0,HUNGARY,HUNGARY,EUR,10097731.0,-0.0020009559191,0.659,1.3,0.086,2001.0,0.993,0.91,0.9,15620.0,,2002.0
93.0,450.0,352.0,ICELAND,ICELAND,EUR,294561.0,0.0087960661721,0.93,2.0,0.054,2000.0,,1.0,0.99,32360.0,,
93.0,470.0,372.0,IRELAND,IRELAND,EUR,4147901.0,0.012337568827,0.604,1.9,0.049,2001.0,,0.95,0.97,33170.0,,
93.0,480.0,380.0,ITALY,ITALY,EUR,58092744.0,0.001269611123,0.675,1.3,0.028,2000.0,,1.0,0.99,27860.0,,
93.0,495.0,826.0,JERSEY,UNITED KINGDOM,EUR,59667844.0,0.003093483596,0.892,1.7,0.088,2000.0,,1.0,1.0,31460.0,,
93.0,541.0,428.0,LATVIA,LATVIA,EUR,2306988.0,-0.0074199021672,0.659,1.3,0.073,2001.0,0.997,0.86,0.85,11850.0,,1998.0
93.0,542.0,440.0,LITHUANIA,LITHUANIA,EUR,3431033.0,-0.0052150810434,0.666,1.3,0.086,2001.0,0.996,0.91,0.91,12610.0,,2000.0
93.0,548.0,703.0,SLOVAKIA,SLOVAKIA,EUR,5400908.0,0.00070257096174,0.58,1.2,0.088,2001.0,0.996,0.85,0.86,14370.0,,
93.0,570.0,442.0,LUXEMBOURG,LUXEMBOURG,EUR,464904.0,0.012577236239,0.924,1.7,0.036,2001.0,,0.9,0.91,61220.0,,
93.0,574.0,807.0,MACEDONIA,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",EUR,2034060.0,0.003361202369,0.597,1.5,,,0.961,0.91,0.91,6480.0,,1998.0
93.0,576.0,498.0,MOLDOVA,"MOLDOVA, REPUBLIC OF",EUR,4205747.0,-0.002820645125,0.463,1.2,0.138,2001.0,0.962,0.79,0.79,1930.0,0.22,2001.0
93.0,588.0,826.0,MAN,UNITED KINGDOM,EUR,59667844.0,0.003093483596,0.892,1.7,0.088,2000.0,,1.0,1.0,31460.0,,
93.0,590.0,470.0,MALTA,MALTA,EUR,401630.0,0.0056837605609,0.921,1.5,0.058,2001.0,0.879,0.96,0.96,18720.0,,
93.0,607.0,492.0,MONACO,MONACO,EUR,35253.0,0.009872443204,1.0,1.8,,,,,,,,
93.0,630.0,528.0,NETHERLANDS,NETHERLANDS,EUR,16299173.0,0.0048560658249,0.668,1.7,0.023,2001.0,,1.0,0.99,31220.0,,
93.0,685.0,578.0,NORWAY,NORWAY,EUR,4620275.0,0.0053463510836,0.805,1.8,0.031,2001.0,,1.0,1.0,38550.0,,
93.0,688.0,688.0,SERBIA,SERBIA,EUR,10503115.0,-0.00036565370658,0.523,1.6,0.077,2000.0,0.964,0.96,0.96,,,
93.0,730.0,616.0,POLAND,POLAND,EUR,38529562.0,-9.233529111e-05,0.62,1.2,0.061,2001.0,,0.98,0.98,12640.0,,2001.0
93.0,735.0,620.0,PORTUGAL,PORTUGAL,EUR,10494502.0,0.0040244085136,0.556,1.5,0.069,2001.0,,1.0,0.99,19250.0,,
93.0,755.0,642.0,ROMANIA,ROMANIA,EUR,21711472.0,-0.0040001336048,0.547,1.3,0.148,2000.0,0.973,0.89,0.88,8190.0,,2002.0
93.0,782.0,674.0,SAN MARINO,SAN MARINO,EUR,28117.0,0.0082272518876,0.887,1.2,,,,,,,,
93.0,789.0,705.0,SLOVENIA,SLOVENIA,EUR,1966814.0,0.00016408374152,0.508,1.2,0.026,2001.0,0.997,0.94,0.93,20730.0,,1998.0
93.0,830.0,724.0,SPAIN,SPAIN,EUR,43064189.0,0.006627051571,0.767,1.3,0.036,2000.0,0.971,1.0,0.99,25070.0,,
93.0,850.0,752.0,SWEDEN,SWEDEN,EUR,9041262.0,0.0020304357166,0.834,1.7,0.021,2001.0,,1.0,0.99,29770.0,,
93.0,855.0,756.0,SWITZERLAND,SWITZERLAND,EUR,7252331.0,0.0033270572923,0.675,1.4,0.02,2001.0,,0.99,0.99,35370.0,,
93.0,925.0,826.0,UNITED KINGDOM,UNITED KINGDOM,EUR,59667844.0,0.003093483596,0.892,1.7,0.088,2000.0,,1.0,1.0,31460.0,,
93.0,928.0,804.0,UKRAINE,UKRAINE,EUR,46480703.0,-0.0091839489131,0.673,1.1,0.174,1998.0,0.994,0.84,0.84,6250.0,0.029,1999.0
94.0,125.0,12.0,ALGERIA,ALGERIA,AFR,32853798.0,0.013593489152,0.6,2.5,,,0.698,0.96,0.94,6260.0,,
94.0,141.0,24.0,ANGOLA,ANGOLA,AFR,15941392.0,0.023496775372,0.372,6.7,,,0.668,0.66,0.57,2030.0,,
94.0,210.0,72.0,BOTSWANA,BOTSWANA,AFR,1764926.0,0.0091194148897,0.525,3.1,,,0.789,0.79,0.83,8920.0,,
94.0,252.0,108.0,BURUNDI,BURUNDI,AFR,7547515.0,0.016886898232,0.106,6.8,,,0.589,0.62,0.52,660.0,0.546,1998.0
94.0,257.0,120.0,CAMEROON,CAMEROON,AFR,16321863.0,0.018876958414,0.529,4.5,0.139,2003.0,0.679,,,2090.0,0.171,2001.0
94.0,264.0,132.0,CAPE VERDE,CAPE VERDE,AFR,506807.0,0.021290215741,0.576,3.6,,,0.757,1.0,0.98,5650.0,,
94.0,269.0,140.0,CENTRAL AFRICAN REP.,CENTRAL AFRICAN REPUBLIC,AFR,4037747.0,0.015598200783,0.438,4.9,,,0.486,,,1110.0,,
94.0,273.0,148.0,CHAD,CHAD,AFR,9748931.0,0.029949125034,0.258,6.7,0.147,2003.0,0.255,0.72,0.49,1420.0,,
94.0,286.0,174.0,COMOROS,COMOROS,AFR,797902.0,0.025013308506,0.363,4.7,,,0.562,0.59,0.5,1840.0,,
94.0,290.0,178.0,CONGO,CONGO,AFR,3998904.0,0.029066502331,0.544,6.3,,,0.828,0.55,0.53,750.0,,
94.0,291.0,180.0,ZAIRE,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",AFR,57548744.0,0.021844242782,0.327,6.7,,,0.653,,,680.0,,
94.0,311.0,204.0,BENIN,BENIN,AFR,8438853.0,0.028056074846,0.461,5.7,0.093,1999.0,0.336,0.69,0.47,1120.0,,
94.0,317.0,262.0,DJIBOUTI,DJIBOUTI,EMR,793078.0,0.024983537206,0.846,4.9,,,,0.4,0.32,2270.0,,
94.0,327.0,232.0,ERITREA,ERITREA,AFR,4401357.0,0.031696839705,0.208,5.4,0.081,2000.0,,0.49,0.42,1050.0,,
94.0,332.0,226.0,EQUATORIAL GUINEA,EQUATORIAL GUINEA,AFR,503519.0,0.021449692733,0.5,5.9,,,0.842,0.91,0.78,7400.0,,
94.0,335.0,231.0,ETHIOPIA,ETHIOPIA,AFR,77430702.0,0.023368242906,0.162,5.7,0.094,1998.0,0.415,0.55,0.47,810.0,0.23,
94.0,388.0,266.0,GABON,GABON,AFR,1383841.0,0.019895093667,0.852,3.9,0.169,1998.0,,0.79,0.78,5600.0,,
94.0,389.0,270.0,GAMBIA,GAMBIA,AFR,1517079.0,0.028541285508,0.261,4.6,,,,0.79,0.78,1900.0,0.593,1998.0
94.0,396.0,288.0,GHANA,GHANA,AFR,22112805.0,0.020271186925,0.463,4.2,0.083,2002.0,0.541,0.64,0.62,2280.0,0.448,
94.0,417.0,324.0,GUINEA,GUINEA,AFR,9402098.0,0.020322591613,0.365,5.8,0.147,1997.0,,0.73,0.58,2130.0,,
94.0,485.0,384.0,IVORY COAST,COTE D'IVOIRE,AFR,18153867.0,0.019347451164,0.458,4.9,0.123,1997.0,0.481,0.67,0.54,1390.0,0.108,2002.0
94.0,505.0,404.0,KENYA,KENYA,AFR,34255722.0,0.020854611973,0.416,5.0,0.117,2002.0,0.736,0.66,0.66,1050.0,0.228,1997.0
94.0,543.0,426.0,LESOTHO,LESOTHO,AFR,1794769.0,0.0060773054482,0.182,3.5,,,0.814,0.83,0.89,3210.0,,
94.0,545.0,430.0,LIBERIA,LIBERIA,AFR,3283267.0,0.042296383741,0.479,6.8,,,0.559,0.79,0.61,,,
94.0,550.0,434.0,LIBYA,LIBYAN ARAB JAMAHIRIYA,EMR,5853452.0,0.017886573995,0.869,2.9,,,0.817,,,,,
94.0,575.0,450.0,MADAGASCAR,MADAGASCAR,AFR,18605921.0,0.026490577581,0.27,5.3,0.145,2002.0,0.706,0.78,0.79,830.0,0.61,2001.0
94.0,577.0,454.0,MALAWI,MALAWI,AFR,12883935.0,0.022323211489,0.172,6.0,0.13,1998.0,0.641,,,620.0,0.417,
94.0,585.0,466.0,MALI,MALI,AFR,13518416.0,0.026060684304,0.337,6.8,0.137,2000.0,0.19,0.5,0.39,980.0,,
94.0,592.0,478.0,MAURITANIA,MAURITANIA,AFR,3068742.0,0.026251487967,0.643,5.7,0.089,1999.0,0.512,0.68,0.67,2050.0,0.259,2000.0
94.0,593.0,480.0,MAURITIUS,MAURITIUS,AFR,1244663.0,0.0092593365447,0.438,2.0,0.096,2000.0,0.843,0.96,0.98,11870.0,,
94.0,610.0,504.0,MOROCCO,MOROCCO,EMR,31478460.0,0.013963747766,0.588,2.7,0.017,1999.0,0.507,0.92,0.87,4100.0,,1999.0
94.0,615.0,508.0,MOZAMBIQUE,MOZAMBIQUE,AFR,19792295.0,0.020517630909,0.38,5.4,0.162,2002.0,0.465,0.58,0.53,1160.0,,
94.0,667.0,562.0,NIGER,NIGER,AFR,13956977.0,0.031186964927,0.233,7.8,0.145,1997.0,0.144,0.45,0.31,830.0,,
94.0,670.0,566.0,NIGERIA,NIGERIA,AFR,131529669.0,0.021629878714,0.483,5.7,0.111,2002.0,0.668,0.74,0.6,930.0,0.702,1997.0
94.0,737.0,624.0,GUINEA-BISSAU,GUINEA-BISSAU,AFR,1586344.0,0.026156677473,0.356,7.1,,,,0.53,0.37,690.0,,
94.0,758.0,646.0,RWANDA,RWANDA,AFR,9037690.0,0.050268462994,0.218,5.6,0.046,1999.0,0.64,0.85,0.88,1300.0,0.517,
94.0,783.0,678.0,SAO TOME/PRINCIPE,SAO TOME AND PRINCIPE,AFR,156523.0,0.018369021685,0.379,3.9,,,,1.0,0.94,,,
94.0,787.0,686.0,SENEGAL,SENEGAL,AFR,11658172.0,0.022444213579,0.51,4.9,,,0.393,0.71,0.66,1720.0,,
94.0,788.0,690.0,SEYCHELLES,SEYCHELLES,AFR,80654.0,0.0059397390304,0.502,2.1,,,0.919,1.0,0.99,15590.0,,
94.0,790.0,694.0,SIERRA LEONE,SIERRA LEONE,AFR,5525478.0,0.025792126406,0.402,6.5,,,0.296,,,790.0,,
94.0,800.0,706.0,SOMALIA,SOMALIA,EMR,8227826.0,0.02353126337,0.359,6.3,,,,,,,,
94.0,801.0,710.0,SOUTH AFRICA,SOUTH AFRICA,AFR,47431829.0,0.012012850048,0.579,2.8,,,0.824,0.89,0.89,10960.0,0.107,2000.0
94.0,818.0,716.0,ZIMBABWE,ZIMBABWE,AFR,13009534.0,0.009068461066,0.359,3.4,0.133,1997.0,0.9,0.79,0.8,2180.0,,
94.0,821.0,516.0,NAMIBIA,NAMIBIA,AFR,2031252.0,0.019798398405,0.335,3.8,0.105,1999.0,0.85,0.76,0.81,6960.0,,
94.0,835.0,736.0,SUDAN,SUDAN,EMR,36232945.0,0.019265082205,0.408,4.3,,,0.59,0.5,0.42,1870.0,,
94.0,847.0,748.0,SWAZILAND,SWAZILAND,AFR,1032438.0,0.0082070600932,0.239,3.8,,,0.792,0.75,0.75,4970.0,,
94.0,865.0,834.0,TANZANIA,"TANZANIA, UNITED REPUBLIC OF",AFR,38328809.0,0.019794116343,0.375,4.9,0.122,1998.0,0.694,0.83,0.81,660.0,,
94.0,883.0,768.0,TOGO,TOGO,AFR,6145004.0,0.028708896268,0.363,5.2,,,0.53,0.99,0.83,1690.0,,
94.0,890.0,788.0,TUNISIA,TUNISIA,EMR,10102467.0,0.010805505356,0.644,1.9,0.018,1999.0,0.743,0.97,0.97,7310.0,,2000.0
94.0,910.0,800.0,UGANDA,UGANDA,AFR,28816229.0,0.02905363675,0.124,7.1,0.136,1999.0,0.689,,,1520.0,0.849,1999.0
94.0,922.0,818.0,EGYPT,EGYPT,EMR,74032884.0,0.017246539654,0.423,3.2,0.026,1999.0,0.556,0.93,0.9,4120.0,0.031,
94.0,927.0,854.0,BURKINA FASO,BURKINA FASO,AFR,13227835.0,0.026906631338,0.186,6.6,0.101,2002.0,0.128,0.42,0.31,1220.0,0.449,1998.0
94.0,990.0,894.0,ZAMBIA,ZAMBIA,AFR,11668457.0,0.018466667611,0.365,5.5,0.137,2000.0,0.679,0.69,0.68,890.0,0.637,1998.0
95.0,110.0,4.0,AFGHANISTAN,AFGHANISTAN,EMR,29863005.0,0.032916324332,0.243,7.4,,,,,,,,
95.0,181.0,48.0,BAHRAIN,BAHRAIN,EMR,726617.0,0.020528632466,0.902,2.4,0.024,1999.0,0.877,0.89,0.91,18070.0,,
95.0,182.0,50.0,BANGLADESH,BANGLADESH,SEAR,141822276.0,0.018011737311,0.25,3.2,0.226,2003.0,0.411,0.82,0.86,1980.0,0.36,2000.0
95.0,200.0,64.0,BHUTAN,BHUTAN,SEAR,2162546.0,0.020159716099,0.091,4.2,,,,,,,,
95.0,232.0,96.0,BRUNEI,BRUNEI DARUSSALAM,WPR,373819.0,0.021721262117,0.776,2.4,0.064,2000.0,0.927,,,,,
95.0,250.0,104.0,MYANMAR,MYANMAR,SEAR,50519492.0,0.01173044863,0.306,2.3,,,0.897,0.84,0.85,,,
95.0,255.0,116.0,CAMBODIA,CAMBODIA,WPR,14071014.0,0.019563820681,0.197,4.0,0.058,1999.0,0.736,0.96,0.91,2180.0,0.341,1997.0
95.0,272.0,144.0,SRI LANKA,SRI LANKA,SEAR,20742905.0,0.0086528375803,0.21,1.9,,,0.904,,,4000.0,0.076,
95.0,280.0,156.0,CHINA,CHINA,WPR,1323344591.0,0.0070435215315,0.405,1.7,0.01,2001.0,0.909,,,5530.0,0.166,2001.0
95.0,305.0,196.0,CYPRUS,CYPRUS,EUR,835307.0,0.012280321921,0.695,1.6,0.029,2000.0,0.968,0.96,0.96,22330.0,,
95.0,455.0,356.0,INDIA,INDIA,SEAR,1103370802.0,0.015126525807,0.287,3.0,0.081,1997.0,0.61,0.9,0.85,3100.0,0.347,
95.0,458.0,360.0,INDONESIA,INDONESIA,SEAR,222781487.0,0.011834867261,0.479,2.3,0.099,2001.0,0.879,0.93,0.92,3460.0,0.075,2002.0
95.0,460.0,364.0,IRAN,"IRAN, ISLAMIC REPUBLIC OF",EMR,69515206.0,0.0099387374489,0.681,2.1,0.08,2000.0,0.77,0.88,0.85,7550.0,,1998.0
95.0,465.0,368.0,IRAQ,IRAQ,EMR,28807190.0,0.026348211358,0.668,4.7,,,,0.98,0.83,,,
95.0,475.0,376.0,ISRAEL,ISRAEL,EUR,6724564.0,0.020772118951,0.917,2.8,0.029,2000.0,0.969,0.99,0.99,23510.0,,
95.0,490.0,392.0,JAPAN,JAPAN,WPR,128084652.0,0.0019368433743,0.657,1.3,0.02,2000.0,,1.0,1.0,30040.0,,
95.0,500.0,400.0,JORDAN,JORDAN,EMR,5702776.0,0.026331075543,0.793,3.4,0.038,2001.0,0.899,0.91,0.93,4640.0,,1997.0
95.0,510.0,417.0,KYRGYZSTAN,KYRGYZSTAN,EUR,5263794.0,0.012672666945,0.337,2.6,0.071,2000.0,0.987,0.91,0.88,1840.0,,2002.0
95.0,514.0,408.0,"KOREA, NORTH","KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",SEAR,22487661.0,0.0067937180626,0.617,2.0,,,,,,,,
95.0,515.0,410.0,"KOREA, SOUTH","KOREA, REPUBLIC OF",WPR,47816936.0,0.0057121450087,0.808,1.2,0.008,2000.0,,1.0,1.0,20400.0,,1998.0
95.0,520.0,414.0,KUWAIT,KUWAIT,EMR,2686873.0,0.043928257533,0.964,2.3,,,0.829,0.82,0.84,19510.0,,
95.0,525.0,398.0,KAZAKHSTAN,KAZAKHSTAN,EUR,14825105.0,-0.0066730085791,0.559,1.9,0.104,1997.0,0.995,0.92,0.91,6980.0,,2003.0
95.0,530.0,418.0,LAOS,LAO PEOPLE'S DEMOCRATIC REPUBLIC,WPR,5924145.0,0.021411161687,0.216,4.7,0.105,1997.0,0.687,0.88,0.82,1850.0,0.263,
95.0,540.0,422.0,LEBANON,LEBANON,EMR,3576818.0,0.010892986656,0.88,2.3,,,,0.91,0.9,5380.0,,
95.0,580.0,458.0,MALAYSIA,MALAYSIA,WPR,25347368.0,0.020299266554,0.651,2.8,0.024,1998.0,0.887,0.93,0.93,9630.0,,1997.0
95.0,583.0,462.0,MALDIVES,MALDIVES,SEAR,329198.0,0.024639096173,0.297,4.1,,,0.963,0.92,0.93,,,
95.0,608.0,496.0,MONGOLIA,MONGOLIA,WPR,2646487.0,0.0090411528904,0.57,2.4,0.062,2000.0,0.978,0.78,0.8,2020.0,0.27,1998.0
95.0,616.0,512.0,OMAN,OMAN,EMR,2566981.0,0.015282407709,0.786,3.6,,,0.744,0.72,0.72,13250.0,,
95.0,625.0,524.0,NEPAL,NEPAL,SEAR,27132629.0,0.020619120553,0.158,3.6,0.135,2000.0,0.486,0.75,0.66,1470.0,,
95.0,626.0,626.0,EAST TIMOR,TIMOR-LESTE,SEAR,947064.0,0.0045369243861,0.078,7.8,,,,,,,,
95.0,700.0,586.0,PAKISTAN,PAKISTAN,EMR,157935075.0,0.02073375654,0.348,4.1,0.068,1999.0,0.487,0.68,0.5,2160.0,0.134,
95.0,725.0,608.0,PHILIPPINES,PHILIPPINES,WPR,83054478.0,0.017829677951,0.626,3.1,0.075,2002.0,0.926,0.93,0.95,4890.0,0.155,2000.0
95.0,747.0,634.0,QATAR,QATAR,EMR,812842.0,0.039828586951,0.923,2.9,,,0.892,0.95,0.94,,,
95.0,784.0,762.0,TAJIKISTAN,TAJIKISTAN,EUR,6506980.0,0.010898842756,0.242,3.7,,,0.995,0.97,0.91,1150.0,0.074,2003.0
95.0,785.0,682.0,SAUDI ARABIA,SAUDI ARABIA,EMR,24573100.0,0.025152850327,0.885,3.9,,,0.794,0.55,0.54,14010.0,,
95.0,795.0,702.0,SINGAPORE,SINGAPORE,WPR,4325539.0,0.020787913551,1.0,1.3,0.028,2000.0,0.925,,,26590.0,,
95.0,825.0,643.0,RUSSIA,RUSSIAN FEDERATION,EUR,143201572.0,-0.0029333493758,0.733,1.3,0.113,2001.0,0.994,0.89,0.9,9620.0,,2002.0
95.0,858.0,760.0,SYRIA,SYRIAN ARAB REPUBLIC,EMR,19043382.0,0.023331983134,0.503,3.3,,,0.829,1.0,0.96,3550.0,,
95.0,875.0,764.0,THAILAND,THAILAND,SEAR,64232758.0,0.0088253644827,0.325,1.9,0.084,2000.0,0.926,0.87,0.84,8020.0,,2000.0
