optname,opttype,offset,setting,optdesc,level,optstart,group
AUTHPROVIDERDOMAIN,char,0.0,,Specifies the authentication provider that is associated with a domain.,Host,startup,EXECMODES
AUTOCOPY,Boolean,,NOAUTOCOPY,Automatic hard copy after display,GRAPH,,
AUTOCORRECT,Boolean,0.0,AUTOCORRECT,"Automatically corrects misspelled procedure names and keywords, and global statement names.",Portable,anytime,ERRORHANDLING
AUTOEXEC,char,0.0,/pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/autoexec.sas,Specifies the location of the SAS AUTOEXEC files.,Portable,startup,ENVFILES
AUTOFEED,Boolean,,NOAUTOFEED,Automatic paper feed after plot,GRAPH,,
AUTOSAVELOC,char,0.0,,Specifies the location of the Program Editor auto-saved file.,Portable,anytime,ENVDISPLAY
AUTOSIGNON,Boolean,0.0,NOAUTOSIGNON,Enables a SAS/CONNECT client to automatically submit the SIGNON command remotely with the RSUBMIT command.,Portable,anytime,COMMUNICATIONS
AUTOSIZE,Boolean,,,Change character cell size to preserve device catalog rows and columns,GRAPH,,
AZUREAUTHCACHELOC,char,0.0,,Path to Azure Login info,Portable,startup,SECURITY
AZURETENANTID,char,0.0,,Azure Tenant ID,Portable,anytime,COMMUNICATIONS
BACKGROUND,char,0.0,,Application Background Color.,Host,startup,ENVDISPLAY
BAUD,num,,,Communications line speed,GRAPH,,
BD,char,0.0,,Border Color.,Host,startup,ENVDISPLAY
BG,char,0.0,,Application Background Color.,Host,startup,ENVDISPLAY
BINDING,char,,DEFAULTEDGE,Binding edge,GRAPH,,
BINDING,char,0.0,DEFAULT,Specifies the binding edge type of duplexed printed output.,Portable,anytime,ODSPRINT
BLKSIZE,num,0.0,256,Specifies the number of bytes that are read or written in one I/O operation.,Host,anytime,SASFILES
BOMFILE,Boolean,0.0,BOMFILE,Writes the byte order mark (BOM) prefix when a Unicode-encoded file is written to an external file.,Portable,anytime,EXTFILES
BORDER,Boolean,,NOBORDER,Draw a border around display or plot,GRAPH,,
BORDERCOLOR,char,0.0,,Application Border Color.,Host,startup,ENVDISPLAY
BORDERWIDTH,char,0.0,,Application Border Width.,Host,startup,ENVDISPLAY
BOTTOMMARGIN,char,0.0,0.000 IN,Specifies the size of the margin at the bottom of a printed page.,Portable,anytime,ODSPRINT
BUFNO,num,0.0,10,Specifies the number of buffers for processing SAS data sets.,Portable,anytime,PERFORMANCE
BUFSIZE,num,0.0,131072,Specifies the size of a buffer page for output SAS data sets.,Portable,anytime,PERFORMANCE
BW,char,0.0,,Application Border Width.,Host,startup,ENVDISPLAY
BYERR,Boolean,0.0,BYERR,SAS issues an error message and stops processing if the SORT procedure attempts to sort a _NULL_ data set.,Portable,anytime,ERRORHANDLING
BYLINE,Boolean,0.0,BYLINE,Prints the BY line above each BY group.,Portable,anytime,LISTCONTROL
BYSORTED,Boolean,0.0,BYSORTED,Requires observations in one or more data sets to be sorted in alphabetic or numeric order.,Portable,anytime,INPUTCONTROL
CAPS,Boolean,0.0,NOCAPS,"Converts certain types of input, and all data lines, into uppercase characters.",Portable,anytime,INPUTCONTROL
CARDIMAGE,Boolean,0.0,NOCARDIMAGE,Processes SAS source code and data lines as 80-byte records.,Portable,anytime,INPUTCONTROL
CASAUTHINFO,char,0.0,,Specifies an authinfo or netrc file that includes authentication information.,Portable,anytime,CAS
CASDATALIMIT,char,0.0,100M,Specifies the maximum number of bytes that can be read from a file.,Portable,anytime,CAS
CASHOST,char,0.0,,The CAS server name associated with a CAS session.,Portable,anytime,CAS
CASLIB,char,0.0,,Specify the default CASLIB name.,Portable,anytime,CAS
CASNCHARMULTIPLIER,char,0.0,1.5,Specifies a multiplication factor to increase the number of bytes when transcoding fixed CHAR data.,Portable,anytime,CAS
CASNWORKERS,char,0.0,ALL,Specify the number of workers to use with a CAS session.,Portable,anytime,CAS
CASPORT,num,0.0,0,The port associated with a CAS session.,Portable,anytime,CAS
CASSESSOPTS,char,0.0,,Identify CAS server session options.,Portable,anytime,CAS
CASTIMEOUT,num,0.0,60,The CAS session timeout in seconds.,Portable,anytime,CAS
CASUSER,char,0.0,,The userid associated with a CAS session.,Portable,anytime,CAS
CATCACHE,num,0.0,0,Specifies the number of SAS catalogs to keep open in cache memory.,Portable,startup,SASFILES
CBACK,char,,,Background color,GRAPH,,
CBUFNO,num,0.0,0,Specifies the number of extra page buffers to allocate for each open SAS catalog.,Portable,anytime,SASFILES
CBY,char,,,BY line color,GRAPH,,
CELL,Boolean,,CELL,Hardware characters must be on cell boundaries,GRAPH,,
CENTER,Boolean,0.0,CENTER,Center SAS procedure output.,Portable,anytime,LISTCONTROL
CGOPTIMIZE,num,0.0,3,Specifies the level of optimization to perform during code compilation.,Portable,anytime,CODEGEN
CHARACTERS,Boolean,,CHARACTERS,Use hardware characters,GRAPH,,
CHARCODE,Boolean,0.0,NOCHARCODE,Substitutes specific keyboard combinations for special characters that are not on the keyboard.,Portable,anytime,ENVDISPLAY
CHARTYPE,num,,,Default hardware font,GRAPH,,
CHKPTCLEAN,Boolean,0.0,NOCHKPTCLEAN,Erases files in the Work library after a batch program successfully executes in checkpoint mode or restart mode.,Portable,startup,ERRORHANDLING
CIRCLEARC,Boolean,,CIRCLEARC,Use hardware circle/arc generator,GRAPH,,
CLEANUP,Boolean,0.0,CLEANUP,Performs automatic continuous cleanup of non-essential resources in out-of-resource conditions.,Portable,anytime,ERRORHANDLING
CMDMAC,Boolean,0.0,NOCMDMAC,Checks window environment commands for command-style macros.,Portable,anytime,MACRO
CMPLIB,char,0.0,,Specifies one or more SAS data sets that contain compiler subroutines to include during compilation.,Portable,anytime,SASFILES
CMPMODEL,char,0.0,BOTH,Specifies the output model type for the MODEL procedure.,Portable,anytime,PERFORMANCE
CMPOPT,char,0.0,(NOPRECISE NOPROFILE NODEBUGHOST NODEBUGPORT NOEXTRAMATH NOMISSCHECK NOGUARDCHECK NOGENSYMNAMES SHORTCIRCUIT NOFUNCDIFFERENCING),Specifies the type of code-generation optimizations to use in the SAS language compiler.,Portable,anytime,PERFORMANCE
COLLATE,Boolean,,NOCOLLATE,Collate output,GRAPH,,
COLLATE,Boolean,0.0,NOCOLLATE,Collates multiple copies of printed output.,Portable,anytime,ODSPRINT
COLOPHON,char,0.0,,Specifies the comment text that is included in graphic stream files.,Portable,anytime,ODSPRINT
COLORPRINTING,Boolean,0.0,COLORPRINTING,Prints in color if color printing is supported.,Portable,anytime,ODSPRINT
COLORS,char,,( ),Default color list,GRAPH,,
COMAMID,char,0.0,TCP,Specifies the communication access method for connecting client and server sessions across a network.,Portable,anytime,COMMUNICATIONS
COMAUX1,char,0.0,,Specifies the first alternate communication access method.,Host,startup,COMMUNICATIONS
COMAUX2,char,0.0,,Specifies the second alternate communication access method.,Host,startup,COMMUNICATIONS
COMPRESS,char,0.0,NO,Specifies the type of compression to use for observations in output SAS data sets.,Portable,anytime,PERFORMANCE
CONFIG,char,0.0,( /pbr/sfw/sas/940/SASFoundation/9.4/sasv9.cfg /pbr/sfw/sas/940/SASFoundation/9.4/nls/u8/sasv9.cfg /pbr/sfw/sas/940/SASFoundation/9.4/sasv9_local.cfg /pbr/biconfig/940/Lev1/SASApp/sasv9.cfg /pbr/biconfig/940/Lev1/SASApp/sasv9_usermods.cfg /pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/sasv9.cfg /pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/sasv9_usermods.cfg ),Specifies the configuration file that is used when initializing or overriding the values of SAS system options.,Host,startup,ENVFILES
CONNECTEVENTS,Boolean,0.0,CONNECTEVENTS,Clients receive SAS events propagated from a SAS/CONNECT server.,Portable,anytime,COMMUNICATIONS
CONNECTMETACONNECTION,Boolean,0.0,CONNECTMETACONNECTION,"At sign-on, connects the SAS/CONNECT server to the SAS Metadata server.",Portable,anytime,COMMUNICATIONS
CONNECTOUTPUT,char,0.0,BUFFERED,"Specifies whether to send the SAS/CONNECT server log and list output immediately, or to buffer the output.",Portable,anytime,COMMUNICATIONS
CONNECTPERSIST,Boolean,0.0,CONNECTPERSIST,Continues a client/server connection after an RSUBMIT statement has completed.,Portable,anytime,COMMUNICATIONS
CONNECTREMOTE,char,0.0,,Specifies the ID of a specific server session that a client connects to.,Portable,anytime,COMMUNICATIONS
CONNECTSTATUS,Boolean,0.0,CONNECTSTATUS,Displays the Transfer Status window during file transfers.,Portable,anytime,COMMUNICATIONS
CONNECTWAIT,Boolean,0.0,CONNECTWAIT,Executes RSUBMIT statements synchronously.,Portable,anytime,COMMUNICATIONS
COPIES,num,0.0,1,Specifies the number of copies to print.,Portable,anytime,ODSPRINT
CPATTERN,char,,,Default pattern color,GRAPH,,
CPUCOUNT,num,0.0,2,Specifies the number of processors that thread-enabled applications should assume are available for concurrent processing.,Portable,anytime,PERFORMANCE
CPUID,Boolean,0.0,CPUID,Prints the CPU identification number at the beginning of the SAS log.,Portable,startup,LOGCONTROL
CSTGLOBALLIB,char,0.0,,Specifies the location of the SAS Clinical Standards Toolkit global library.,Portable,startup,EXECMODES
CSTSAMPLELIB,char,0.0,,Specifies the location of the SAS Clinical Standards Toolkit sample library.,Portable,startup,EXECMODES
CSYMBOL,char,,,Default symbol color,GRAPH,,
CTEXT,char,,,Default text color,GRAPH,,
CTITLE,char,,,"Default title, footnote and note color",GRAPH,,
DASH,Boolean,,DASH,Use hardware dashed line generator,GRAPH,,
DASHSCALE,num,,,Dash pattern scale factor,GRAPH,,
DATAPAGESIZE,char,0.0,CURRENT,"Specifies whether the page size for a data set or utility file is compatible with SAS 9.3 processing, or is determined by the current version of SAS.",Portable,startup,TK
DATASTMTCHK,char,0.0,COREKEYWORDS,Specifies which SAS statement keywords are prohibited from being specified as a one-level DATA step name to protect against overwriting an input data set.,Portable,anytime,SASFILES
DATE,Boolean,0.0,DATE,Prints the date and time that a SAS program started.,Portable,anytime,LOG_LISTCONTROL
DATESTYLE,char,0.0,DMY,"Specifies the sequence of month, day, and year when ANYDTDTE, ANYDTDTM, or ANYDTTME informat data is ambiguous.",Portable,anytime,INPUTCONTROL
DBCS,Boolean,0.0,DBCS,Enables double-byte character sets for encoding values that support East Asian languages.,Host,startup,LANGUAGECONTROL
DBCSLANG,char,0.0,UNKNOWN,Specifies a double-byte character set language.,Host,startup,LANGUAGECONTROL
DBCSTYPE,char,0.0,UTF8,Specifies the encoding method that is used for a double-byte character set.,Host,startup,LANGUAGECONTROL
DBFMTIGNORE,Boolean,0.0,NODBFMTIGNORE,Uses the FLOAT data type in tables.,Portable,anytime,INPUTCONTROL
DBIDIRECTEXEC,Boolean,0.0,NODBIDIRECTEXEC,The SQL pass-through facility optimizes the handling of SQL statements.,Portable,anytime,PERFORMANCE
DBSLICEPARM,char,0.0,"(THREADED_APPS, 2)","Specifies whether SAS procedures, applications, and the DATA step can read DBMS tables in parallel, and the number of threads to use to read the DBMS tables.",Portable,anytime,PERFORMANCE
DBSRVTP,char,0.0,NONE,Specifies whether SAS/ACCESS engines hold or block the originating client while making performance-critical calls to the database.,Portable,startup,COMMUNICATIONS
DCSHOST,char,0.0,localhost,Specifies the host name of the SAS Document Conversion Server.,Portable,anytime,COMMUNICATIONS
DCSPORT,num,0.0,7111,Specifies the port number of the SAS Document Conversion Server.,Portable,anytime,COMMUNICATIONS
DECIMALCONV,char,0.0,COMPATIBLE,Specifies the binary to decimal conversion and formatting methodology.,Portable,anytime,LOG_LISTCONTROL
DEFLATION,num,0.0,6,Specifies the level of compression for device drivers that support the Deflate compression algorithm.,Portable,anytime,ODSPRINT
DELAY,num,,,Animation delay time in 100ths of a second,GRAPH,,
DETAILS,Boolean,0.0,NODETAILS,Displays additional information when files are listed in a SAS library.,Portable,anytime,LOG_LISTCONTROL
DEVADDR,char,,,"IBM Device address, qname, or node name",GRAPH,,
DEVCONFIG,char,,,Driver configuration file,GRAPH,,
DEVICE,char,,,Graphics output device,GRAPH,,
DEVICE,char,0.0,,Specifies the device driver to which SAS/GRAPH sends procedure output.,Portable,anytime,GRAPHICS
DEVMAP,char,,DEFAULT,Output character map for hardware text,GRAPH,,
DFLANG,char,0.0,ENGLISH,Specifies the language for international date informats and formats.,Portable,anytime,LANGUAGECONTROL
DISPLAY,Boolean,,DISPLAY,Display graph on device,GRAPH,,
DISPLAY,char,0.0,,Display and Screen.,Host,startup,ENVDISPLAY
DISPOSAL,char,,NONE,Image animation disposal method,GRAPH,,
DKRICOND,char,0.0,ERROR,"Specifies the error level to report when a variable is missing from an input data set during the processing of a DROP=, KEEP=, or RENAME= data set option.",Portable,anytime,SASFILES
DKROCOND,char,0.0,WARN,"Specifies the error level to report when a variable is missing from an output data set during the processing of a DROP=, KEEP=, or RENAME= data set option.",Portable,anytime,SASFILES
DL,char,0.0,,Download file before SAS starts.,Host,anytime,COMMUNICATIONS
DLCREATEDIR,Boolean,0.0,NODLCREATEDIR,Creates a directory for the SAS library that is named in a LIBNAME statement if the directory does not already exist.,Portable,anytime,SASFILES
DLDMGACTION,char,0.0,FAIL,Specifies the type of action to take when a SAS data set or a SAS catalog is detected as damaged.,Portable,anytime,SASFILES
DMR,Boolean,0.0,NODMR,Invokes a remote server session for use with a SAS/CONNECT client.,Portable,startup,EXECMODES
DMS,Boolean,0.0,NODMS,"Starts SAS using the windowing environment and displays the Log window, the Editor window, and the Output window.",Portable,startup,EXECMODES
DMSEXP,Boolean,0.0,NODMSEXP,"Starts SAS and displays Explorer, Editor, Log, Output, and Results windows.",Portable,startup,EXECMODES
DMSLOGSIZE,num,0.0,99999,Specifies the maximum number of rows that the SAS Log window can display.,Portable,startup,LOGCONTROL
DMSOUTSIZE,num,0.0,2147483647,Specifies the maximum number of rows that the SAS Output window can display.,Portable,startup,LISTCONTROL
DMSPGMLINESIZE,num,0.0,136,Specifies the maximum number of characters in a Program Editor line.,Portable,startup,ENVDISPLAY
DMSSYNCHK,Boolean,0.0,NODMSSYNCHK,Enables syntax check mode for DATA step and PROC step processing in the windowing environment.,Portable,anytime,ERRORHANDLING
DQLOCALE,char,0.0,,Specifies the Data Quality Server ordered list of locales for data cleansing.,Portable,anytime,DATAQUALITY
DQOPTIONS,char,0.0,,Specifies the SAS session parameters for data quality programs.,Portable,startup,EXECMODES
DQSETUPLOC,char,0.0,,Specifies the location of the Quality Knowledge Base root directory.,Portable,anytime,DATAQUALITY
DRVINIT,char,,,Host command executed before driver initialization,GRAPH,,
DRVTERM,char,,,Host command executed after driver termination,GRAPH,,
DS2ACCEL,char,0.0,NONE,Provides support for DS2 code pass-through acceleration.,Portable,anytime,PERFORMANCE
DS2SCOND,char,0.0,WARN,Specifies the type of message that PROC DS2 generates.,Portable,anytime,ERRORHANDLING
DSACCEL,char,0.0,NONE,Provides support for code pass-through acceleration.,Portable,anytime,PERFORMANCE
DSCAS,Boolean,0.0,DSCAS,Runs the DATA step on the CAS server.,Portable,anytime,LANGUAGECONTROL
DSNFERR,Boolean,0.0,DSNFERR,Issues an error message and stops processing when a SAS data set cannot be found.,Portable,anytime,ERRORHANDLING
DTRESET,Boolean,0.0,NODTRESET,SAS updates the date and time in the titles of the SAS log and the procedure output file.,Portable,anytime,LOG_LISTCONTROL
DUPLEX,Boolean,,NODUPLEX,Duplex printing,GRAPH,,
DUPLEX,Boolean,0.0,NODUPLEX,Prints output using duplex (two-sided) printing.,Portable,anytime,ODSPRINT
ECHO,char,0.0,,Specifies a message that is echoed to the SAS log while initializing SAS.,Host,startup,LOGCONTROL
ECHOAUTO,Boolean,0.0,NOECHOAUTO,Writes statements that are in the AUTOEXEC file to the SAS log as they are executed.,Portable,startup,LOGCONTROL
EDITCMD,char,0.0,,Specifies the host editor that is used with the HOSTEDIT command.,Host,anytime,ENVDISPLAY
EMAILACKWAIT,num,0.0,30,Specifies the number of seconds to wait for the SMTP server acknowledgement.,Portable,anytime,EMAIL
EMAILAUTHPROTOCOL,char,0.0,NONE,Specifies the SMTP e-mail authentication protocol.,Portable,anytime,EMAIL
EMAILFROM,Boolean,0.0,NOEMAILFROM,Requires the FROM e-mail option when sending e-mail by using the FILE or FILENAME statements.,Portable,anytime,EMAIL
EMAILHOST,char,0.0,localhost,Specifies one or more domain names for SMTP e-mail servers.,Portable,anytime,EMAIL
EMAILID,char,0.0,,"Specifies the SAS user's logon ID, profile or e-mail address.",Portable,anytime,EMAIL
EMAILPORT,num,0.0,25,Specifies the port number for the SMTP e-mail server that is specified in the EMAILHOST option.,Portable,anytime,EMAIL
EMAILPW,char,0.0,xxxxxxxx,Specifies the password for the e-mail address specified by the EMAILID option.,Portable,anytime,EMAIL
EMAILSYS,char,0.0,SMTP,Specifies the email protocol that is used for sending electronic mail.,Host,anytime,EMAIL
EMAILUTCOFFSET,char,0.0,,"For SMTP e-mail sent using the FILENAME statement, specifies a UTC offset that is used in the Date header field of the e-mail message.",Portable,anytime,EMAIL
ENCODING,char,0.0,UTF-8,Specifies the default character-set encoding for the SAS session.,Host,startup,LANGUAGECONTROL
ENCRYPTFIPS,Boolean,0.0,NOENCRYPTFIPS,Limits SAS/SECURE and SSL security services to use FIPS 140-2 algorithms.,Portable,startup,SECURITY
ENGINE,char,0.0,V9,Specifies the default access method for SAS libraries.,Portable,startup,SASFILES
ERASE,Boolean,,NOERASE,Erase graph upon completion,GRAPH,,
ERRORABEND,Boolean,0.0,NOERRORABEND,Ends SAS for most errors that would generate an error message.,Portable,anytime,ERRORHANDLING
ERRORBYABEND,Boolean,0.0,NOERRORBYABEND,Ends a SAS program when an error occurs in BY-group processing.,Portable,anytime,ERRORHANDLING
ERRORCHECK,char,0.0,NORMAL,"Specifies whether SAS enters syntax-check mode when errors are found in the LIBNAME, FILENAME,  %%INCLUDE, and LOCK statements.",Portable,anytime,ERRORHANDLING
ERRORS,num,0.0,20,Specifies the maximum number of observations for which SAS issues complete error messages.,Portable,anytime,LOGCONTROL
EVENTDS,char,0.0,(DEFAULTS),Specifies one or more data sets that define custom holiday events.,Portable,anytime,INPUTCONTROL
EXPLORER,Boolean,0.0,NOEXPLORER,Invokes only the Explorer and the Program Editor windows when SAS starts.,Portable,startup,EXECMODES
EXTENDEDDATATYPES,char,0.0,NO,Specifies whether SAS processes all supported data types or converts nontraditional SAS data types to CHAR and DOUBLE.,Portable,anytime,SASFILES
EXTENDOBSCOUNTER,char,0.0,YES,Specifies whether to extend the maximum number of observations in a new SAS data file.,Portable,anytime,SASFILES
EXTENSION,char,,,Driver preferred file extension,GRAPH,,
FASTTEXT,Boolean,,NOFASTTEXT,"Use quicker, less precise, integer font rendering routines; generally unsuitable for multiple device or templated replay situations.",GRAPH,,
FBY,char,,,BY line font,GRAPH,,
FCACHE,num,,3,Number of software fonts to keep in memory,GRAPH,,
FG,char,0.0,,Application Foreground Color.,Host,startup,ENVDISPLAY
FILECLOSE,char,,,Close output file at driver termination or end of each graph,GRAPH,,
FILELOCKS,char,0.0,( '/' NONE ),Specifies whether file locking is turned on or off and what action should be taken if a file cannot be locked.,Host,anytime,SASFILES
FILELOCKWAIT,num,0.0,0,Specifies the number of seconds that SAS will wait for a locked file.,Host,startup,SASFILES
FILELOCKWAITMAX,num,0.0,600,Specifies the maximum number of seconds that SAS waits for a locked file to become available.,Host,startup,SASFILES
FILEONLY,Boolean,,FILEONLY,File is default output destination,GRAPH,,
FILESYNC,char,0.0,HOST,Specifies when operating system buffers that contain contents of permanent SAS files are written to disk.,Portable,startup,SASFILES
FILL,Boolean,,FILL,Use hardware rectangle fill generator,GRAPH,,
FILLINC,num,,,Fill increment to use on software polygon fills.,GRAPH,,
FIRSTOBS,num,0.0,1,Specifies the observation number or external file record that SAS processes first.,Portable,anytime,SASFILES
FMTERR,Boolean,0.0,FMTERR,Issues an error message when a variable format cannot be found.,Portable,anytime,ERRORHANDLING
FMTSEARCH,char,0.0,( APFMTLIB WORK LIBRARY ),Specifies the order in which format catalogs are searched.,Portable,anytime,ENVFILES
FN,char,0.0,,Application Font.,Host,startup,ENVDISPLAY
FONT,char,0.0,,Application Font.,Host,startup,ENVDISPLAY
FONTEMBEDDING,Boolean,0.0,FONTEMBEDDING,Enables font embedding for Universal Printing and SAS/GRAPH printing.,Portable,anytime,ODSPRINT
FONTRENDERING,char,0.0,FREETYPE_POINTS,Specifies whether some SAS/GRAPH devices render fonts by using the operating system or by using the Free Type engine.,Portable,anytime,ODSPRINT
FONTRES,char,,NORMAL,Use decreased resolution fonts (SASHELP.DRAFT).,GRAPH,,
FONTSLOC,char,0.0,/pbr/sfw/sas/940/ReportFontsforClients/9.4,Specifies the location of the fonts that are supplied by SAS. Names the default font file location for registering fonts that use the FONTREG procedure.,Portable,startup,ODSPRINT
FOREGROUND,char,0.0,,Application Foreground Color.,Host,startup,ENVDISPLAY
FORMCHAR,char,0.0,|----|+|---+=|-/\<>*,Specifies the default output formatting characters.,Portable,anytime,LISTCONTROL
FORMDLIM,char,0.0,,Specifies the character to delimit page breaks in SAS output for the LISTING destination.,Portable,anytime,LISTCONTROL
FORMS,char,0.0,DEFAULT,"If forms are used for printing, specifies the default form to use.",Portable,anytime,LISTCONTROL
FSDBTYPE,char,0.0,DEFAULT,Specifies a full-screen double-byte character set (DBCS) encoding method.,Host,startup,LANGUAGECONTROL
FSIMM,char,0.0,,Specifies input method modules (IMMs) for full-screen double-byte character sets (DBCS).,Host,anytime,LANGUAGECONTROL
FSIMMOPT,char,0.0,,Specifies options for input method modules (IMMs) that are used with a full-screen double-byte character set (DBCS).,Host,startup,LANGUAGECONTROL
FTEXT,char,,,Default text font,GRAPH,,
FTITLE,char,,,Default font for first title,GRAPH,,
FTRACK,char,,TIGHT,Default spacing between characters for supplied Bitstream fonts.,GRAPH,,
FULLSTIMER,Boolean,0.0,FULLSTIMER,Writes all available performance statistics to the SAS log.,Host,anytime,LOGCONTROL
GACCESS,char,,,Output format for graphics stream,GRAPH,,
GCLASS,char,,G,IBM3287 sysout class,GRAPH,,
GCOPIES,char,,"(0, 20)",Number of output copies,GRAPH,,
GDDMCOPY,char,,FSCOPY,GDDM driver hard copy type,GRAPH,,
GDDMNICKNAME,char,,,GDDM nickname,GRAPH,,
GDDMTOKEN,char,,,GDDM token,GRAPH,,
GDEST,char,,LOCAL,IBM3287 sysout destination,GRAPH,,
GEND,char,,,Buffer termination string,GRAPH,,
GEOMETRY,char,0.0,,Position/size of Application Window.,Host,startup,ENVDISPLAY
GEPILOG,char,,,Device termination string,GRAPH,,
GFORMS,char,,,IBM3287 sysout forms code,GRAPH,,
GOPT10,Boolean,,NOGOPT10,Miscellaneous,GRAPH,,
GOPT11,Boolean,,NOGOPT11,Miscellaneous,GRAPH,,
GOPT12,Boolean,,NOGOPT12,Miscellaneous,GRAPH,,
GOPT14,Boolean,,NOGOPT14,Miscellaneous,GRAPH,,
GOPT15,Boolean,,NOGOPT15,Miscellaneous,GRAPH,,
GOPTDBL1,num,,0.0000,Miscellaneous,GRAPH,,
GOPTDBL2,num,,0.0000,Miscellaneous,GRAPH,,
GOPTINT1,num,,0,Miscellaneous,GRAPH,,
GOPTINT2,num,,0,Miscellaneous,GRAPH,,
GOPTSTR1,char,,,Miscellaneous,GRAPH,,
GOPTSTR2,char,,,Miscellaneous,GRAPH,,
GOUTMODE,char,,APPEND,GOUT catalog mode: APPEND or REPLACE,GRAPH,,
GOUTTYPE,char,,INDEPENDENT,Graphics segment type,GRAPH,,
GPROLOG,char,,,Device initialization string,GRAPH,,
GPROTOCOL,char,,,Graphics protocol converter driver name,GRAPH,,
GRAPHRC,Boolean,,GRAPHRC,SAS/GRAPH is to issue step condition codes at exit,GRAPH,,
GRIDINSTALLLOC,char,0.0,,Identifies the location on the machine cluster where the SAS High-Performance Analytics environment is installed.,Portable,startup,SECURITY
GRIDRSHCOMMAND,char,0.0,,Specifies the path to the executable to use to launch the SAS High-Performance Analytics environment.,Portable,startup,SECURITY
GSFLEN,num,,,Length of Graphics Stream File records,GRAPH,,
GSFMODE,char,,PORT,Graphics Stream File access mode,GRAPH,,
GSFNAME,char,,,Graphics Stream Filename,GRAPH,,
GSFPROMPT,Boolean,,NOGSFPROMPT,Adds device driver prompts to GSASFILE,GRAPH,,
GSIZE,num,,0,Number of lines in graphics display area,GRAPH,,
GSTART,char,,,Buffer initialization string,GRAPH,,
GSTYLE,Boolean,0.0,GSTYLE,Uses ODS styles to generate graphs that are stored as GRSEG catalog entries.,Portable,anytime,ODSPRINT
GUNIT,char,,CELLS,Default text units,GRAPH,,
GWAIT,num,,,Time delay after graphics display,GRAPH,,
GWINDOW,Boolean,0.0,GWINDOW,Displays SAS/GRAPH output in the GRAPH window.,Portable,anytime,GRAPHICS
GWRITER,char,,SASWTR,IBM3287 sysout writer name,GRAPH,,
HADOOPPLATFORM,char,0.0,MAPRED,Specifies the execution platform for the SAS In-Database Code Accelerator for Hadoop.,Portable,anytime,PERFORMANCE
HANDSHAKE,char,,,ASCII device handshake protocol,GRAPH,,
HBY,char,,,BY line height,GRAPH,,
HELPADDR,char,0.0,,Specifies the address of the remote Help system.,Portable,anytime,HELP
HELPBROWSER,char,0.0,SAS,Specifies the browser to use for SAS Help and ODS output.,Portable,anytime,HELP
HELPENCMD,Boolean,0.0,HELPENCMD,Uses the English version of the keyword list for the command-line Help.,Portable,startup,HELP
