optname,opttype,offset,setting,optdesc,level,optstart,group
CONNECTSTATUS,Boolean,0.0,CONNECTSTATUS,Displays the Transfer Status window during file transfers.,Portable,anytime,COMMUNICATIONS
CONNECTWAIT,Boolean,0.0,CONNECTWAIT,Executes RSUBMIT statements synchronously.,Portable,anytime,COMMUNICATIONS
COPIES,num,0.0,1,Specifies the number of copies to print.,Portable,anytime,ODSPRINT
CPUCOUNT,num,0.0,2,Specifies the number of processors that thread-enabled applications should assume are available for concurrent processing.,Portable,anytime,PERFORMANCE
CPUID,Boolean,0.0,CPUID,Prints the CPU identification number at the beginning of the SAS log.,Portable,startup,LOGCONTROL
CSTGLOBALLIB,char,0.0,,Specifies the location of the SAS Clinical Standards Toolkit global library.,Portable,startup,EXECMODES
CSTSAMPLELIB,char,0.0,,Specifies the location of the SAS Clinical Standards Toolkit sample library.,Portable,startup,EXECMODES
DATAPAGESIZE,char,0.0,CURRENT,"Specifies whether the page size for a data set or utility file is compatible with SAS 9.3 processing, or is determined by the current version of SAS.",Portable,startup,TK
DATASTMTCHK,char,0.0,COREKEYWORDS,Specifies which SAS statement keywords are prohibited from being specified as a one-level DATA step name to protect against overwriting an input data set.,Portable,anytime,SASFILES
DATE,Boolean,0.0,DATE,Prints the date and time that a SAS program started.,Portable,anytime,LOG_LISTCONTROL
DATESTYLE,char,0.0,DMY,"Specifies the sequence of month, day, and year when ANYDTDTE, ANYDTDTM, or ANYDTTME informat data is ambiguous.",Portable,anytime,INPUTCONTROL
DBFMTIGNORE,Boolean,0.0,NODBFMTIGNORE,Uses the FLOAT data type in tables.,Portable,anytime,INPUTCONTROL
DBIDIRECTEXEC,Boolean,0.0,NODBIDIRECTEXEC,The SQL pass-through facility optimizes the handling of SQL statements.,Portable,anytime,PERFORMANCE
DBSLICEPARM,char,0.0,"(THREADED_APPS, 2)","Specifies whether SAS procedures, applications, and the DATA step can read DBMS tables in parallel, and the number of threads to use to read the DBMS tables.",Portable,anytime,PERFORMANCE
DBSRVTP,char,0.0,NONE,Specifies whether SAS/ACCESS engines hold or block the originating client while making performance-critical calls to the database.,Portable,startup,COMMUNICATIONS
DCSHOST,char,0.0,localhost,Specifies the host name of the SAS Document Conversion Server.,Portable,anytime,COMMUNICATIONS
DCSPORT,num,0.0,7111,Specifies the port number of the SAS Document Conversion Server.,Portable,anytime,COMMUNICATIONS
DECIMALCONV,char,0.0,COMPATIBLE,Specifies the binary to decimal conversion and formatting methodology.,Portable,anytime,LOG_LISTCONTROL
DEFLATION,num,0.0,6,Specifies the level of compression for device drivers that support the Deflate compression algorithm.,Portable,anytime,ODSPRINT
DETAILS,Boolean,0.0,NODETAILS,Displays additional information when files are listed in a SAS library.,Portable,anytime,LOG_LISTCONTROL
DEVICE,char,0.0,,Specifies the device driver to which SAS/GRAPH sends procedure output.,Portable,anytime,GRAPHICS
DFLANG,char,0.0,ENGLISH,Specifies the language for international date informats and formats.,Portable,anytime,LANGUAGECONTROL
DKRICOND,char,0.0,ERROR,"Specifies the error level to report when a variable is missing from an input data set during the processing of a DROP=, KEEP=, or RENAME= data set option.",Portable,anytime,SASFILES
DKROCOND,char,0.0,WARN,"Specifies the error level to report when a variable is missing from an output data set during the processing of a DROP=, KEEP=, or RENAME= data set option.",Portable,anytime,SASFILES
DLCREATEDIR,Boolean,0.0,NODLCREATEDIR,Creates a directory for the SAS library that is named in a LIBNAME statement if the directory does not already exist.,Portable,anytime,SASFILES
DLDMGACTION,char,0.0,FAIL,Specifies the type of action to take when a SAS data set or a SAS catalog is detected as damaged.,Portable,anytime,SASFILES
DMR,Boolean,0.0,NODMR,Invokes a remote server session for use with a SAS/CONNECT client.,Portable,startup,EXECMODES
DMS,Boolean,0.0,NODMS,"Starts SAS using the windowing environment and displays the Log window, the Editor window, and the Output window.",Portable,startup,EXECMODES
DMSEXP,Boolean,0.0,NODMSEXP,"Starts SAS and displays Explorer, Editor, Log, Output, and Results windows.",Portable,startup,EXECMODES
DMSLOGSIZE,num,0.0,99999,Specifies the maximum number of rows that the SAS Log window can display.,Portable,startup,LOGCONTROL
DMSOUTSIZE,num,0.0,2147483647,Specifies the maximum number of rows that the SAS Output window can display.,Portable,startup,LISTCONTROL
DMSPGMLINESIZE,num,0.0,136,Specifies the maximum number of characters in a Program Editor line.,Portable,startup,ENVDISPLAY
DMSSYNCHK,Boolean,0.0,NODMSSYNCHK,Enables syntax check mode for DATA step and PROC step processing in the windowing environment.,Portable,anytime,ERRORHANDLING
DQLOCALE,char,0.0,,Specifies the Data Quality Server ordered list of locales for data cleansing.,Portable,anytime,DATAQUALITY
DQOPTIONS,char,0.0,,Specifies the SAS session parameters for data quality programs.,Portable,startup,EXECMODES
DQSETUPLOC,char,0.0,,Specifies the location of the Quality Knowledge Base root directory.,Portable,anytime,DATAQUALITY
DS2ACCEL,char,0.0,NONE,Provides support for DS2 code pass-through acceleration.,Portable,anytime,PERFORMANCE
DS2SCOND,char,0.0,WARN,Specifies the type of message that PROC DS2 generates.,Portable,anytime,ERRORHANDLING
DSACCEL,char,0.0,NONE,Provides support for code pass-through acceleration.,Portable,anytime,PERFORMANCE
DSCAS,Boolean,0.0,DSCAS,Runs the DATA step on the CAS server.,Portable,anytime,LANGUAGECONTROL
DSNFERR,Boolean,0.0,DSNFERR,Issues an error message and stops processing when a SAS data set cannot be found.,Portable,anytime,ERRORHANDLING
DTRESET,Boolean,0.0,NODTRESET,SAS updates the date and time in the titles of the SAS log and the procedure output file.,Portable,anytime,LOG_LISTCONTROL
DUPLEX,Boolean,0.0,NODUPLEX,Prints output using duplex (two-sided) printing.,Portable,anytime,ODSPRINT
ECHOAUTO,Boolean,0.0,NOECHOAUTO,Writes statements that are in the AUTOEXEC file to the SAS log as they are executed.,Portable,startup,LOGCONTROL
EMAILACKWAIT,num,0.0,30,Specifies the number of seconds to wait for the SMTP server acknowledgement.,Portable,anytime,EMAIL
EMAILAUTHPROTOCOL,char,0.0,NONE,Specifies the SMTP e-mail authentication protocol.,Portable,anytime,EMAIL
EMAILFROM,Boolean,0.0,NOEMAILFROM,Requires the FROM e-mail option when sending e-mail by using the FILE or FILENAME statements.,Portable,anytime,EMAIL
EMAILHOST,char,0.0,localhost,Specifies one or more domain names for SMTP e-mail servers.,Portable,anytime,EMAIL
EMAILID,char,0.0,,"Specifies the SAS user's logon ID, profile or e-mail address.",Portable,anytime,EMAIL
EMAILPORT,num,0.0,25,Specifies the port number for the SMTP e-mail server that is specified in the EMAILHOST option.,Portable,anytime,EMAIL
EMAILPW,char,0.0,xxxxxxxx,Specifies the password for the e-mail address specified by the EMAILID option.,Portable,anytime,EMAIL
EMAILUTCOFFSET,char,0.0,,"For SMTP e-mail sent using the FILENAME statement, specifies a UTC offset that is used in the Date header field of the e-mail message.",Portable,anytime,EMAIL
ENCRYPTFIPS,Boolean,0.0,NOENCRYPTFIPS,Limits SAS/SECURE and SSL security services to use FIPS 140-2 algorithms.,Portable,startup,SECURITY
ENGINE,char,0.0,V9,Specifies the default access method for SAS libraries.,Portable,startup,SASFILES
ERRORABEND,Boolean,0.0,NOERRORABEND,Ends SAS for most errors that would generate an error message.,Portable,anytime,ERRORHANDLING
ERRORBYABEND,Boolean,0.0,NOERRORBYABEND,Ends a SAS program when an error occurs in BY-group processing.,Portable,anytime,ERRORHANDLING
ERRORCHECK,char,0.0,NORMAL,"Specifies whether SAS enters syntax-check mode when errors are found in the LIBNAME, FILENAME,  %%INCLUDE, and LOCK statements.",Portable,anytime,ERRORHANDLING
ERRORS,num,0.0,20,Specifies the maximum number of observations for which SAS issues complete error messages.,Portable,anytime,LOGCONTROL
EVENTDS,char,0.0,(DEFAULTS),Specifies one or more data sets that define custom holiday events.,Portable,anytime,INPUTCONTROL
EXPLORER,Boolean,0.0,NOEXPLORER,Invokes only the Explorer and the Program Editor windows when SAS starts.,Portable,startup,EXECMODES
EXTENDEDDATATYPES,char,0.0,NO,Specifies whether SAS processes all supported data types or converts nontraditional SAS data types to CHAR and DOUBLE.,Portable,anytime,SASFILES
EXTENDOBSCOUNTER,char,0.0,YES,Specifies whether to extend the maximum number of observations in a new SAS data file.,Portable,anytime,SASFILES
FILESYNC,char,0.0,HOST,Specifies when operating system buffers that contain contents of permanent SAS files are written to disk.,Portable,startup,SASFILES
FIRSTOBS,num,0.0,1,Specifies the observation number or external file record that SAS processes first.,Portable,anytime,SASFILES
FMTERR,Boolean,0.0,FMTERR,Issues an error message when a variable format cannot be found.,Portable,anytime,ERRORHANDLING
FMTSEARCH,char,0.0,( APFMTLIB WORK LIBRARY ),Specifies the order in which format catalogs are searched.,Portable,anytime,ENVFILES
FONTEMBEDDING,Boolean,0.0,FONTEMBEDDING,Enables font embedding for Universal Printing and SAS/GRAPH printing.,Portable,anytime,ODSPRINT
FONTRENDERING,char,0.0,FREETYPE_POINTS,Specifies whether some SAS/GRAPH devices render fonts by using the operating system or by using the Free Type engine.,Portable,anytime,ODSPRINT
FONTSLOC,char,0.0,/pbr/sfw/sas/940/ReportFontsforClients/9.4,Specifies the location of the fonts that are supplied by SAS. Names the default font file location for registering fonts that use the FONTREG procedure.,Portable,startup,ODSPRINT
FORMCHAR,char,0.0,|----|+|---+=|-/\<>*,Specifies the default output formatting characters.,Portable,anytime,LISTCONTROL
FORMDLIM,char,0.0,,Specifies the character to delimit page breaks in SAS output for the LISTING destination.,Portable,anytime,LISTCONTROL
FORMS,char,0.0,DEFAULT,"If forms are used for printing, specifies the default form to use.",Portable,anytime,LISTCONTROL
GRIDINSTALLLOC,char,0.0,,Identifies the location on the machine cluster where the SAS High-Performance Analytics environment is installed.,Portable,startup,SECURITY
GRIDRSHCOMMAND,char,0.0,,Specifies the path to the executable to use to launch the SAS High-Performance Analytics environment.,Portable,startup,SECURITY
GSTYLE,Boolean,0.0,GSTYLE,Uses ODS styles to generate graphs that are stored as GRSEG catalog entries.,Portable,anytime,ODSPRINT
GWINDOW,Boolean,0.0,GWINDOW,Displays SAS/GRAPH output in the GRAPH window.,Portable,anytime,GRAPHICS
HADOOPPLATFORM,char,0.0,MAPRED,Specifies the execution platform for the SAS In-Database Code Accelerator for Hadoop.,Portable,anytime,PERFORMANCE
HELPADDR,char,0.0,,Specifies the address of the remote Help system.,Portable,anytime,HELP
HELPBROWSER,char,0.0,SAS,Specifies the browser to use for SAS Help and ODS output.,Portable,anytime,HELP
HELPENCMD,Boolean,0.0,HELPENCMD,Uses the English version of the keyword list for the command-line Help.,Portable,startup,HELP
HELPHOST,char,0.0,,Specifies the name of the computer where the remote browser is to send Help and ODS output.,Portable,anytime,HELP
HELPINDEX,char,0.0,(/help/common.hlp/index.txt /help/common.hlp/keywords.htm common.hhk),Specifies one or more index files for SAS Help and Documentation.,Portable,startup,HELP
HELPPORT,num,0.0,0,Specifies the port number for the remote browser client.,Portable,anytime,HELP
HELPTOC,char,0.0,(/help/helpnav.hlp/navigation.xml /help/common.hlp/toc.htm common.hhc),Specifies the table of contents files for the online SAS Help and Documentation.,Portable,startup,HELP
HOSTINFOLONG,Boolean,0.0,HOSTINFOLONG,Print operating environment information in the SAS log when SAS starts.,Portable,startup,LOGCONTROL
HPRUSERFILES,Boolean,0.0,HPRUSERFILES,Allow HPRISK users to copy files to TKGrid cluster,Portable,anytime,SECURITY
HTTPSERVERPORTMAX,num,0.0,0,Specifies the highest port number that can be used by the SAS HTTP server for remote browsing.,Portable,startup,COMMUNICATIONS
HTTPSERVERPORTMIN,num,0.0,0,Specifies the lowest port number that can be used by the SAS HTTP server for remote browsing.,Portable,startup,COMMUNICATIONS
IBUFNO,num,0.0,10,Specifies the number of extra buffers to be allocated for navigating an index file.,Portable,anytime,SASFILES
IBUFSIZE,num,0.0,32767,Specifies the buffer page size for an index file.,Portable,anytime,SASFILES
IMLPACKAGEPRIVATE,char,0.0,~/sas/iml/packages,Specifies the location for SAS/IML packages in the private collection.,Portable,startup,ENVFILES
IMLPACKAGEPUBLIC,char,0.0,/opt/sas/iml/packages,Specifies the location for SAS/IML packages in the public collection.,Portable,startup,ENVFILES
IMLPACKAGESYSTEM,char,0.0,!SASROOT/misc/iml/packages,Specifies the location for SAS/IML packages in the system collection.,Portable,startup,ENVFILES
IMPLMAC,Boolean,0.0,NOIMPLMAC,Checks for statement-style macros.,Portable,anytime,MACRO
INITCMD,char,0.0,,"Specifies commands to open applications, or windows and text editor commands, after SAS executes the AUTOEXEC= file and the INITSTMT= value.",Portable,startup,EXECMODES
INITSTMT,char,0.0,,Specifies SAS statements to execute after any statements in the AUTOEXEC= file and before any statements from the SYSIN= file.,Portable,startup,EXECMODES
INSERT,char,0.0,,Specifies an option=value pair to insert the value at the beginning of the existing option value.,Portable,anytime,ENVFILES
INTERVALDS,char,0.0,,Specifies interval=library pairs.  Library is a SAS data set that contains a custom interval data set; interval can be used in the INTNX and INTCK functions.,Portable,anytime,INPUTCONTROL
INVALIDDATA,char,0.0,.,Specifies the value that SAS assigns to a variable when invalid numeric data is encountered.,Portable,anytime,INPUTCONTROL
IPADDRESS,Boolean,0.0,NOIPADDRESS,Enables the IP address to appear in SAS/CONNECT messages when using TCP/IP.,Portable,startup,COMMUNICATIONS
JPEGQUALITY,num,0.0,75,Specifies the JPEG quality factor that determines the ratio of image quality to the level of compression for JPEG files produced by the JPEG device driver.,Portable,anytime,ODSPRINT
LABEL,Boolean,0.0,LABEL,Enables procedures to use labels with variables.,Portable,anytime,LISTCONTROL
LABELCHKPT,Boolean,0.0,NOLABELCHKPT,"For batch programs, enables the recording of checkpoint-restart data for labeled code sections.",Portable,startup,ERRORHANDLING
LABELCHKPTLIB,char,0.0,WORK,Specifies the libref of the library where the checkpoint-restart data is saved for labeled code sections.,Portable,startup,ERRORHANDLING
LABELRESTART,Boolean,0.0,NOLABELRESTART,"Enables restart mode, which executes batch programs using checkpoint-restart data that is collected at labeled code sections.",Portable,startup,ERRORHANDLING
LEFTMARGIN,char,0.0,0.000 IN,Specifies the print margin for the left side of the page.,Portable,anytime,ODSPRINT
LINESIZE,num,0.0,132,Specifies the line size for the SAS log and for SAS procedure output for the LISTING destination.,Portable,anytime,LOG_LISTCONTROL
LOCALEDATA,char,0.0,SASLOCALE,Specifies the location of the locale database.,Portable,startup,LANGUAGECONTROL
LOCKDOWN,Boolean,0.0,NOLOCKDOWN,Specifies that access to files and certain SAS features will be restricted. This feature is only applicable for a SAS session executing in a batch or server pro,Portable,startup,EXECMODES
LOGAPPLNAME,char,0.0,,Specifies a SAS session name for SAS logging.,Portable,startup,LOGCONTROL
LOGCONFIGLOC,char,0.0,/pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/logconfig.xml,Specifies the name of the XML configuration file or a basic logging configuration that is used to initialize the SAS logging facility.,Portable,startup,EXECMODES
LOGLANGCHG,Boolean,0.0,LOGLANGCHG,Enables changing the language of the SAS log when the LOCALE= option is changed.,Portable,startup,LOG_LISTCONTROL
LOGLANGENG,Boolean,0.0,NOLOGLANGENG,Write SAS log messages in English when the LOCALE= option is set after SAS starts.,Portable,startup,LANGUAGECONTROL
LOGPARM,char,0.0,WRITE=BUFFERED ROLLOVER=NONE OPEN=REPLACE,"Specifies when SAS log files are opened, closed, and according to the LOG= system option, how they are named.",Portable,startup,LOGCONTROL
LRECL,num,0.0,32767,Specifies the default logical record length to use for reading and writing external files.,Portable,anytime,EXTFILES
LSWLANG,char,0.0,LOCALE,Specifies the language for SAS log and ODS messages when the LOCALE= option is set after SAS starts.,Portable,startup,LANGUAGECONTROL
MACRO,Boolean,0.0,MACRO,Enables the macro facility.,Portable,startup,MACRO
MAPEBCDICTOASCII,char,0.0,,Specifies the transcoding table that is used to convert characters from ASCII to EBCDIC and EBCDIC to ASCII.,Portable,startup,LANGUAGECONTROL
MAPS,char,0.0,!SASROOT/maps,Specifies the location of SAS/GRAPH map data sets.,Portable,anytime,GRAPHICS
MAPSGFK,char,0.0,!SASROOT/mapsgfk,Specifies the location of GfK maps.,Portable,startup,GRAPHICS
MAPSSAS,char,0.0,!SASROOT/maps,Specifies the location of SAS map data sets.,Portable,startup,GRAPHICS
MAUTOCOMPLOC,Boolean,0.0,NOMAUTOCOMPLOC,Displays the autocall macro source location in the SAS log when the autocall macro is compiled.,Portable,anytime,MACRO
MAUTOLOCDISPLAY,Boolean,0.0,NOMAUTOLOCDISPLAY,Enables the macro facility to display the autocall macro source location in the log when the autocall macro is invoked.,Portable,anytime,MACRO
MAUTOLOCINDES,Boolean,0.0,NOMAUTOLOCINDES,Prepends the full pathname of the autocall macro source file to the autocall macro catalog entry description field in the WORK.SASMACR catalog.,Portable,anytime,MACRO
MAUTOSOURCE,Boolean,0.0,MAUTOSOURCE,Enables the macro autocall feature.,Portable,anytime,MACRO
MAXSEGRATIO,num,0.0,75,Specifies the upper limit for the percentage of index segments that the SPD Engine identifies as containing the value referenced in the WHERE expression.,Portable,anytime,PERFORMANCE
MCOMPILE,Boolean,0.0,MCOMPILE,Allows new macro definitions.,Portable,anytime,MACRO
MCOMPILENOTE,char,0.0,NONE,Specifies what to write to the SAS log when a macro compiles successfully.,Portable,anytime,MACRO
MCOVERAGE,Boolean,0.0,NOMCOVERAGE,Enables the generation of coverage analysis data for SAS macros.,Portable,anytime,MACRO
MCOVERAGELOC,char,0.0,,Specifies the location of the macro coverage analysis data file.,Portable,anytime,MACRO
MERGENOBY,char,0.0,NOWARN,Specifies the type of message that is issued when MERGE processing occurs without an associated BY statement.,Portable,anytime,SASFILES
MERROR,Boolean,0.0,MERROR,Issues a warning message for an unresolved macro reference.,Portable,anytime,MACRO
METAAUTORESOURCES,char,0.0,SASApp,Specifies the metadata resources that are assigned when SAS starts.,Portable,startup,META
METACONNECT,char,0.0,,Specifies the profile from the metadata user connection profiles that is used to connect to the SAS Metadata Server.,Portable,anytime,META
METAENCRYPTALG,char,0.0,SASPROPRIETARY,Specifies the type of encryption to use to communicate with the SAS Metadata Server.,Portable,startup,META
METAENCRYPTLEVEL,char,0.0,CREDENTIALS,Specifies the level of encryption that is used to communicate with the SAS Metadata Server.,Portable,startup,META
METAID,char,0.0,,Specifies the ID of the SAS Metadata Server.,Portable,startup,META
METAPASS,char,0.0,xxxxxxxx,Specifies the SAS Metadata Server password.,Portable,anytime,META
METAPORT,num,0.0,8561,Specifies the TCP port for the SAS Metadata Server.,Portable,anytime,META
METAPROFILE,char,0.0,/pbr/biconfig/940/Lev1/metadataConfig.xml,Specifies the XML document that contains SAS Metadata Server user connection profiles.,Portable,startup,META
METAPROTOCOL,char,0.0,BRIDGE,Specifies the network profile to use to connect to the SAS Metadata Server.,Portable,anytime,META
METAREPOSITORY,char,0.0,Foundation,Specifies the name of the SAS Metadata Server Repository.,Portable,anytime,META
METASERVER,char,0.0,odaomr-apse1.oda.sas.com,Specifies the host name or address of the SAS Metadata Server.,Portable,anytime,META
METASPN,char,0.0,,Specifies the service principal name (SPN) for the SAS Metadata Server.,Portable,anytime,META
METAUSER,char,0.0,,Specifies the user ID that is used to connect to the SAS Metadata Server.,Portable,anytime,META
MEXECNOTE,Boolean,0.0,NOMEXECNOTE,Displays the macro execution information in the SAS log when the macro is invoked.,Portable,anytime,MACRO
MEXECSIZE,num,0.0,65536,Specifies the maximum macro size that can be executed in memory.,Portable,anytime,PERFORMANCE
MFILE,Boolean,0.0,NOMFILE,Writes the MPRINT output to an external file.,Portable,anytime,MACRO
MINDELIMITER,char,0.0,,Specifies the character delimiter for the macro IN operator.,Portable,anytime,MACRO
MINOPERATOR,Boolean,0.0,NOMINOPERATOR,Enables IN logical operators in expressions.,Portable,anytime,MACRO
MINPARTSIZE,num,0.0,16777216,Specifies the minimum size of the data component partitions for SPD Engine data sets.,Portable,startup,PERFORMANCE
MISSING,char,0.0,.,Specifies the character to print for missing numeric values.,Portable,anytime,LOG_LISTCONTROL
MLOGIC,Boolean,0.0,NOMLOGIC,Traces macro execution and writes the results to the SAS log.,Portable,anytime,MACRO
MLOGICNEST,Boolean,0.0,NOMLOGICNEST,Displays the macro nesting information in the SAS log for MLOGIC output.,Portable,anytime,MACRO
MPRINT,Boolean,0.0,NOMPRINT,Displays the SAS statements that are generated by macro execution.,Portable,anytime,MACRO
