COUNTRY,STATE,COUNTY,ACTUAL,PREDICT,PRODTYPE,PRODUCT,YEAR,QUARTER,MONTH,MONYR
U.S.A.,California,,1500.08,2461.6,FURNITURE,BED,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,2133.84,2486.08,FURNITURE,BED,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1834.64,2884.56,FURNITURE,BED,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,2687.36,1224.0,FURNITURE,BED,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,646.0,950.64,FURNITURE,BED,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,2392.24,2356.88,FURNITURE,BED,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,913.92,1538.16,FURNITURE,BED,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1090.72,375.36,OFFICE,CHAIR,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2151.52,1025.44,OFFICE,CHAIR,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,1221.28,265.2,OFFICE,CHAIR,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1370.88,2283.44,OFFICE,CHAIR,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2547.28,1925.76,OFFICE,CHAIR,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,1105.68,1889.04,OFFICE,CHAIR,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1977.44,606.56,OFFICE,CHAIR,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2069.92,949.28,OFFICE,CHAIR,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,329.12,2258.96,OFFICE,CHAIR,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,1784.32,2275.28,OFFICE,CHAIR,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1640.16,1908.08,OFFICE,CHAIR,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,350.88,146.88,OFFICE,CHAIR,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,829.6,2431.68,OFFICE,DESK,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2584.0,2132.48,OFFICE,DESK,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,2222.24,2883.2,OFFICE,DESK,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,446.08,2766.24,OFFICE,DESK,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1490.56,2256.24,OFFICE,DESK,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,299.2,1225.36,OFFICE,DESK,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1279.76,2140.64,OFFICE,DESK,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,769.76,357.68,OFFICE,DESK,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,281.52,2789.36,OFFICE,DESK,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2151.52,749.36,OFFICE,DESK,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1327.36,1747.6,OFFICE,DESK,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,403.92,1066.24,OFFICE,DESK,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1646.96,1360.0,FURNITURE,SOFA,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1856.4,1308.32,FURNITURE,SOFA,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,950.64,1229.44,FURNITURE,SOFA,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1398.08,2558.16,FURNITURE,SOFA,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1183.2,1312.4,FURNITURE,SOFA,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,213.52,1510.96,FURNITURE,SOFA,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1708.16,2312.0,FURNITURE,SOFA,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,227.12,2794.8,FURNITURE,SOFA,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,1355.92,448.8,FURNITURE,SOFA,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2346.0,2313.36,FURNITURE,SOFA,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,2015.52,146.88,FURNITURE,SOFA,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,376.72,103.36,FURNITURE,SOFA,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,652.8,697.68,FURNITURE,BED,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,897.6,2759.44,FURNITURE,BED,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,539.92,1625.2,FURNITURE,BED,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,91.12,1304.24,FURNITURE,BED,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,357.68,2226.32,FURNITURE,BED,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,1534.08,2788.0,FURNITURE,BED,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1376.32,442.0,FURNITURE,BED,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1175.04,4.08,FURNITURE,BED,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,2521.44,1194.08,FURNITURE,BED,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2075.36,1423.92,FURNITURE,BED,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,2530.96,553.52,FURNITURE,BED,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,116.96,1772.08,FURNITURE,BED,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1633.36,832.32,OFFICE,CHAIR,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2087.6,2611.2,OFFICE,CHAIR,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,2687.36,2484.72,OFFICE,CHAIR,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,544.0,2695.52,OFFICE,CHAIR,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1207.68,1855.04,OFFICE,CHAIR,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,1553.12,852.72,OFFICE,CHAIR,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1717.68,1519.12,OFFICE,CHAIR,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,873.12,519.52,OFFICE,CHAIR,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,39.44,564.4,OFFICE,CHAIR,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,437.92,1593.92,OFFICE,CHAIR,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1385.84,2052.24,OFFICE,CHAIR,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1177.76,403.92,OFFICE,CHAIR,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,2457.52,656.88,OFFICE,DESK,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,733.04,413.44,OFFICE,DESK,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,2695.52,2258.96,OFFICE,DESK,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1350.48,1781.6,OFFICE,DESK,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2491.52,1516.4,OFFICE,DESK,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,682.72,1282.48,OFFICE,DESK,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1902.64,1395.36,OFFICE,DESK,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1978.8,996.88,OFFICE,DESK,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,1585.76,257.04,OFFICE,DESK,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,871.76,307.36,OFFICE,DESK,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,884.0,2359.6,OFFICE,DESK,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,2715.92,656.88,OFFICE,DESK,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,55.76,2516.0,FURNITURE,SOFA,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1632.0,2106.64,FURNITURE,SOFA,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,753.44,1417.12,FURNITURE,SOFA,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,527.68,278.8,FURNITURE,SOFA,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,307.36,2453.44,FURNITURE,SOFA,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,2590.8,1044.48,FURNITURE,SOFA,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,2216.8,331.84,FURNITURE,SOFA,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1225.36,1663.28,FURNITURE,SOFA,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,1490.56,2751.28,FURNITURE,SOFA,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,28.56,2369.12,FURNITURE,SOFA,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,214.88,636.48,FURNITURE,SOFA,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1946.16,248.88,FURNITURE,SOFA,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,2509.2,4.08,FURNITURE,BED,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,378.08,2088.96,FURNITURE,BED,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,394.4,1776.16,FURNITURE,BED,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,991.44,2662.88,FURNITURE,BED,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,231.2,1283.84,FURNITURE,BED,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,27.2,1147.84,FURNITURE,BED,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1523.2,1349.12,FURNITURE,BED,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,582.08,1761.2,FURNITURE,BED,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,2161.04,1033.6,FURNITURE,BED,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,796.96,2875.04,FURNITURE,BED,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,847.28,1728.56,FURNITURE,BED,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,2022.32,1447.04,FURNITURE,BED,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,505.92,363.12,OFFICE,CHAIR,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,539.92,864.96,OFFICE,CHAIR,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,55.76,1782.96,OFFICE,CHAIR,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,2148.8,2195.04,OFFICE,CHAIR,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,171.36,229.84,OFFICE,CHAIR,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,520.88,1238.96,OFFICE,CHAIR,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,398.48,2288.88,OFFICE,CHAIR,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1277.04,1240.32,OFFICE,CHAIR,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,829.6,2734.96,OFFICE,CHAIR,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,811.92,1572.16,OFFICE,CHAIR,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1365.44,1321.92,OFFICE,CHAIR,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,957.44,1793.84,OFFICE,CHAIR,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,2634.32,2537.76,OFFICE,DESK,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1935.28,809.2,OFFICE,DESK,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,1891.76,1894.48,OFFICE,DESK,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,2059.04,76.16,OFFICE,DESK,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1920.32,416.16,OFFICE,DESK,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,1614.32,1340.96,OFFICE,DESK,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,427.04,122.4,OFFICE,DESK,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2018.24,1566.72,OFFICE,DESK,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,1581.68,2430.32,OFFICE,DESK,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2559.52,2336.48,OFFICE,DESK,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,2310.64,903.04,OFFICE,DESK,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,708.56,1976.08,OFFICE,DESK,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1905.36,750.72,FURNITURE,SOFA,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1345.04,576.64,FURNITURE,SOFA,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,969.68,1804.72,FURNITURE,SOFA,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,714.0,338.64,FURNITURE,SOFA,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,473.28,1428.0,FURNITURE,SOFA,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,2080.8,1037.68,FURNITURE,SOFA,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1524.56,2608.48,FURNITURE,SOFA,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2698.24,605.2,FURNITURE,SOFA,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,382.16,2771.68,FURNITURE,SOFA,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,1418.48,1649.68,FURNITURE,SOFA,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,553.52,2091.68,FURNITURE,SOFA,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1791.12,2883.2,FURNITURE,SOFA,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,2268.48,1192.72,FURNITURE,BED,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,270.64,2509.2,FURNITURE,BED,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,850.0,1188.64,FURNITURE,BED,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,975.12,1608.88,FURNITURE,BED,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1747.6,340.0,FURNITURE,BED,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,51.68,1335.52,FURNITURE,BED,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1940.72,2254.88,FURNITURE,BED,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,168.64,1909.44,FURNITURE,BED,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,1402.16,1908.08,FURNITURE,BED,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,1549.04,2517.36,FURNITURE,BED,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,2235.84,87.04,FURNITURE,BED,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1345.04,31.28,FURNITURE,BED,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,100.64,1523.2,OFFICE,CHAIR,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2484.72,1309.68,OFFICE,CHAIR,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,922.08,1150.56,OFFICE,CHAIR,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1553.12,493.68,OFFICE,CHAIR,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1611.6,1996.48,OFFICE,CHAIR,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,100.64,2333.76,OFFICE,CHAIR,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,2189.6,705.84,OFFICE,CHAIR,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1285.2,2446.64,OFFICE,CHAIR,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,1028.16,280.16,OFFICE,CHAIR,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,1081.2,1089.36,OFFICE,CHAIR,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,397.12,949.28,OFFICE,CHAIR,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,996.88,2593.52,OFFICE,CHAIR,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,32.64,2136.56,OFFICE,DESK,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,227.12,2121.6,OFFICE,DESK,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,594.32,70.72,OFFICE,DESK,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,2026.4,1758.48,OFFICE,DESK,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2015.52,1067.6,OFFICE,DESK,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,1360.0,288.32,OFFICE,DESK,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1394.0,953.36,OFFICE,DESK,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,1354.56,987.36,OFFICE,DESK,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,282.88,1923.04,OFFICE,DESK,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,522.24,1942.08,OFFICE,DESK,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,262.48,2807.04,OFFICE,DESK,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1598.0,2035.92,OFFICE,DESK,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1791.12,1825.12,FURNITURE,SOFA,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,739.84,1064.88,FURNITURE,SOFA,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,1071.68,605.2,FURNITURE,SOFA,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,2273.92,2907.68,FURNITURE,SOFA,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2608.48,2122.96,FURNITURE,SOFA,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,257.04,961.52,FURNITURE,SOFA,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,2728.16,635.12,FURNITURE,SOFA,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2626.16,1234.88,FURNITURE,SOFA,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,2029.12,2325.6,FURNITURE,SOFA,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,952.0,1848.24,FURNITURE,SOFA,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,764.32,1732.64,FURNITURE,SOFA,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1512.32,1875.44,FURNITURE,SOFA,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,499.12,1615.68,FURNITURE,BED,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2346.0,2550.0,FURNITURE,BED,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,2752.64,544.0,FURNITURE,BED,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,913.92,621.52,FURNITURE,BED,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,897.6,376.72,FURNITURE,BED,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,391.68,2196.4,FURNITURE,BED,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,420.24,2718.64,FURNITURE,BED,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2162.4,375.36,FURNITURE,BED,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,428.4,228.48,FURNITURE,BED,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2434.4,501.84,FURNITURE,BED,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1092.08,2093.04,FURNITURE,BED,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,2517.36,2480.64,FURNITURE,BED,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1436.16,1447.04,OFFICE,CHAIR,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2416.72,168.64,OFFICE,CHAIR,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,2103.92,1282.48,OFFICE,CHAIR,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1954.32,690.88,OFFICE,CHAIR,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,217.6,2108.0,OFFICE,CHAIR,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,515.44,1164.16,OFFICE,CHAIR,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,288.32,2566.32,OFFICE,CHAIR,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,530.4,1350.48,OFFICE,CHAIR,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,115.6,1929.84,OFFICE,CHAIR,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,184.96,1996.48,OFFICE,CHAIR,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1780.24,2838.32,OFFICE,CHAIR,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,2122.96,2777.12,OFFICE,CHAIR,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1758.48,2526.88,OFFICE,DESK,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1466.08,1784.32,OFFICE,DESK,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,1874.08,131.92,OFFICE,DESK,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,2385.44,258.4,OFFICE,DESK,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,1660.56,824.16,OFFICE,DESK,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,102.0,9.52,OFFICE,DESK,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,783.36,1871.36,OFFICE,DESK,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,191.76,2352.8,OFFICE,DESK,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,2730.88,1602.08,OFFICE,DESK,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2124.32,2603.04,OFFICE,DESK,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,969.68,2325.6,OFFICE,DESK,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1093.44,1373.6,OFFICE,DESK,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1366.8,1838.72,FURNITURE,SOFA,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1381.76,2355.52,FURNITURE,SOFA,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,240.72,361.76,FURNITURE,SOFA,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,749.36,1705.44,FURNITURE,SOFA,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2544.56,2159.68,FURNITURE,SOFA,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,2128.4,129.2,FURNITURE,SOFA,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1467.44,199.92,FURNITURE,SOFA,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,573.92,728.96,FURNITURE,SOFA,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,238.0,2112.08,FURNITURE,SOFA,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,2490.16,123.76,FURNITURE,SOFA,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,1630.64,133.28,FURNITURE,SOFA,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,607.92,1192.72,FURNITURE,SOFA,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,1077.12,1195.44,FURNITURE,BED,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1183.2,926.16,FURNITURE,BED,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,1410.32,2714.56,FURNITURE,BED,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1305.6,1686.4,FURNITURE,BED,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2605.76,2574.48,FURNITURE,BED,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,2414.0,1467.44,FURNITURE,BED,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,714.0,34.0,FURNITURE,BED,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2360.96,1478.32,FURNITURE,BED,1995.0,3.0,1993-08-01,1995-08-01
