T,S0184,S0185,S0188,S0189,S0191,S0192,S0195,S0196,S0199,S0205,S0206,S0207,S0212,S0213,S0217,S0219,S0224,S0225,S0226,S0228,S0229,S0230,S0231,S0233,S0234,S0235,S0236,S0237,S0238,S0240,S0266,S0267,S0270,S0276,S0277,S0278,S0280,S0285,S0286,S0287,S0289,S0290,S0292,S0293,S0296,S0297,S0301,S0307,S0308,S0317,S0318,S0322,S0323,S0324,S0325,S0326,S0328,S0329,S0330,S0332,S0333,S0335,S0336,S0337,S0338,S0344,S0345,S0351,S0352,S0360,S0361,S0363,S0364,S0365,S0366,S0367,S0368,S0369,S0370,S0371,S0374,S0375,S0376,S0378,S0380,S0381,S0382,S0383,S0384
11.0,146.0,6054.31640625,31.5999908447265,55.1725769042968,5136.0,53.0,22755.0,106505.0,97325.0,992.0,684.0,684.0,84.0,324.33984375,4815.0,18345.0,1357.0,44.0,37.0,70.0,80.0,91.0,14.0,14.0,20.0,40.0,63.0,383.0,72.2999877929687,547.55078125,126.0,55.0,76.0,40.2999877929687,54.2999877929687,473.89990234375,401.099853515625,93.0,108.0,60.0,85.0,1001.0,128.0,1384.0,3640.0,66.0,67.0,8.92999267578125,82.0,194.0,85.8999633789062,68.0,56.0,76.0,67.0,64.0,85.8999633789062,91.7999877929687,89.5999755859375,91.0,88.5999755859375,3.35999870300293,67.0,60.3999938964843,82.0,75.0,70.0,100.799987792968,118.199951171875,16.5399932861328,4.47999954223632,0.89999961853027,7768.0,1.11999988555908,16.0,136.0,343.0,4.5,4.69999694824218,39.7999877929687,98.0,243.0,102.599975585937,2684.0,1262.0,54.0,37.6999816894531,712.0,7.04999923706054
12.0,156.0,10021.59375,18.1999969482421,54.131591796875,5124.0,52.0,22434.0,109341.0,108776.0,1199.0,1008.0,1008.0,86.0,371.5498046875,4570.0,17017.0,1485.0,51.0,44.0,74.0,101.0,98.0,18.0999908447265,14.0,21.0,46.0,78.0,330.0,83.0999755859375,702.2939453125,114.0,59.0,93.0,37.7999877929687,53.2999877929687,544.5,425.2998046875,107.0,117.0,66.0,88.0,1279.0,133.0,1527.0,4100.0,72.0,68.0,10.1799926757812,80.0,201.0,92.0999755859375,86.0,65.0,75.0,69.0,69.0,92.0999755859375,93.7999877929687,93.699951171875,94.7999877929687,92.3999633789062,3.0,72.0,66.2999877929687,80.0,98.0,98.0,100.0,118.699951171875,16.6799926757812,3.94999885559082,1.09999942779541,7751.0,1.11999988555908,24.0,114.0,342.0,15.599998474121,3.39999961853027,41.5999755859375,100.0,266.0,101.199951171875,552.0,1268.0,61.6999816894531,52.7999877929687,722.0,7.87999725341797
13.0,104.0,9698.046875,23.2999877929687,41.6396789550781,6149.0,40.0,20987.0,108527.0,98919.0,1313.0,1088.0,1088.0,87.0,376.81982421875,3594.0,24608.0,1437.0,56.0,38.0,70.0,104.0,91.0,18.5,12.0,16.0,33.0,56.0,360.0,73.8999633789062,683.24755859375,108.0,58.0,95.0,31.5,51.8999938964843,326.2998046875,348.199951171875,111.0,122.0,70.0,88.0,1176.0,94.0,1391.0,4137.0,67.0,69.0,8.2699966430664,75.0,194.0,93.199951171875,102.0,67.0,75.0,69.0,76.0,93.199951171875,92.699951171875,93.0999755859375,93.0,93.5,3.1299991607666,69.0,60.5999755859375,75.0,97.0,100.0,98.0,118.099975585937,16.5299987792968,4.47999954223632,1.69999980926513,7752.0,1.11999988555908,27.0,112.0,340.0,23.0,3.5,40.7999877929687,107.0,397.0,99.3999633789062,815.0,1283.0,76.5,43.7999877929687,733.0,7.04999923706054
14.0,146.0,9679.375,,58.2955932617187,6202.0,56.0,22298.0,100791.0,104108.0,1007.0,797.0,797.0,80.0,391.169921875,4023.0,19028.0,1537.0,61.0,43.0,86.0,101.0,101.0,18.5,12.0,17.0,42.0,70.0,361.0,77.199951171875,702.2939453125,123.0,60.0,95.0,,,,,110.0,124.0,64.0,86.0,1212.0,108.0,1617.0,4517.0,72.0,72.0,9.79999542236328,80.0,193.0,95.699951171875,109.0,71.0,79.0,73.0,88.0,95.699951171875,96.0999755859375,95.5999755859375,95.3999633789062,95.7999877929687,3.91999816894531,76.0,66.7999877929687,80.0,99.0,99.0,,,16.8199920654296,3.88999938964843,0.89999961853027,7802.0,1.10999965667724,14.0,131.0,344.0,11.2999954223632,5.19999694824218,43.2999877929687,110.0,298.0,100.199951171875,1325.0,1286.0,66.199951171875,32.6999816894531,728.0,3.83999824523925
15.0,150.0,8249.8046875,,56.2135925292968,5808.0,54.0,23186.0,119445.0,108048.0,1252.0,968.0,968.0,106.0,341.009765625,4496.0,30532.0,1349.0,53.0,42.0,79.0,74.0,92.0,13.3999938964843,12.0,16.0,40.0,70.0,267.0,77.699951171875,585.640625,132.0,56.0,79.0,,,,,104.0,127.0,62.0,82.0,1476.0,99.0,1515.0,4184.0,67.0,71.0,9.70999908447265,82.0,190.0,92.7999877929687,82.0,59.0,79.0,71.0,72.0,92.7999877929687,97.0,96.699951171875,96.3999633789062,93.5,3.54999923706054,72.0,63.1999816894531,82.0,80.0,79.0,,,17.0499877929687,3.70999908447265,0.7999997138977,7822.0,1.1299991607666,18.0,135.0,345.0,5.89999771118164,4.0,43.6999816894531,101.0,210.0,102.199951171875,1176.0,1284.0,59.5,32.0999755859375,714.0,2.69999885559082
16.0,148.0,10688.0,,57.2545776367187,5572.0,55.0,23879.0,112400.0,120816.0,1343.0,1194.0,1343.0,98.0,456.909912109375,4545.0,23503.0,1528.0,64.0,50.0,79.0,89.0,92.0,17.3999938964843,14.0,18.0,46.0,80.0,325.0,86.7999877929687,735.62255859375,121.0,62.0,93.0,,,,,119.0,147.0,70.0,86.0,1651.0,127.0,1721.0,4700.0,71.0,73.0,10.609992980957,84.0,193.0,97.0,109.0,72.0,80.0,74.0,76.0,97.0,96.5,98.0,97.699951171875,95.5,3.26999855041503,80.0,71.0,84.0,105.0,110.0,,,17.0,3.56999969482421,1.5,7810.0,1.1299991607666,27.0,111.0,343.0,20.3999938964843,2.69999885559082,45.0999755859375,114.0,214.0,99.3999633789062,730.0,1294.0,65.0999755859375,41.6999816894531,717.0,2.91999816894531
17.0,92.0,11403.5,,47.8855895996093,7069.0,46.0,22701.0,126043.0,132652.0,1743.0,1436.0,1436.0,93.0,496.919921875,3675.0,21785.0,1614.0,66.0,39.0,78.0,83.0,88.0,16.2999877929687,13.0,15.0,37.0,62.0,416.0,78.5999755859375,733.24169921875,121.0,62.0,91.0,,,,,121.0,160.0,73.0,88.0,1503.0,100.0,1577.0,4433.0,68.0,74.0,8.38999938964843,80.0,208.0,97.0,102.0,73.0,79.0,74.0,85.0,97.0,96.0999755859375,97.699951171875,97.2999877929687,96.0,3.08999824523925,78.0,66.5,80.0,101.0,104.0,,,16.6899871826171,4.64999771118164,2.19999885559082,7725.0,1.1299991607666,40.0,103.0,339.0,32.0,3.0,43.7999877929687,112.0,352.0,96.8999633789062,1451.0,1307.0,81.5999755859375,40.0,721.0,2.46999931335449
18.0,150.0,11515.0,,62.45947265625,6839.0,60.0,24506.0,120669.0,132758.0,1769.0,1466.0,1466.0,111.0,495.989990234375,4408.0,14050.0,1703.0,67.0,49.0,90.0,96.0,102.0,17.0,16.0,18.0,40.0,69.0,437.0,79.7999877929687,738.0029296875,147.0,66.0,95.0,,,,,127.0,161.0,74.0,93.0,1525.0,120.0,1851.0,4441.0,80.0,77.0,10.1399993896484,85.0,212.0,102.0,109.0,77.0,82.0,78.0,91.0,102.0,100.199951171875,99.3999633789062,99.5,102.299987792968,4.40999984741211,80.0,72.0,85.0,106.0,104.0,,,16.9399871826171,4.16999816894531,1.09999942779541,7768.0,1.11999988555908,14.0,128.0,345.0,11.2999954223632,5.19999694824218,46.3999938964843,112.0,258.0,99.199951171875,1246.0,1310.0,66.5,30.2999877929687,716.0,2.10999870300293
19.0,165.0,9685.703125,,66.6234741210937,6104.0,64.0,25624.0,130590.0,123878.0,1268.0,1060.0,1060.0,117.0,456.849853515625,5124.0,20753.0,1490.0,56.0,52.0,83.0,76.0,95.0,12.8999938964843,15.0,18.0,37.0,76.0,445.0,79.8999633789062,609.44775390625,152.0,62.0,80.0,,,,,123.0,147.0,68.0,90.0,1702.0,101.0,1675.0,4161.0,78.0,76.0,10.3999938964843,87.0,191.0,97.7999877929687,77.0,62.0,81.0,76.0,86.0,97.7999877929687,101.5,100.199951171875,100.5,99.699951171875,3.95999908447265,74.0,67.7999877929687,87.0,86.0,85.0,,,17.1699981689453,3.78999900817871,1.0,7755.0,1.1299991607666,16.0,138.0,346.0,7.09999847412109,3.79999923706054,46.6999816894531,102.0,226.0,101.199951171875,1764.0,1314.0,54.3999938964843,33.8999938964843,712.0,2.13999938964843
20.0,104.0,12146.0,,62.45947265625,6812.0,60.0,26115.0,127057.0,147156.0,1316.0,1124.0,1124.0,137.0,504.329833984375,5103.0,11280.0,1787.0,67.0,68.0,86.0,105.0,104.0,19.8999938964843,17.0,20.0,43.0,80.0,493.0,88.5999755859375,773.712890625,139.0,71.0,100.0,,,,,135.0,139.0,77.0,98.0,2030.0,139.0,1911.0,4953.0,80.0,78.0,11.8399963378906,87.0,219.0,103.099975585937,98.0,76.0,83.0,79.0,92.0,103.099975585937,102.199951171875,102.699951171875,102.899963378906,102.0,3.82999992370605,83.0,75.5999755859375,87.0,111.0,112.0,,,17.1799926757812,3.67999839782714,1.59999942779541,7739.0,1.1299991607666,23.0,118.0,344.0,20.5,2.39999961853027,47.6999816894531,114.0,233.0,100.399963378906,622.0,1322.0,63.1999816894531,44.0999755859375,723.0,4.0
21.0,113.0,13179.09375,,57.2545776367187,8367.0,55.0,24906.0,128797.0,128768.0,1717.0,1529.0,1529.0,68.0,492.019775390625,4080.0,14190.0,1693.0,68.0,57.0,71.0,103.0,90.0,20.0999908447265,15.0,14.0,36.0,59.0,519.0,78.0,766.57080078125,136.0,73.0,100.0,,,,,142.0,149.0,83.0,103.0,1622.0,93.0,1795.0,4909.0,78.0,81.0,10.0,82.0,270.0,104.0,93.0,76.0,81.0,82.0,100.0,104.0,101.599975585937,102.5,102.099975585937,103.399963378906,3.58999824523925,80.0,69.199951171875,82.0,112.0,113.0,,,16.9099884033203,4.39999771118164,2.19999885559082,7695.0,1.1299991607666,27.0,114.0,342.0,26.5999908447265,3.5,48.0,110.0,392.0,99.7999877929687,407.0,1334.0,74.5999755859375,41.8999938964843,737.0,3.57999992370605
22.0,173.0,12785.296875,,78.0743408203125,8130.0,75.0,26025.0,122665.0,128042.0,1435.0,1328.0,1328.0,152.0,469.829833984375,4529.0,8213.0,1687.0,69.0,68.0,90.0,105.0,105.0,20.8999938964843,18.0,18.0,40.0,70.0,441.0,78.0,757.048828125,151.0,78.0,104.0,,,,,147.0,163.0,76.0,103.0,1754.0,105.0,2026.0,5373.0,85.0,83.0,11.849998474121,89.0,268.0,108.699951171875,96.0,80.0,84.0,85.0,103.0,108.699951171875,106.0,105.599975585937,105.099975585937,108.299987792968,4.5,83.0,74.0999755859375,89.0,115.0,116.0,,,17.1499938964843,3.93999862670898,1.29999923706054,7791.0,1.1299991607666,13.0,137.0,349.0,10.099998474121,6.29999923706054,50.2999877929687,109.0,320.0,102.799987792968,2334.0,1343.0,56.6999816894531,35.2999877929687,736.0,3.60999870300293
23.0,173.0,10603.8984375,,82.2383422851562,7525.0,79.0,27309.0,133925.0,128009.0,1028.0,934.0,934.0,133.0,328.539794921875,4998.0,11881.0,1474.0,60.0,66.0,82.0,83.0,99.0,16.0999908447265,15.0,19.0,39.0,76.0,400.0,78.699951171875,640.39599609375,153.0,72.0,88.0,,,,,139.0,159.0,77.0,101.0,1938.0,82.0,1879.0,5231.0,82.0,83.0,11.6999969482421,93.0,260.0,106.0,71.0,66.0,84.0,84.0,93.0,106.0,107.199951171875,105.699951171875,105.5,107.699951171875,4.03999710083007,75.0,70.699951171875,93.0,94.0,90.0,,,17.5,3.5,1.09999942779541,7841.0,1.14999961853027,17.0,148.0,351.0,7.19999694824218,4.79999923706054,50.5999755859375,96.0,250.0,103.199951171875,3426.0,1351.0,45.1999816894531,42.5,734.0,3.72999954223632
24.0,199.0,13594.296875,,85.3613891601562,6918.0,82.0,26942.0,130428.0,132537.0,1114.0,1018.0,1018.0,144.0,301.1298828125,5128.0,7550.0,1680.0,73.0,82.0,82.0,109.0,105.0,20.6999969482421,17.0,21.0,47.0,87.0,390.0,91.3999633789062,818.94580078125,146.0,79.0,108.0,,,,,157.0,168.0,83.0,101.0,2348.0,133.0,2230.0,6072.0,85.0,86.0,13.4199981689453,94.0,251.0,110.399963378906,101.0,82.0,86.0,88.0,88.0,110.399963378906,108.599975585937,108.299987792968,107.899963378906,110.0,3.79999923706054,86.0,77.7999877929687,94.0,122.0,122.0,,,17.5399932861328,3.30999946594238,1.5,7890.0,1.14999961853027,26.0,125.0,349.0,18.1999969482421,3.79999923706054,53.5999755859375,111.0,299.0,102.199951171875,1585.0,1361.0,58.0,57.2999877929687,747.0,5.73999786376953
25.0,136.0,14387.296875,,74.9513549804687,6737.0,72.0,25325.0,129709.0,124437.0,1202.0,1305.0,1305.0,135.0,351.10986328125,5004.0,7821.0,1696.0,72.0,65.0,76.0,106.0,100.0,20.6999969482421,14.0,18.0,37.0,70.0,452.0,75.0999755859375,826.087890625,140.0,80.0,107.0,,,,,152.0,184.0,85.0,105.0,2605.0,85.0,1978.0,6300.0,85.0,88.0,11.1999969482421,89.0,285.0,115.5,107.0,82.0,85.0,90.0,100.0,115.5,109.0,111.0,110.299987792968,112.899963378906,3.52999877929687,82.0,72.2999877929687,89.0,123.0,128.0,,,17.5199890136718,3.93999862670898,1.79999923706054,7896.0,1.13999938964843,34.0,118.0,348.0,23.0999908447265,4.59999847412109,53.5999755859375,107.0,478.0,99.7999877929687,388.0,1375.0,64.199951171875,59.1999816894531,761.0,5.43999862670898
26.0,201.0,14654.296875,,92.6482543945312,6900.0,89.0,25237.0,125517.0,109391.0,1376.0,1229.0,1229.0,157.0,413.739990234375,5092.0,7000.0,1686.0,74.0,82.0,90.0,110.0,111.0,18.5999908447265,18.0,22.0,47.0,84.0,508.0,83.0999755859375,809.4228515625,161.0,85.0,109.0,,,,,161.0,201.0,81.0,108.0,2540.0,115.0,2288.0,6653.0,93.0,92.0,13.6299972534179,95.0,287.0,120.0,108.0,85.0,88.0,94.0,106.0,120.0,111.399963378906,112.5,110.799987792968,117.5,4.75,84.0,78.0999755859375,95.0,125.0,126.0,,,17.8699951171875,3.58999824523925,1.79999923706054,8002.0,1.13999938964843,17.0,135.0,354.0,8.69999694824218,7.59999847412109,56.3999938964843,107.0,399.0,100.599975585937,2178.0,1380.0,49.8999938964843,44.5999755859375,764.0,5.02999877929687
27.0,214.0,11575.3984375,,78.0743408203125,6112.0,75.0,24363.0,134699.0,119149.0,1121.0,1073.0,1073.0,148.0,351.889892578125,4340.0,9408.0,1444.0,64.0,80.0,84.0,85.0,105.0,13.7999954223632,20.0,24.0,50.0,84.0,509.0,83.7999877929687,678.48681640625,170.0,79.0,92.0,,,,,146.0,194.0,83.0,103.0,2419.0,108.0,2148.0,6010.0,89.0,91.0,13.6499938964843,99.0,302.0,116.899963378906,80.0,71.0,88.0,93.0,97.0,116.899963378906,113.399963378906,113.5,111.299987792968,116.399963378906,4.39999771118164,77.0,72.3999633789062,99.0,99.0,98.0,,,18.3099975585937,3.14999961853027,1.09999942779541,8024.0,1.14999961853027,20.0,142.0,357.0,5.29999923706054,5.89999771118164,57.0,94.0,317.0,101.0,2083.0,1374.0,48.5,43.2999877929687,759.0,4.86999893188476
28.0,221.0,15238.6953125,,106.180969238281,6717.0,102.0,23927.0,131711.0,119151.0,1272.0,1262.0,1262.0,134.0,452.02978515625,4801.0,7629.0,1702.0,76.0,99.0,87.0,110.0,108.0,19.2999877929687,25.0,30.0,63.0,99.0,485.0,98.7999877929687,876.08154296875,161.0,91.0,114.0,,,,,159.0,201.0,86.0,101.0,3225.0,109.0,2146.0,8112.0,93.0,93.0,15.9299926757812,99.0,298.0,124.399963378906,106.0,85.0,89.0,95.0,98.0,124.399963378906,115.599975585937,119.299987792968,116.0,119.399963378906,3.92999839782714,86.0,82.5999755859375,99.0,129.0,135.0,,,18.5499877929687,2.78999900817871,1.5,8023.0,1.14999961853027,30.0,122.0,355.0,16.2999877929687,5.19999694824218,58.7999877929687,107.0,333.0,98.5,1892.0,1384.0,62.7999877929687,56.5999755859375,773.0,5.64999771118164
29.0,153.0,16209.796875,,80.1563720703125,7937.0,77.0,23381.0,127676.0,108886.0,1388.0,1413.0,1413.0,173.0,,5149.0,20670.0,1722.0,77.0,78.0,83.0,110.0,102.0,20.0,20.0,22.0,55.0,79.0,518.0,88.0999755859375,909.41064453125,157.0,91.0,115.0,,,,,163.0,194.0,88.0,98.0,3228.0,140.0,2575.0,8340.0,89.0,92.0,13.3299942016601,94.0,315.0,128.799926757812,103.0,85.0,87.0,93.0,97.0,128.799926757812,116.5,121.099975585937,115.699951171875,123.299987792968,3.92999839782714,83.0,72.8999633789062,94.0,129.0,139.0,,,18.5999908447265,3.10999870300293,2.29999923706054,7966.0,1.13999938964843,41.0,115.0,355.0,24.2999877929687,6.0,58.3999938964843,104.0,463.0,96.7999877929687,622.0,1394.0,76.699951171875,51.5999755859375,785.0,4.69999694824218
