regionname,protractionname,date,oil,gas
Central,Breton Sound Area,2002-02-01,43907.0,443973.0
Central,Breton Sound Area,2002-03-01,58296.0,581166.0
Central,Breton Sound Area,2002-04-01,62289.0,743914.0
Central,Breton Sound Area,2002-05-01,56727.0,732395.0
Central,Breton Sound Area,2002-06-01,56961.0,693637.0
Central,Breton Sound Area,2002-07-01,61750.0,714849.0
Central,Breton Sound Area,2002-08-01,68008.0,664614.0
Central,Breton Sound Area,2002-09-01,67373.0,583443.0
Central,Breton Sound Area,2002-10-01,82355.0,544046.0
Central,Breton Sound Area,2002-11-01,91598.0,543294.0
Central,Breton Sound Area,2002-12-01,92812.0,530009.0
Central,Breton Sound Area,2003-01-01,87230.0,565525.0
Central,Breton Sound Area,2003-02-01,69696.0,479797.0
Central,Breton Sound Area,2003-03-01,78080.0,605247.0
Central,Breton Sound Area,2003-04-01,71007.0,543853.0
Central,Breton Sound Area,2003-05-01,71485.0,549302.0
Central,Breton Sound Area,2003-06-01,68296.0,514615.0
Central,Breton Sound Area,2003-07-01,76107.0,417888.0
Central,Breton Sound Area,2003-08-01,70519.0,405290.0
Central,Breton Sound Area,2003-09-01,58792.0,339204.0
Central,Breton Sound Area,2003-10-01,68954.0,409873.0
Central,Breton Sound Area,2003-11-01,81917.0,443545.0
Central,Breton Sound Area,2003-12-01,79355.0,383096.0
Central,Breton Sound Area,2004-01-01,87167.0,649294.0
Central,Breton Sound Area,2004-02-01,69149.0,481070.0
Central,Breton Sound Area,2004-03-01,94920.0,689173.0
Central,Breton Sound Area,2004-04-01,89355.0,677425.0
Central,Breton Sound Area,2004-05-01,96799.0,600450.0
Central,Breton Sound Area,2004-06-01,84157.0,522900.0
Central,Breton Sound Area,2004-07-01,85156.0,315930.0
Central,Breton Sound Area,2004-08-01,112033.0,1036103.0
Central,Breton Sound Area,2004-09-01,55363.0,699973.0
Central,Breton Sound Area,2004-10-01,65582.0,1178573.0
Central,Breton Sound Area,2004-11-01,106515.0,1396865.0
Central,Breton Sound Area,2004-12-01,95329.0,972619.0
Central,Breton Sound Area,2005-01-01,112094.0,1229690.0
Central,Breton Sound Area,2005-02-01,96292.0,1043852.0
Central,Breton Sound Area,2005-03-01,101230.0,1018666.0
Central,Breton Sound Area,2005-04-01,106895.0,996434.0
Central,Breton Sound Area,2005-05-01,95177.0,1022720.0
Central,Breton Sound Area,2005-06-01,87327.0,970749.0
Central,Breton Sound Area,2005-07-01,78573.0,744175.0
Central,Breton Sound Area,2005-08-01,57660.0,673847.0
Central,Breton Sound Area,2005-09-01,,
Central,Breton Sound Area,2005-10-01,,
Central,Breton Sound Area,2005-11-01,38536.0,103128.0
Central,Breton Sound Area,2005-12-01,62563.0,151256.0
Central,Breton Sound Area,2006-01-01,65536.0,184632.0
Central,Breton Sound Area,2006-02-01,56931.0,138790.0
Central,Breton Sound Area,2006-03-01,5827.0,15839.0
Central,Chandeleur Area,1996-01-01,64.0,994942.0
Central,Chandeleur Area,1996-02-01,48.0,1060279.0
Central,Chandeleur Area,1996-03-01,83.0,1220226.0
Central,Chandeleur Area,1996-04-01,67.0,1160380.0
Central,Chandeleur Area,1996-05-01,72.0,1093710.0
Central,Chandeleur Area,1996-06-01,61.0,978640.0
Central,Chandeleur Area,1996-07-01,108.0,932571.0
Central,Chandeleur Area,1996-08-01,52.0,1142840.0
Central,Chandeleur Area,1996-09-01,62.0,1075081.0
Central,Chandeleur Area,1996-10-01,50.0,772973.0
Central,Chandeleur Area,1996-11-01,55.0,734466.0
Central,Chandeleur Area,1996-12-01,52.0,1261422.0
Central,Chandeleur Area,1997-01-01,62.0,1686102.0
Central,Chandeleur Area,1997-02-01,65.0,1538851.0
Central,Chandeleur Area,1997-03-01,60.0,1362293.0
Central,Chandeleur Area,1997-04-01,46.0,1525570.0
Central,Chandeleur Area,1997-05-01,60.0,1441697.0
Central,Chandeleur Area,1997-06-01,35.0,1382631.0
Central,Chandeleur Area,1997-07-01,45.0,1092559.0
Central,Chandeleur Area,1997-08-01,30.0,1274233.0
Central,Chandeleur Area,1997-09-01,51.0,1229100.0
Central,Chandeleur Area,1997-10-01,34.0,1086606.0
Central,Chandeleur Area,1997-11-01,40.0,1178156.0
Central,Chandeleur Area,1997-12-01,43.0,1180489.0
Central,Chandeleur Area,1998-01-01,32.0,1171381.0
Central,Chandeleur Area,1998-02-01,26.0,1026194.0
Central,Chandeleur Area,1998-03-01,48.0,1028526.0
Central,Chandeleur Area,1998-04-01,27.0,1001576.0
Central,Chandeleur Area,1998-05-01,17.0,943142.0
Central,Chandeleur Area,1998-06-01,25.0,918409.0
Central,Chandeleur Area,1998-07-01,19.0,841727.0
Central,Chandeleur Area,1998-08-01,18.0,811359.0
Central,Chandeleur Area,1998-09-01,21.0,499276.0
Central,Chandeleur Area,1998-10-01,28.0,664579.0
Central,Chandeleur Area,1998-11-01,30.0,683986.0
Central,Chandeleur Area,1998-12-01,37.0,682727.0
Central,Chandeleur Area,1999-01-01,21.0,599703.0
Central,Chandeleur Area,1999-02-01,29.0,526720.0
Central,Chandeleur Area,1999-03-01,25.0,536008.0
Central,Chandeleur Area,1999-04-01,14.0,480269.0
Central,Chandeleur Area,1999-05-01,17.0,477268.0
Central,Chandeleur Area,1999-06-01,8.0,454776.0
Central,Chandeleur Area,1999-07-01,2.0,375181.0
Central,Chandeleur Area,1999-08-01,1.0,447182.0
Central,Chandeleur Area,1999-09-01,3.0,414992.0
Central,Chandeleur Area,1999-10-01,15.0,388870.0
Central,Chandeleur Area,1999-11-01,16.0,369293.0
Central,Chandeleur Area,1999-12-01,15.0,361908.0
Central,Chandeleur Area,2000-01-01,8.0,342712.0
Central,Chandeleur Area,2000-02-01,5.0,322707.0
Central,Chandeleur Area,2000-03-01,8.0,331805.0
Central,Chandeleur Area,2000-04-01,45.0,304013.0
Central,Chandeleur Area,2000-05-01,41.0,327011.0
Central,Chandeleur Area,2000-06-01,18.0,313255.0
Central,Chandeleur Area,2000-07-01,20.0,320993.0
Central,Chandeleur Area,2000-08-01,28.0,318912.0
Central,Chandeleur Area,2000-09-01,29.0,314868.0
Central,Chandeleur Area,2000-10-01,5.0,309396.0
Central,Chandeleur Area,2000-11-01,19.0,287993.0
Central,Chandeleur Area,2000-12-01,35.0,468674.0
Central,Chandeleur Area,2001-01-01,22.0,490989.0
Central,Chandeleur Area,2001-02-01,65.0,457804.0
Central,Chandeleur Area,2001-03-01,72.0,507018.0
Central,Chandeleur Area,2001-04-01,21.0,459829.0
Central,Chandeleur Area,2001-05-01,65.0,459286.0
Central,Chandeleur Area,2001-06-01,47.0,407587.0
Central,Chandeleur Area,2001-07-01,35.0,426617.0
Central,Chandeleur Area,2001-08-01,39.0,403023.0
Central,Chandeleur Area,2001-09-01,30.0,372156.0
Central,Chandeleur Area,2001-10-01,40.0,402413.0
Central,Chandeleur Area,2001-11-01,49.0,374209.0
Central,Chandeleur Area,2001-12-01,52.0,382808.0
Central,Chandeleur Area,2002-01-01,58.0,493203.0
Central,Chandeleur Area,2002-02-01,73.0,397270.0
Central,Chandeleur Area,2002-03-01,41.0,414008.0
Central,Chandeleur Area,2002-04-01,105.0,419915.0
Central,Chandeleur Area,2002-05-01,142.0,368708.0
Central,Chandeleur Area,2002-06-01,90.0,370579.0
Central,Chandeleur Area,2002-07-01,71.0,351434.0
Central,Chandeleur Area,2002-08-01,73.0,327321.0
Central,Chandeleur Area,2002-09-01,39.0,297707.0
Central,Chandeleur Area,2002-10-01,42.0,326257.0
Central,Chandeleur Area,2002-11-01,45.0,268122.0
Central,Chandeleur Area,2002-12-01,40.0,267260.0
Central,Chandeleur Area,2003-01-01,188.0,296659.0
Central,Chandeleur Area,2003-02-01,9.0,258215.0
Central,Chandeleur Area,2003-03-01,8.0,285044.0
Central,Chandeleur Area,2003-04-01,9.0,242284.0
Central,Chandeleur Area,2003-05-01,9.0,257806.0
Central,Chandeleur Area,2003-06-01,13.0,208463.0
Central,Chandeleur Area,2003-07-01,2.0,90102.0
Central,Chandeleur Area,2003-08-01,7.0,149015.0
Central,Chandeleur Area,2003-09-01,14.0,186598.0
Central,Chandeleur Area,2003-10-01,19.0,137496.0
Central,Chandeleur Area,2003-11-01,37.0,111618.0
Central,Chandeleur Area,2003-12-01,60.0,114440.0
Central,Chandeleur Area,2004-01-01,14.0,136562.0
Central,Chandeleur Area,2004-02-01,16.0,314518.0
Central,Chandeleur Area,2004-03-01,28.0,434566.0
Central,Chandeleur Area,2004-04-01,18.0,427621.0
Central,Chandeleur Area,2004-05-01,178.0,453249.0
Central,Chandeleur Area,2004-06-01,76.0,393366.0
Central,Chandeleur Area,2004-07-01,27.0,413413.0
Central,Chandeleur Area,2004-08-01,40.0,579900.0
Central,Chandeleur Area,2004-09-01,4.0,284504.0
Central,Chandeleur Area,2004-10-01,12.0,572530.0
Central,Chandeleur Area,2004-11-01,26.0,490757.0
Central,Chandeleur Area,2004-12-01,1.0,313948.0
Central,Chandeleur Area,2005-01-01,0.0,496393.0
Central,Chandeleur Area,2005-02-01,0.0,536806.0
Central,Chandeleur Area,2005-03-01,0.0,610556.0
Central,Chandeleur Area,2005-04-01,0.0,614375.0
Central,Chandeleur Area,2005-05-01,0.0,573255.0
Central,Chandeleur Area,2005-06-01,0.0,568989.0
Central,Chandeleur Area,2005-07-01,0.0,491462.0
Central,Chandeleur Area,2005-08-01,0.0,457477.0
Central,Chandeleur Area,2005-09-01,0.0,107756.0
Central,Chandeleur Area,2005-10-01,0.0,396642.0
Central,Chandeleur Area,2005-11-01,0.0,271143.0
Central,Chandeleur Area,2005-12-01,0.0,265053.0
Central,Chandeleur Area,2006-01-01,0.0,196399.0
Central,Chandeleur Area,2006-02-01,0.0,169128.0
Central,Chandeleur Area,2006-03-01,0.0,191359.0
Central,East Cameron Area,1996-01-01,828811.0,21063143.0
Central,East Cameron Area,1996-02-01,810653.0,20497105.0
Central,East Cameron Area,1996-03-01,852514.0,22801299.0
Central,East Cameron Area,1996-04-01,764091.0,21782632.0
Central,East Cameron Area,1996-05-01,800182.0,22332622.0
Central,East Cameron Area,1996-06-01,720979.0,22838613.0
Central,East Cameron Area,1996-07-01,798828.0,24107507.0
Central,East Cameron Area,1996-08-01,787608.0,22730121.0
Central,East Cameron Area,1996-09-01,743544.0,21760581.0
Central,East Cameron Area,1996-10-01,761526.0,21469025.0
Central,East Cameron Area,1996-11-01,678569.0,20478584.0
Central,East Cameron Area,1996-12-01,712585.0,21060023.0
Central,East Cameron Area,1997-01-01,736455.0,20386643.0
Central,East Cameron Area,1997-02-01,646601.0,19700965.0
Central,East Cameron Area,1997-03-01,685469.0,22264871.0
Central,East Cameron Area,1997-04-01,729754.0,23042195.0
Central,East Cameron Area,1997-05-01,873710.0,25929052.0
Central,East Cameron Area,1997-06-01,835550.0,25718512.0
Central,East Cameron Area,1997-07-01,906825.0,26367176.0
Central,East Cameron Area,1997-08-01,942406.0,25524941.0
Central,East Cameron Area,1997-09-01,850159.0,22346511.0
Central,East Cameron Area,1997-10-01,868487.0,22632132.0
Central,East Cameron Area,1997-11-01,852655.0,22532441.0
Central,East Cameron Area,1997-12-01,799735.0,23121170.0
Central,East Cameron Area,1998-01-01,749426.0,22583695.0
Central,East Cameron Area,1998-02-01,665242.0,20967643.0
Central,East Cameron Area,1998-03-01,827234.0,22846279.0
Central,East Cameron Area,1998-04-01,817452.0,22589299.0
Central,East Cameron Area,1998-05-01,863901.0,23407904.0
Central,East Cameron Area,1998-06-01,945405.0,24459067.0
Central,East Cameron Area,1998-07-01,892621.0,25440431.0
Central,East Cameron Area,1998-08-01,818465.0,25567667.0
Central,East Cameron Area,1998-09-01,517924.0,18720263.0
Central,East Cameron Area,1998-10-01,800575.0,23444058.0
Central,East Cameron Area,1998-11-01,831008.0,22730568.0
Central,East Cameron Area,1998-12-01,831203.0,21861847.0
Central,East Cameron Area,1999-01-01,812253.0,22418402.0
Central,East Cameron Area,1999-02-01,685754.0,20210798.0
Central,East Cameron Area,1999-03-01,736933.0,22000178.0
Central,East Cameron Area,1999-04-01,682599.0,20490512.0
Central,East Cameron Area,1999-05-01,665200.0,20056096.0
Central,East Cameron Area,1999-06-01,628568.0,17085067.0
Central,East Cameron Area,1999-07-01,701833.0,19828730.0
Central,East Cameron Area,1999-08-01,651457.0,19112077.0
Central,East Cameron Area,1999-09-01,626190.0,17427830.0
Central,East Cameron Area,1999-10-01,655337.0,17155770.0
Central,East Cameron Area,1999-11-01,602346.0,16918462.0
Central,East Cameron Area,1999-12-01,623797.0,18250418.0
Central,East Cameron Area,2000-01-01,589068.0,18745729.0
Central,East Cameron Area,2000-02-01,559346.0,17843683.0
Central,East Cameron Area,2000-03-01,610440.0,19925602.0
Central,East Cameron Area,2000-04-01,557977.0,19858700.0
Central,East Cameron Area,2000-05-01,510966.0,19802185.0
Central,East Cameron Area,2000-06-01,552667.0,20055767.0
Central,East Cameron Area,2000-07-01,560739.0,20616910.0
Central,East Cameron Area,2000-08-01,572772.0,20310826.0
Central,East Cameron Area,2000-09-01,538378.0,18963621.0
Central,East Cameron Area,2000-10-01,534934.0,18428648.0
Central,East Cameron Area,2000-11-01,482069.0,16853299.0
Central,East Cameron Area,2000-12-01,496318.0,17235474.0
Central,East Cameron Area,2001-01-01,484284.0,16860728.0
Central,East Cameron Area,2001-02-01,427517.0,16315068.0
Central,East Cameron Area,2001-03-01,469249.0,17235751.0
Central,East Cameron Area,2001-04-01,460934.0,16819911.0
Central,East Cameron Area,2001-05-01,510137.0,16960967.0
Central,East Cameron Area,2001-06-01,391239.0,14962262.0
Central,East Cameron Area,2001-07-01,457174.0,14935343.0
Central,East Cameron Area,2001-08-01,462736.0,15345842.0
Central,East Cameron Area,2001-09-01,471576.0,15276453.0
Central,East Cameron Area,2001-10-01,485857.0,14611587.0
Central,East Cameron Area,2001-11-01,433278.0,13803502.0
Central,East Cameron Area,2001-12-01,404259.0,13167117.0
Central,East Cameron Area,2002-01-01,446094.0,13280284.0
Central,East Cameron Area,2002-02-01,430106.0,13206919.0
Central,East Cameron Area,2002-03-01,448078.0,14983877.0
Central,East Cameron Area,2002-04-01,508993.0,15963315.0
Central,East Cameron Area,2002-05-01,548808.0,17740692.0
Central,East Cameron Area,2002-06-01,545325.0,16951337.0
Central,East Cameron Area,2002-07-01,507786.0,16592787.0
Central,East Cameron Area,2002-08-01,496329.0,15102140.0
Central,East Cameron Area,2002-09-01,371809.0,13399695.0
Central,East Cameron Area,2002-10-01,353866.0,12452054.0
Central,East Cameron Area,2002-11-01,449142.0,14154848.0
Central,East Cameron Area,2002-12-01,410499.0,13610886.0
Central,East Cameron Area,2003-01-01,406364.0,12757029.0
Central,East Cameron Area,2003-02-01,379334.0,11985547.0
Central,East Cameron Area,2003-03-01,428222.0,14436458.0
Central,East Cameron Area,2003-04-01,403878.0,13734571.0
Central,East Cameron Area,2003-05-01,428693.0,14699212.0
Central,East Cameron Area,2003-06-01,417376.0,13658699.0
Central,East Cameron Area,2003-07-01,357067.0,13117073.0
Central,East Cameron Area,2003-08-01,408609.0,14217505.0
Central,East Cameron Area,2003-09-01,380458.0,13623467.0
Central,East Cameron Area,2003-10-01,403698.0,13948190.0
Central,East Cameron Area,2003-11-01,378661.0,12626846.0
Central,East Cameron Area,2003-12-01,381786.0,12354344.0
Central,East Cameron Area,2004-01-01,391435.0,11637690.0
Central,East Cameron Area,2004-02-01,350036.0,11003658.0
Central,East Cameron Area,2004-03-01,390249.0,12736575.0
Central,East Cameron Area,2004-04-01,413337.0,13026825.0
Central,East Cameron Area,2004-05-01,419500.0,13701844.0
Central,East Cameron Area,2004-06-01,379673.0,12640641.0
Central,East Cameron Area,2004-07-01,413072.0,13676559.0
Central,East Cameron Area,2004-08-01,415035.0,12913959.0
Central,East Cameron Area,2004-09-01,317892.0,11344602.0
Central,East Cameron Area,2004-10-01,405073.0,11919246.0
Central,East Cameron Area,2004-11-01,391095.0,10904647.0
Central,East Cameron Area,2004-12-01,404250.0,11271527.0
Central,East Cameron Area,2005-01-01,371755.0,10865383.0
Central,East Cameron Area,2005-02-01,307251.0,9077414.0
Central,East Cameron Area,2005-03-01,503703.0,10393910.0
Central,East Cameron Area,2005-04-01,479792.0,10619896.0
Central,East Cameron Area,2005-05-01,433089.0,10523916.0
