libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
MAPS,ALGERIA2,DATA,_MAP_GEOMETRY_,char,27.0,10.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,ALGERIA2,DATA,IDNAME,char,35.0,37.0,2.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,ALGERIA2,DATA,ID,num,5.0,0.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ALGERIA2,DATA,COUNTRY,num,5.0,5.0,4.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA,DATA,ID,num,4.0,16.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA,DATA,SEGMENT,num,4.0,20.0,2.0,Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA,DATA,X,num,5.0,24.0,3.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA,DATA,Y,num,5.0,29.0,4.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA,DATA,LAT,num,8.0,0.0,5.0,Unprojected Latitude,16.11,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA,DATA,LONG,num,8.0,8.0,6.0,Unprojected Longitude,16.11,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA2,DATA,_MAP_GEOMETRY_,char,27.0,6.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,ANDORRA2,DATA,COUNTRY,num,3.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA2,DATA,ID,num,3.0,3.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ANDORRA2,DATA,IDNAME,char,45.0,33.0,4.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,COUNTY,num,4.0,0.0,1.0,"County number as in COUNTIES, CNTYNAME",,,,0.0,num,no,0.0,,yes
MAPS,ANOMALY,DATA,OLDCNTY,num,4.0,4.0,2.0,Original county number,,,,0.0,num,no,0.0,,yes
MAPS,ANOMALY,DATA,STATE,num,4.0,8.0,3.0,State FIPS code,,,,0.0,num,no,0.0,,yes
MAPS,ANOMALY,DATA,NAME,char,25.0,12.0,4.0,County name,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,OLDNAME,char,25.0,37.0,5.0,Original county name,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,COMMENT1,char,60.0,62.0,6.0,Anomaly explanation,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,COMMENT2,char,60.0,122.0,7.0,Anomaly explanation,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,COMMENT3,char,60.0,182.0,8.0,Anomaly explanation,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,COMMENT4,char,60.0,242.0,9.0,Anomaly explanation,,,,0.0,char,no,0.0,,yes
MAPS,ANOMALY,DATA,MAP,char,8.0,302.0,10.0,Pertinent map data set,,,,0.0,char,no,0.0,,yes
MAPS,ANTARCT2,DATA,CONT97_GEO,char,38.0,39.0,1.0,ANTARCTICA-Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,ANTARCT2,DATA,CONT,num,5.0,24.0,2.0,Numeric Rep. for Continent,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCT2,DATA,ID,num,5.0,29.0,3.0,GLC: Country ID Number,,,,1.0,num,no,0.0,,yes
MAPS,ANTARCT2,DATA,ISO,num,5.0,34.0,4.0,ISO Country Number: 900+ Undefined,Z3.,,,0.0,num,no,0.0,,yes
MAPS,ANTARCT2,DATA,IDNAME,char,45.0,77.0,5.0,GLC Country IDName,,,,0.0,char,no,0.0,,yes
MAPS,ANTARCT2,DATA,ISONAME,char,45.0,122.0,6.0,ISO Name for Country,,,,0.0,char,no,0.0,,yes
MAPS,ANTARCT2,DATA,START,num,8.0,0.0,7.0,First Point in ANTARCTIC Dataset,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCT2,DATA,POINTS,num,8.0,8.0,8.0,Number of Points in ANTARCTIC Dataset,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCT2,DATA,END,num,8.0,16.0,9.0,Last point in ANTARCTIC Dataset,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCT2,DATA,NAME,char,45.0,167.0,10.0,GLC Country Name,,,,0.0,char,no,0.0,,yes
MAPS,ANTARCTI,DATA,CONT,num,5.0,32.0,1.0,Numeric Rep. for Continent,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,ID,num,5.0,37.0,2.0,GLC: Country ID Number,,,,1.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,SEGMENT,num,5.0,42.0,3.0,Country Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,DENSITY,num,5.0,47.0,4.0,Levels for Reducing,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,X,num,8.0,0.0,5.0,Projected Longitude: Ortho,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,Y,num,8.0,8.0,6.0,Projected Latitude: Ortho,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,LAT,num,8.0,16.0,7.0,Unprojected Latitude in Radians,,,,0.0,num,no,0.0,,yes
MAPS,ANTARCTI,DATA,LONG,num,8.0,24.0,8.0,Unprojected Longitude in Radians,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,_MAP_GEOMETRY_,char,29.0,34.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,ARGENTI2,DATA,COUNTRY,num,5.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,ID,num,5.0,5.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,MID_X,num,6.0,10.0,4.0,Geographic X Midpoint,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,MID_Y,num,6.0,16.0,5.0,Geographic Y Midpoint,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,OUT_X,num,6.0,22.0,6.0,X Location for Outside Labeling,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,OUT_Y,num,6.0,28.0,7.0,Y Location for Outside Labeling,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTI2,DATA,IDNAME,char,35.0,63.0,8.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,ARGENTI2,DATA,POSITION,char,1.0,98.0,9.0,Positioning of Outside Label,,,,0.0,char,no,0.0,,yes
MAPS,ARGENTIN,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTIN,DATA,SEGMENT,num,5.0,5.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTIN,DATA,X,num,6.0,10.0,3.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTIN,DATA,Y,num,6.0,16.0,4.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTIN,DATA,LONG,num,6.0,22.0,5.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,ARGENTIN,DATA,LAT,num,6.0,28.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,ID,num,4.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,SEGMENT,num,4.0,4.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,LAKE,num,4.0,8.0,3.0,Lake Flag: 1-water; 2-cities,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,X,num,5.0,12.0,4.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,Y,num,5.0,17.0,5.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,LAT,num,5.0,22.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA,DATA,LONG,num,5.0,27.0,7.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA2,DATA,_MAP_GEOMETRY_,char,27.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,ARMENIA2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA2,DATA,ID,num,4.0,4.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ARMENIA2,DATA,IDNAME,char,35.0,35.0,4.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,ASIA,DATA,CONT,num,5.0,32.0,1.0,Numeric Rep. for Continent,,,,1.0,num,no,0.0,,yes
MAPS,ASIA,DATA,ID,num,5.0,37.0,2.0,GLC: Country ID Number,,,,2.0,num,no,0.0,,yes
MAPS,ASIA,DATA,SEGMENT,num,5.0,42.0,3.0,Country Segment Number,,,,3.0,num,no,0.0,,yes
MAPS,ASIA,DATA,DENSITY,num,5.0,47.0,4.0,Levels for Reducing,,,,0.0,num,no,0.0,,yes
MAPS,ASIA,DATA,X,num,8.0,0.0,5.0,Projected Longitude: Albers,,,,0.0,num,no,0.0,,yes
MAPS,ASIA,DATA,Y,num,8.0,8.0,6.0,Projected Latitude: Albers,,,,0.0,num,no,0.0,,yes
MAPS,ASIA,DATA,LAT,num,8.0,16.0,7.0,Unprojected Latitude in Radians,,,,0.0,num,no,0.0,,yes
MAPS,ASIA,DATA,LONG,num,8.0,24.0,8.0,Unprojected Longitude in Radians,,,,0.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,CONT,num,5.0,0.0,1.0,Numeric Rep. for Continent,,,,0.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,ID,num,5.0,5.0,2.0,GLC: Country ID Number,,,,1.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,ISO,num,5.0,10.0,3.0,ISO Country Number: 900+ Undefined,Z3.,,,0.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,IDNAME,char,45.0,30.0,4.0,GLC Country IDName,,,,0.0,char,no,0.0,,yes
MAPS,ASIA2,DATA,ISONAME,char,45.0,75.0,5.0,ISO Name for Country,,,,0.0,char,no,0.0,,yes
MAPS,ASIA2,DATA,START,num,5.0,15.0,6.0,First Point in ASIA Dataset,,,,0.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,END,num,5.0,20.0,7.0,Last point in ASIA Dataset,,,,0.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,POINTS,num,5.0,25.0,8.0,Number of Points in ASIA Dataset,,,,0.0,num,no,0.0,,yes
MAPS,ASIA2,DATA,CONT95_GEO,char,37.0,120.0,9.0,CONT95-Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,ASIA2,DATA,NAME,char,45.0,157.0,10.0,GLC Country Name,,,,0.0,char,no,0.0,,yes
MAPS,AUSTRAL,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL,DATA,SEGMENT,num,5.0,5.0,2.0,Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL,DATA,X,num,6.0,10.0,3.0,Projected Longitude-Radians,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL,DATA,Y,num,6.0,16.0,4.0,Projected Latitude-Radians,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL,DATA,LAT,num,6.0,22.0,5.0,Unprojected Latitude-Radians,16.11,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL,DATA,LONG,num,6.0,28.0,6.0,Unprojected Longitude-Radians,16.11,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL,DATA,LAKE,num,5.0,34.0,7.0,Lake Flag: 1-water: 2-citytype,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL2,DATA,_MAP_GEOMETRY_,char,27.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,AUSTRAL2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL2,DATA,ID,num,4.0,4.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRAL2,DATA,IDNAME,char,45.0,35.0,4.0,Name of Province,,,,0.0,char,no,0.0,,yes
MAPS,AUSTRAL2,DATA,PROVINCE,char,2.0,80.0,5.0,Province Number,,,,0.0,char,no,0.0,,yes
MAPS,AUSTRIA,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA,DATA,SEGMENT,num,5.0,5.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA,DATA,LAKE,num,5.0,10.0,3.0,Lake Flag,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA,DATA,X,num,6.0,15.0,4.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA,DATA,Y,num,6.0,21.0,5.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA,DATA,LONG,num,6.0,27.0,6.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA,DATA,LAT,num,6.0,33.0,7.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA2,DATA,_MAP_GEOMETRY_,char,27.0,10.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,AUSTRIA2,DATA,COUNTRY,num,5.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA2,DATA,ID,num,5.0,5.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AUSTRIA2,DATA,IDNAME,char,30.0,37.0,4.0,Name of Province,,,,0.0,char,no,0.0,,yes
MAPS,AZERBAI2,DATA,_MAP_GEOMETRY_,char,28.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,AZERBAI2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAI2,DATA,ID,num,4.0,4.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAI2,DATA,IDNAME,char,35.0,36.0,4.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,AZERBAI2,DATA,AR_AOK,char,45.0,71.0,5.0,Name of Autonomous Region/District,,,,0.0,char,no,0.0,,yes
MAPS,AZERBAI2,DATA,REP,char,20.0,116.0,6.0,Name of Republic,,,,0.0,char,no,0.0,,yes
MAPS,AZERBAIJ,DATA,ID,num,4.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAIJ,DATA,SEGMENT,num,4.0,4.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAIJ,DATA,LAKE,num,4.0,8.0,3.0,Lake Flag: 1-water; 2-cities,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAIJ,DATA,X,num,5.0,12.0,4.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAIJ,DATA,Y,num,5.0,17.0,5.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAIJ,DATA,LAT,num,5.0,22.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,AZERBAIJ,DATA,LONG,num,5.0,27.0,7.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,BANGLAD2,DATA,_MAP_GEOMETRY_,char,28.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,BANGLAD2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,BANGLAD2,DATA,IDNAME,char,35.0,36.0,3.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,BANGLAD2,DATA,ID,num,4.0,4.0,4.0,ID Number,,,,0.0,num,no,0.0,,yes
MAPS,BANGLADE,DATA,SEGMENT,num,7.0,32.0,1.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,BANGLADE,DATA,X,num,8.0,0.0,2.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,BANGLADE,DATA,Y,num,8.0,8.0,3.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,BANGLADE,DATA,ID,num,7.0,39.0,4.0,ID Number,,,,0.0,num,no,0.0,,yes
MAPS,BANGLADE,DATA,LONG,num,8.0,16.0,5.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,BANGLADE,DATA,LAT,num,8.0,24.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS,DATA,SEGMENT,num,5.0,5.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS,DATA,X,num,6.0,10.0,3.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS,DATA,Y,num,6.0,16.0,4.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS,DATA,LAT,num,6.0,22.0,5.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS,DATA,LONG,num,6.0,28.0,6.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS2,DATA,_MAP_GEOMETRY_,char,27.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,BELARUS2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS2,DATA,ID,num,4.0,4.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,BELARUS2,DATA,IDNAME,char,35.0,35.0,4.0,Name of Oblast,,,,0.0,char,no,0.0,,yes
MAPS,BELGIUM,DATA,ID,num,5.0,32.0,1.0,ID number,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM,DATA,LAKE,num,5.0,37.0,2.0,Lake Flag: 1-water; 2-city,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM,DATA,SEGMENT,num,5.0,42.0,3.0,Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM,DATA,LAT,num,8.0,0.0,4.0,Unprojected Latitude-Radians,16.11,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM,DATA,LONG,num,8.0,8.0,5.0,Unprojected Longitude-Radians,16.11,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM,DATA,X,num,8.0,16.0,6.0,Projected Longitude-Radians,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM,DATA,Y,num,8.0,24.0,7.0,Projected Latitude-Radians,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM2,DATA,_MAP_GEOMETRY_,char,28.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,BELGIUM2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM2,DATA,REGION,char,20.0,36.0,3.0,Name of Region,,,,0.0,char,no,0.0,,yes
MAPS,BELGIUM2,DATA,ID,num,4.0,4.0,4.0,ID number,,,,0.0,num,no,0.0,,yes
MAPS,BELGIUM2,DATA,IDNAME,char,45.0,56.0,5.0,Name of Province,,,,0.0,char,no,0.0,,yes
MAPS,BELIZE,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE,DATA,SEGMENT,num,5.0,5.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE,DATA,LAKE,num,5.0,10.0,3.0,Lake Flag,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE,DATA,X,num,6.0,15.0,4.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE,DATA,Y,num,6.0,21.0,5.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE,DATA,LONG,num,6.0,27.0,6.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE,DATA,LAT,num,6.0,33.0,7.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,_MAP_GEOMETRY_,char,26.0,28.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,BELIZE2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,ID,num,4.0,4.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,MID_X,num,5.0,8.0,4.0,Geographic X Midpoint,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,MID_Y,num,5.0,13.0,5.0,Geographic Y Midpoint,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,OUT_X,num,5.0,18.0,6.0,X Location for Outside Labeling,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,OUT_Y,num,5.0,23.0,7.0,Y Location for Outside Labeling,,,,0.0,num,no,0.0,,yes
MAPS,BELIZE2,DATA,IDNAME,char,35.0,54.0,8.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,BELIZE2,DATA,POSITION,char,1.0,89.0,9.0,Positioning of Outside Label,,,,0.0,char,no,0.0,,yes
MAPS,BHUTAN,DATA,SEGMENT,num,7.0,32.0,1.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,BHUTAN,DATA,X,num,8.0,0.0,2.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,BHUTAN,DATA,Y,num,8.0,8.0,3.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,BHUTAN,DATA,ID,num,7.0,39.0,4.0,ID Number,,,,0.0,num,no,0.0,,yes
MAPS,BHUTAN,DATA,LONG,num,8.0,16.0,5.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,BHUTAN,DATA,LAT,num,8.0,24.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
