BulbTemp,Humidity,AirTemp,ColorVar
11.0,15.0,40.0,CX4800B7
12.0,7.0,40.0,CX4800B7
1.0,93.0,45.0,CX5100AE
2.0,86.0,45.0,CX5100AE
3.0,78.0,45.0,CX5100AE
4.0,71.0,45.0,CX5100AE
5.0,64.0,45.0,CX5100AE
6.0,57.0,45.0,CX5100AE
7.0,51.0,45.0,CX5100AE
8.0,44.0,45.0,CX5100AE
9.0,38.0,45.0,CX5100AE
10.0,31.0,45.0,CX5100AE
11.0,25.0,45.0,CX5100AE
12.0,18.0,45.0,CX5100AE
13.0,12.0,45.0,CX5100AE
14.0,6.0,45.0,CX5100AE
1.0,93.0,50.0,CX5A00A5
2.0,87.0,50.0,CX5A00A5
3.0,74.0,50.0,CX5A00A5
4.0,67.0,50.0,CX5A00A5
5.0,61.0,50.0,CX5A00A5
6.0,55.0,50.0,CX5A00A5
7.0,49.0,50.0,CX5A00A5
8.0,43.0,50.0,CX5A00A5
9.0,38.0,50.0,CX5A00A5
10.0,32.0,50.0,CX5A00A5
11.0,27.0,50.0,CX5A00A5
12.0,21.0,50.0,CX5A00A5
13.0,16.0,50.0,CX5A00A5
14.0,10.0,50.0,CX5A00A5
15.0,5.0,50.0,CX5A00A5
1.0,94.0,55.0,CX63009C
2.0,88.0,55.0,CX63009C
3.0,82.0,55.0,CX63009C
4.0,76.0,55.0,CX63009C
5.0,70.0,55.0,CX63009C
6.0,65.0,55.0,CX63009C
7.0,59.0,55.0,CX63009C
8.0,54.0,55.0,CX63009C
9.0,49.0,55.0,CX63009C
10.0,43.0,55.0,CX63009C
11.0,38.0,55.0,CX63009C
12.0,33.0,55.0,CX63009C
13.0,28.0,55.0,CX63009C
14.0,23.0,55.0,CX63009C
15.0,19.0,55.0,CX63009C
16.0,11.0,55.0,CX63009C
17.0,9.0,55.0,CX63009C
18.0,5.0,55.0,CX63009C
1.0,94.0,60.0,CX6C0093
2.0,89.0,60.0,CX6C0093
3.0,83.0,60.0,CX6C0093
4.0,78.0,60.0,CX6C0093
5.0,73.0,60.0,CX6C0093
6.0,68.0,60.0,CX6C0093
7.0,63.0,60.0,CX6C0093
8.0,58.0,60.0,CX6C0093
9.0,53.0,60.0,CX6C0093
10.0,48.0,60.0,CX6C0093
11.0,43.0,60.0,CX6C0093
12.0,39.0,60.0,CX6C0093
13.0,34.0,60.0,CX6C0093
14.0,30.0,60.0,CX6C0093
15.0,26.0,60.0,CX6C0093
16.0,21.0,60.0,CX6C0093
17.0,17.0,60.0,CX6C0093
18.0,13.0,60.0,CX6C0093
19.0,9.0,60.0,CX6C0093
20.0,5.0,60.0,CX6C0093
21.0,1.0,60.0,CX6C0093
1.0,95.0,65.0,CX75008A
2.0,90.0,65.0,CX75008A
3.0,85.0,65.0,CX75008A
4.0,80.0,65.0,CX75008A
5.0,75.0,65.0,CX75008A
6.0,70.0,65.0,CX75008A
7.0,66.0,65.0,CX75008A
8.0,61.0,65.0,CX75008A
9.0,56.0,65.0,CX75008A
10.0,52.0,65.0,CX75008A
11.0,48.0,65.0,CX75008A
12.0,44.0,65.0,CX75008A
13.0,39.0,65.0,CX75008A
14.0,35.0,65.0,CX75008A
15.0,31.0,65.0,CX75008A
16.0,27.0,65.0,CX75008A
17.0,24.0,65.0,CX75008A
18.0,20.0,65.0,CX75008A
19.0,16.0,65.0,CX75008A
20.0,12.0,65.0,CX75008A
21.0,9.0,65.0,CX75008A
22.0,5.0,65.0,CX75008A
23.0,2.0,65.0,CX75008A
1.0,95.0,70.0,CX7E0081
2.0,90.0,70.0,CX7E0081
3.0,86.0,70.0,CX7E0081
4.0,81.0,70.0,CX7E0081
5.0,77.0,70.0,CX7E0081
6.0,72.0,70.0,CX7E0081
7.0,68.0,70.0,CX7E0081
8.0,64.0,70.0,CX7E0081
9.0,59.0,70.0,CX7E0081
10.0,55.0,70.0,CX7E0081
11.0,51.0,70.0,CX7E0081
12.0,48.0,70.0,CX7E0081
13.0,44.0,70.0,CX7E0081
14.0,40.0,70.0,CX7E0081
15.0,36.0,70.0,CX7E0081
16.0,33.0,70.0,CX7E0081
17.0,29.0,70.0,CX7E0081
18.0,25.0,70.0,CX7E0081
19.0,22.0,70.0,CX7E0081
20.0,19.0,70.0,CX7E0081
21.0,15.0,70.0,CX7E0081
22.0,12.0,70.0,CX7E0081
23.0,9.0,70.0,CX7E0081
24.0,6.0,70.0,CX7E0081
25.0,3.0,70.0,CX7E0081
1.0,96.0,75.0,CX870078
2.0,91.0,75.0,CX870078
3.0,86.0,75.0,CX870078
4.0,82.0,75.0,CX870078
5.0,78.0,75.0,CX870078
6.0,74.0,75.0,CX870078
7.0,70.0,75.0,CX870078
8.0,66.0,75.0,CX870078
9.0,62.0,75.0,CX870078
10.0,58.0,75.0,CX870078
11.0,54.0,75.0,CX870078
12.0,51.0,75.0,CX870078
13.0,47.0,75.0,CX870078
14.0,44.0,75.0,CX870078
15.0,40.0,75.0,CX870078
16.0,37.0,75.0,CX870078
17.0,34.0,75.0,CX870078
18.0,30.0,75.0,CX870078
19.0,27.0,75.0,CX870078
20.0,24.0,75.0,CX870078
21.0,21.0,75.0,CX870078
22.0,18.0,75.0,CX870078
23.0,15.0,75.0,CX870078
24.0,12.0,75.0,CX870078
25.0,9.0,75.0,CX870078
26.0,7.0,75.0,CX870078
27.0,4.0,75.0,CX870078
28.0,1.0,75.0,CX870078
1.0,96.0,80.0,CX90006F
2.0,91.0,80.0,CX90006F
3.0,87.0,80.0,CX90006F
4.0,83.0,80.0,CX90006F
5.0,79.0,80.0,CX90006F
6.0,75.0,80.0,CX90006F
7.0,72.0,80.0,CX90006F
8.0,68.0,80.0,CX90006F
9.0,64.0,80.0,CX90006F
10.0,61.0,80.0,CX90006F
11.0,57.0,80.0,CX90006F
12.0,54.0,80.0,CX90006F
13.0,50.0,80.0,CX90006F
14.0,47.0,80.0,CX90006F
15.0,44.0,80.0,CX90006F
16.0,41.0,80.0,CX90006F
17.0,38.0,80.0,CX90006F
18.0,35.0,80.0,CX90006F
19.0,32.0,80.0,CX90006F
20.0,29.0,80.0,CX90006F
21.0,26.0,80.0,CX90006F
22.0,23.0,80.0,CX90006F
23.0,20.0,80.0,CX90006F
24.0,18.0,80.0,CX90006F
25.0,15.0,80.0,CX90006F
26.0,12.0,80.0,CX90006F
27.0,10.0,80.0,CX90006F
28.0,7.0,80.0,CX90006F
29.0,5.0,80.0,CX90006F
30.0,3.0,80.0,CX90006F
1.0,96.0,85.0,CX990066
2.0,92.0,85.0,CX990066
3.0,88.0,85.0,CX990066
4.0,84.0,85.0,CX990066
5.0,81.0,85.0,CX990066
6.0,77.0,85.0,CX990066
7.0,73.0,85.0,CX990066
8.0,70.0,85.0,CX990066
9.0,66.0,85.0,CX990066
10.0,63.0,85.0,CX990066
11.0,59.0,85.0,CX990066
12.0,57.0,85.0,CX990066
13.0,53.0,85.0,CX990066
14.0,50.0,85.0,CX990066
15.0,47.0,85.0,CX990066
16.0,44.0,85.0,CX990066
17.0,41.0,85.0,CX990066
18.0,38.0,85.0,CX990066
19.0,36.0,85.0,CX990066
20.0,33.0,85.0,CX990066
21.0,30.0,85.0,CX990066
22.0,27.0,85.0,CX990066
23.0,25.0,85.0,CX990066
24.0,22.0,85.0,CX990066
25.0,20.0,85.0,CX990066
26.0,17.0,85.0,CX990066
27.0,15.0,85.0,CX990066
28.0,13.0,85.0,CX990066
29.0,10.0,85.0,CX990066
30.0,8.0,85.0,CX990066
31.0,6.0,85.0,CX990066
32.0,4.0,85.0,CX990066
33.0,2.0,85.0,CX990066
1.0,96.0,90.0,CXA2005D
2.0,92.0,90.0,CXA2005D
3.0,89.0,90.0,CXA2005D
4.0,85.0,90.0,CXA2005D
5.0,81.0,90.0,CXA2005D
6.0,78.0,90.0,CXA2005D
7.0,74.0,90.0,CXA2005D
8.0,71.0,90.0,CXA2005D
9.0,68.0,90.0,CXA2005D
10.0,65.0,90.0,CXA2005D
11.0,61.0,90.0,CXA2005D
12.0,58.0,90.0,CXA2005D
13.0,55.0,90.0,CXA2005D
14.0,52.0,90.0,CXA2005D
15.0,49.0,90.0,CXA2005D
16.0,47.0,90.0,CXA2005D
17.0,44.0,90.0,CXA2005D
18.0,41.0,90.0,CXA2005D
19.0,39.0,90.0,CXA2005D
20.0,36.0,90.0,CXA2005D
21.0,34.0,90.0,CXA2005D
22.0,31.0,90.0,CXA2005D
23.0,29.0,90.0,CXA2005D
24.0,26.0,90.0,CXA2005D
25.0,24.0,90.0,CXA2005D
26.0,22.0,90.0,CXA2005D
27.0,19.0,90.0,CXA2005D
28.0,17.0,90.0,CXA2005D
29.0,15.0,90.0,CXA2005D
30.0,13.0,90.0,CXA2005D
31.0,11.0,90.0,CXA2005D
32.0,9.0,90.0,CXA2005D
33.0,7.0,90.0,CXA2005D
34.0,5.0,90.0,CXA2005D
35.0,3.0,90.0,CXA2005D
1.0,96.0,95.0,CXAB0054
2.0,93.0,95.0,CXAB0054
3.0,89.0,95.0,CXAB0054
4.0,86.0,95.0,CXAB0054
5.0,82.0,95.0,CXAB0054
6.0,79.0,95.0,CXAB0054
7.0,76.0,95.0,CXAB0054
8.0,73.0,95.0,CXAB0054
9.0,69.0,95.0,CXAB0054
10.0,66.0,95.0,CXAB0054
11.0,63.0,95.0,CXAB0054
12.0,61.0,95.0,CXAB0054
13.0,58.0,95.0,CXAB0054
14.0,55.0,95.0,CXAB0054
15.0,52.0,95.0,CXAB0054
16.0,50.0,95.0,CXAB0054
17.0,47.0,95.0,CXAB0054
18.0,44.0,95.0,CXAB0054
19.0,42.0,95.0,CXAB0054
20.0,39.0,95.0,CXAB0054
21.0,37.0,95.0,CXAB0054
22.0,34.0,95.0,CXAB0054
23.0,32.0,95.0,CXAB0054
24.0,30.0,95.0,CXAB0054
25.0,28.0,95.0,CXAB0054
26.0,25.0,95.0,CXAB0054
27.0,23.0,95.0,CXAB0054
28.0,21.0,95.0,CXAB0054
29.0,19.0,95.0,CXAB0054
30.0,17.0,95.0,CXAB0054
31.0,15.0,95.0,CXAB0054
32.0,13.0,95.0,CXAB0054
33.0,11.0,95.0,CXAB0054
34.0,10.0,95.0,CXAB0054
35.0,8.0,95.0,CXAB0054
1.0,96.0,100.0,CXB4004B
2.0,93.0,100.0,CXB4004B
3.0,89.0,100.0,CXB4004B
4.0,86.0,100.0,CXB4004B
5.0,83.0,100.0,CXB4004B
6.0,80.0,100.0,CXB4004B
7.0,77.0,100.0,CXB4004B
8.0,73.0,100.0,CXB4004B
9.0,70.0,100.0,CXB4004B
10.0,68.0,100.0,CXB4004B
11.0,65.0,100.0,CXB4004B
12.0,62.0,100.0,CXB4004B
13.0,59.0,100.0,CXB4004B
14.0,56.0,100.0,CXB4004B
15.0,54.0,100.0,CXB4004B
16.0,51.0,100.0,CXB4004B
17.0,49.0,100.0,CXB4004B
18.0,46.0,100.0,CXB4004B
19.0,44.0,100.0,CXB4004B
20.0,41.0,100.0,CXB4004B
21.0,39.0,100.0,CXB4004B
22.0,37.0,100.0,CXB4004B
23.0,35.0,100.0,CXB4004B
24.0,33.0,100.0,CXB4004B
25.0,30.0,100.0,CXB4004B
26.0,28.0,100.0,CXB4004B
27.0,26.0,100.0,CXB4004B
28.0,24.0,100.0,CXB4004B
29.0,22.0,100.0,CXB4004B
30.0,21.0,100.0,CXB4004B
31.0,19.0,100.0,CXB4004B
32.0,17.0,100.0,CXB4004B
33.0,15.0,100.0,CXB4004B
34.0,13.0,100.0,CXB4004B
35.0,12.0,100.0,CXB4004B
1.0,97.0,105.0,CXBD0042
2.0,93.0,105.0,CXBD0042
3.0,90.0,105.0,CXBD0042
4.0,87.0,105.0,CXBD0042
5.0,84.0,105.0,CXBD0042
6.0,81.0,105.0,CXBD0042
7.0,78.0,105.0,CXBD0042
8.0,75.0,105.0,CXBD0042
9.0,72.0,105.0,CXBD0042
10.0,69.0,105.0,CXBD0042
11.0,66.0,105.0,CXBD0042
12.0,64.0,105.0,CXBD0042
13.0,61.0,105.0,CXBD0042
14.0,58.0,105.0,CXBD0042
15.0,56.0,105.0,CXBD0042
16.0,55.0,105.0,CXBD0042
17.0,51.0,105.0,CXBD0042
18.0,49.0,105.0,CXBD0042
19.0,46.0,105.0,CXBD0042
20.0,44.0,105.0,CXBD0042
21.0,42.0,105.0,CXBD0042
22.0,40.0,105.0,CXBD0042
23.0,38.0,105.0,CXBD0042
24.0,36.0,105.0,CXBD0042
25.0,34.0,105.0,CXBD0042
26.0,32.0,105.0,CXBD0042
27.0,30.0,105.0,CXBD0042
28.0,28.0,105.0,CXBD0042
29.0,26.0,105.0,CXBD0042
30.0,24.0,105.0,CXBD0042
31.0,22.0,105.0,CXBD0042
32.0,21.0,105.0,CXBD0042
33.0,19.0,105.0,CXBD0042
34.0,17.0,105.0,CXBD0042
35.0,15.0,105.0,CXBD0042
1.0,97.0,110.0,CXC60039
2.0,93.0,110.0,CXC60039
3.0,90.0,110.0,CXC60039
4.0,87.0,110.0,CXC60039
5.0,84.0,110.0,CXC60039
6.0,81.0,110.0,CXC60039
7.0,78.0,110.0,CXC60039
8.0,75.0,110.0,CXC60039
9.0,73.0,110.0,CXC60039
10.0,70.0,110.0,CXC60039
11.0,67.0,110.0,CXC60039
12.0,65.0,110.0,CXC60039
13.0,62.0,110.0,CXC60039
14.0,60.0,110.0,CXC60039
15.0,57.0,110.0,CXC60039
16.0,55.0,110.0,CXC60039
17.0,52.0,110.0,CXC60039
18.0,50.0,110.0,CXC60039
19.0,48.0,110.0,CXC60039
20.0,46.0,110.0,CXC60039
21.0,44.0,110.0,CXC60039
22.0,42.0,110.0,CXC60039
23.0,40.0,110.0,CXC60039
24.0,38.0,110.0,CXC60039
25.0,36.0,110.0,CXC60039
26.0,34.0,110.0,CXC60039
27.0,32.0,110.0,CXC60039
28.0,30.0,110.0,CXC60039
29.0,28.0,110.0,CXC60039
30.0,26.0,110.0,CXC60039
31.0,25.0,110.0,CXC60039
32.0,23.0,110.0,CXC60039
33.0,21.0,110.0,CXC60039
34.0,20.0,110.0,CXC60039
35.0,18.0,110.0,CXC60039
1.0,97.0,115.0,CXCF0030
2.0,94.0,115.0,CXCF0030
3.0,91.0,115.0,CXCF0030
4.0,88.0,115.0,CXCF0030
5.0,85.0,115.0,CXCF0030
6.0,82.0,115.0,CXCF0030
7.0,79.0,115.0,CXCF0030
8.0,76.0,115.0,CXCF0030
9.0,74.0,115.0,CXCF0030
10.0,71.0,115.0,CXCF0030
11.0,69.0,115.0,CXCF0030
12.0,66.0,115.0,CXCF0030
13.0,64.0,115.0,CXCF0030
14.0,61.0,115.0,CXCF0030
15.0,59.0,115.0,CXCF0030
16.0,57.0,115.0,CXCF0030
17.0,54.0,115.0,CXCF0030
18.0,52.0,115.0,CXCF0030
19.0,50.0,115.0,CXCF0030
20.0,48.0,115.0,CXCF0030
21.0,46.0,115.0,CXCF0030
22.0,44.0,115.0,CXCF0030
23.0,42.0,115.0,CXCF0030
24.0,40.0,115.0,CXCF0030
25.0,38.0,115.0,CXCF0030
26.0,36.0,115.0,CXCF0030
27.0,34.0,115.0,CXCF0030
28.0,33.0,115.0,CXCF0030
29.0,31.0,115.0,CXCF0030
30.0,29.0,115.0,CXCF0030
31.0,28.0,115.0,CXCF0030
32.0,26.0,115.0,CXCF0030
33.0,25.0,115.0,CXCF0030
34.0,23.0,115.0,CXCF0030
35.0,21.0,115.0,CXCF0030
1.0,97.0,120.0,CXD80027
2.0,94.0,120.0,CXD80027
3.0,91.0,120.0,CXD80027
4.0,88.0,120.0,CXD80027
5.0,85.0,120.0,CXD80027
6.0,82.0,120.0,CXD80027
7.0,80.0,120.0,CXD80027
8.0,77.0,120.0,CXD80027
9.0,74.0,120.0,CXD80027
10.0,72.0,120.0,CXD80027
11.0,69.0,120.0,CXD80027
12.0,67.0,120.0,CXD80027
13.0,65.0,120.0,CXD80027
14.0,62.0,120.0,CXD80027
15.0,60.0,120.0,CXD80027
16.0,58.0,120.0,CXD80027
17.0,55.0,120.0,CXD80027
18.0,53.0,120.0,CXD80027
19.0,51.0,120.0,CXD80027
20.0,49.0,120.0,CXD80027
21.0,47.0,120.0,CXD80027
22.0,45.0,120.0,CXD80027
23.0,43.0,120.0,CXD80027
24.0,41.0,120.0,CXD80027
25.0,40.0,120.0,CXD80027
26.0,38.0,120.0,CXD80027
27.0,36.0,120.0,CXD80027
28.0,34.0,120.0,CXD80027
29.0,33.0,120.0,CXD80027
30.0,31.0,120.0,CXD80027
31.0,29.0,120.0,CXD80027
32.0,28.0,120.0,CXD80027
33.0,26.0,120.0,CXD80027
34.0,25.0,120.0,CXD80027
35.0,23.0,120.0,CXD80027
1.0,97.0,125.0,CXE1001E
2.0,94.0,125.0,CXE1001E
3.0,91.0,125.0,CXE1001E
4.0,88.0,125.0,CXE1001E
5.0,86.0,125.0,CXE1001E
6.0,83.0,125.0,CXE1001E
7.0,80.0,125.0,CXE1001E
8.0,78.0,125.0,CXE1001E
9.0,75.0,125.0,CXE1001E
10.0,73.0,125.0,CXE1001E
11.0,70.0,125.0,CXE1001E
12.0,68.0,125.0,CXE1001E
13.0,66.0,125.0,CXE1001E
14.0,64.0,125.0,CXE1001E
15.0,61.0,125.0,CXE1001E
16.0,59.0,125.0,CXE1001E
17.0,57.0,125.0,CXE1001E
18.0,55.0,125.0,CXE1001E
19.0,53.0,125.0,CXE1001E
20.0,51.0,125.0,CXE1001E
21.0,49.0,125.0,CXE1001E
22.0,47.0,125.0,CXE1001E
23.0,45.0,125.0,CXE1001E
24.0,44.0,125.0,CXE1001E
25.0,42.0,125.0,CXE1001E
26.0,40.0,125.0,CXE1001E
27.0,38.0,125.0,CXE1001E
28.0,37.0,125.0,CXE1001E
29.0,35.0,125.0,CXE1001E
30.0,33.0,125.0,CXE1001E
31.0,32.0,125.0,CXE1001E
32.0,30.0,125.0,CXE1001E
33.0,29.0,125.0,CXE1001E
34.0,27.0,125.0,CXE1001E
35.0,26.0,125.0,CXE1001E
1.0,97.0,130.0,CXFF0000
2.0,94.0,130.0,CXFF0000
3.0,91.0,130.0,CXFF0000
4.0,89.0,130.0,CXFF0000
5.0,86.0,130.0,CXFF0000
6.0,83.0,130.0,CXFF0000
7.0,81.0,130.0,CXFF0000
8.0,78.0,130.0,CXFF0000
9.0,76.0,130.0,CXFF0000
10.0,73.0,130.0,CXFF0000
11.0,71.0,130.0,CXFF0000
12.0,69.0,130.0,CXFF0000
13.0,67.0,130.0,CXFF0000
14.0,64.0,130.0,CXFF0000
15.0,62.0,130.0,CXFF0000
16.0,60.0,130.0,CXFF0000
17.0,58.0,130.0,CXFF0000
18.0,56.0,130.0,CXFF0000
19.0,54.0,130.0,CXFF0000
20.0,52.0,130.0,CXFF0000
21.0,50.0,130.0,CXFF0000
22.0,48.0,130.0,CXFF0000
23.0,47.0,130.0,CXFF0000
24.0,45.0,130.0,CXFF0000
25.0,43.0,130.0,CXFF0000
26.0,41.0,130.0,CXFF0000
27.0,40.0,130.0,CXFF0000
28.0,38.0,130.0,CXFF0000
29.0,37.0,130.0,CXFF0000
30.0,35.0,130.0,CXFF0000
31.0,33.0,130.0,CXFF0000
32.0,32.0,130.0,CXFF0000
33.0,30.0,130.0,CXFF0000
34.0,29.0,130.0,CXFF0000
35.0,28.0,130.0,CXFF0000
