Year,Quarter,Product_Line,Product_Category,Product_Group,Quantity,Profit,Total_Retail_Price
1999.0,1999Q2,Sports,Indoor Sports,Gymnastic Clothing,189.0,4850.05,8623.39999999999
1999.0,1999Q2,Sports,Indoor Sports,Top Trim,168.0,18469.15,33200.4
1999.0,1999Q2,Sports,Racket Sports,Badminton,81.0,9269.75,12360.1
1999.0,1999Q2,Sports,Racket Sports,Racket Sports,914.0,71155.2999999998,122259.0
1999.0,1999Q2,Sports,Racket Sports,Tennis,1456.0,36854.14,63756.69
1999.0,1999Q2,Sports,Running - Jogging,Jogging,2230.0,77019.9700000001,135086.269999999
1999.0,1999Q2,Sports,Running - Jogging,Running Clothes,3278.0,77014.33,139473.38
1999.0,1999Q2,Sports,Swim Sports,Bathing Suits,3010.0,60166.3799999999,104046.83
1999.0,1999Q2,Sports,Team Sports,American Football,1054.0,14193.8,25565.66
1999.0,1999Q2,Sports,Team Sports,Baseball,981.0,9366.06999999999,16553.8199999999
1999.0,1999Q2,Sports,Team Sports,Basket Ball,113.0,1385.3,2245.34999999999
1999.0,1999Q2,Sports,Team Sports,Soccer,2866.0,48241.7099999999,94383.5099999999
1999.0,1999Q2,Sports,Winter Sports,Ski Dress,533.0,75872.6999999998,133340.6
1999.0,1999Q2,Sports,Winter Sports,Winter Sports,1022.0,55672.7250000002,98540.8749999997
1999.0,1999Q3,Children,Children Sports,"A-Team, Kids",537.0,8833.92999999999,16410.53
1999.0,1999Q3,Children,Children Sports,"Bathing Suits, Kids",187.0,2977.75,5128.4
1999.0,1999Q3,Children,Children Sports,"Eclipse, Kid's Clothes",1073.0,16820.45,33870.3
1999.0,1999Q3,Children,Children Sports,"Eclipse, Kid's Shoes",630.0,13593.21,27367.86
1999.0,1999Q3,Children,Children Sports,"Lucky Guy, Kids",521.0,12200.65,22136.7999999999
1999.0,1999Q3,Children,Children Sports,"N.D. Gear, Kids",1520.0,40754.79,73453.6399999999
1999.0,1999Q3,Children,Children Sports,"Olssons, Kids",433.0,3883.9,6521.09999999999
1999.0,1999Q3,Children,Children Sports,Orion Kid's Clothes,29.0,496.4,998.6
1999.0,1999Q3,Children,Children Sports,"Osprey, Kids",829.0,12317.19,22507.6399999999
1999.0,1999Q3,Children,Children Sports,Tracker Kid's Clothes,2400.0,42517.75,78770.1999999999
1999.0,1999Q3,Children,Children Sports,"Ypsilon, Kids",220.0,4860.5,8617.89999999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Eclipse Clothing,5879.0,167951.509999999,339165.56
1999.0,1999Q3,Clothes & Shoes,Clothes,Green Tomato,327.0,8952.58,15093.23
1999.0,1999Q3,Clothes & Shoes,Clothes,Knitwear,623.0,30528.0999999999,53392.9999999999
1999.0,1999Q3,Clothes & Shoes,Clothes,LSF,702.0,35957.6999999999,68991.5999999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Leisure,524.0,22507.1099999999,40981.8099999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Massif,51.0,7595.85,14499.0
1999.0,1999Q3,Clothes & Shoes,Clothes,Orion,1462.0,67466.96,129896.559999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Orion Clothing,904.0,23741.5499999999,45558.9
1999.0,1999Q3,Clothes & Shoes,Clothes,Osprey,505.0,17693.85,30080.4999999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Shorts,269.0,4190.91,7716.30999999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Stockings & Socks,513.0,4642.45,7895.09999999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Street Wear,911.0,37914.7,65530.7499999999
1999.0,1999Q3,Clothes & Shoes,Clothes,T-Shirts,679.0,10666.4,19206.4
1999.0,1999Q3,Clothes & Shoes,Clothes,Tracker Clothes,4925.0,128263.949999999,238193.549999999
1999.0,1999Q3,Clothes & Shoes,Clothes,Twain,147.0,19493.075,37925.825
1999.0,1999Q3,Clothes & Shoes,Shoes,Eclipse Shoes,6592.0,326052.819999999,658727.22
1999.0,1999Q3,Clothes & Shoes,Shoes,Shoes,3052.0,158739.95,296365.349999999
1999.0,1999Q3,Clothes & Shoes,Shoes,Tracker Shoes,3556.0,141540.809999999,264627.76
1999.0,1999Q3,Outdoors,Outdoors,Anoraks & Parkas,1112.0,86575.9999999997,154595.099999999
1999.0,1999Q3,Outdoors,Outdoors,Backpacks,1187.0,79752.7299999998,151140.779999999
1999.0,1999Q3,Outdoors,Outdoors,Gloves & Mittens,244.0,5535.25,9519.70000000001
1999.0,1999Q3,Outdoors,Outdoors,Knitted Accessories,145.0,1698.14999999999,2888.3
1999.0,1999Q3,Outdoors,Outdoors,Outdoor Gear,3979.0,170742.57,302470.77
1999.0,1999Q3,Outdoors,Outdoors,Sleepingbags,3436.0,156490.1,308182.700000001
1999.0,1999Q3,Outdoors,Outdoors,Tents,1480.0,261444.699999999,530594.100000001
1999.0,1999Q3,Sports,Assorted Sports Articles,Assorted Sports articles,6766.0,230609.54,420054.69
1999.0,1999Q3,Sports,Assorted Sports Articles,Darts,932.0,16758.1999999999,28542.7000000001
1999.0,1999Q3,Sports,Assorted Sports Articles,Petanque - Boule,914.0,22108.8499999999,39936.2999999999
1999.0,1999Q3,Sports,Assorted Sports Articles,Skates,4236.0,397796.86,834389.059999999
1999.0,1999Q3,Sports,Golf,Golf,3136.0,164126.37,339269.82
1999.0,1999Q3,Sports,Golf,Golf Clothes,1161.0,88682.11,124474.909999999
1999.0,1999Q3,Sports,Indoor Sports,Fitness,491.0,36025.9999999999,72323.9999999999
1999.0,1999Q3,Sports,Indoor Sports,Gymnastic Clothing,273.0,7434.89999999999,13138.3
1999.0,1999Q3,Sports,Indoor Sports,Top Trim,219.0,21973.25,39486.7
1999.0,1999Q3,Sports,Racket Sports,Badminton,117.0,12616.9,17102.5
1999.0,1999Q3,Sports,Racket Sports,Racket Sports,1066.0,87373.7499999998,150270.699999999
1999.0,1999Q3,Sports,Racket Sports,Tennis,907.0,24178.4199999999,41729.4199999999
1999.0,1999Q3,Sports,Running - Jogging,Jogging,1992.0,69841.89,122154.54
1999.0,1999Q3,Sports,Running - Jogging,Running Clothes,3179.0,77546.57,141552.77
1999.0,1999Q3,Sports,Swim Sports,Bathing Suits,2521.0,48689.4900000001,84431.8900000001
1999.0,1999Q3,Sports,Team Sports,American Football,804.0,9825.32000000001,18537.0999999999
1999.0,1999Q3,Sports,Team Sports,Baseball,770.0,6509.76999999999,12215.8199999999
1999.0,1999Q3,Sports,Team Sports,Basket Ball,163.0,1999.66,3240.05999999999
1999.0,1999Q3,Sports,Team Sports,Soccer,1942.0,34462.2799999999,66863.28
1999.0,1999Q3,Sports,Winter Sports,Ski Dress,485.0,70380.0999999998,123494.5
1999.0,1999Q3,Sports,Winter Sports,Winter Sports,1048.0,56310.0,99763.1499999997
1999.0,1999Q4,Children,Children Sports,"A-Team, Kids",473.0,7457.5,13550.2
1999.0,1999Q4,Children,Children Sports,"Bathing Suits, Kids",64.0,1113.45,1918.5
1999.0,1999Q4,Children,Children Sports,"Eclipse, Kid's Clothes",932.0,13973.42,28283.72
1999.0,1999Q4,Children,Children Sports,"Eclipse, Kid's Shoes",585.0,11967.81,24444.0599999999
1999.0,1999Q4,Children,Children Sports,"Lucky Guy, Kids",507.0,11210.7,20490.9999999999
1999.0,1999Q4,Children,Children Sports,"N.D. Gear, Kids",1093.0,28336.6899999999,50627.24
1999.0,1999Q4,Children,Children Sports,"Olssons, Kids",339.0,3121.05,5280.29999999999
1999.0,1999Q4,Children,Children Sports,Orion Kid's Clothes,33.0,467.199999999999,941.0
1999.0,1999Q4,Children,Children Sports,"Osprey, Kids",720.0,11153.9999999999,20187.4999999999
1999.0,1999Q4,Children,Children Sports,Tracker Kid's Clothes,1954.0,35099.49,65046.4399999995
1999.0,1999Q4,Children,Children Sports,"Ypsilon, Kids",242.0,5389.05,9553.00000000001
1999.0,1999Q4,Clothes & Shoes,Clothes,Eclipse Clothing,5042.0,140445.599999999,282644.600000001
1999.0,1999Q4,Clothes & Shoes,Clothes,Green Tomato,272.0,7219.5,12373.5
1999.0,1999Q4,Clothes & Shoes,Clothes,Knitwear,1208.0,61299.5000000001,106789.899999999
1999.0,1999Q4,Clothes & Shoes,Clothes,LSF,615.0,30139.9799999999,58752.78
1999.0,1999Q4,Clothes & Shoes,Clothes,Leisure,475.0,20566.7499999999,37293.1
1999.0,1999Q4,Clothes & Shoes,Clothes,Massif,67.0,10438.6499999999,19924.0
1999.0,1999Q4,Clothes & Shoes,Clothes,Orion,1267.0,59284.6299999999,114143.68
1999.0,1999Q4,Clothes & Shoes,Clothes,Orion Clothing,764.0,21028.8699999999,40399.12
1999.0,1999Q4,Clothes & Shoes,Clothes,Osprey,468.0,15539.52,26640.92
1999.0,1999Q4,Clothes & Shoes,Clothes,Shorts,125.0,1925.1,3432.99999999999
1999.0,1999Q4,Clothes & Shoes,Clothes,Stockings & Socks,438.0,3930.75,6714.59999999999
1999.0,1999Q4,Clothes & Shoes,Clothes,Street Wear,749.0,29241.17,50914.4200000001
1999.0,1999Q4,Clothes & Shoes,Clothes,T-Shirts,307.0,4922.4,8836.70000000001
1999.0,1999Q4,Clothes & Shoes,Clothes,Tracker Clothes,4583.0,122285.019999999,226909.519999999
1999.0,1999Q4,Clothes & Shoes,Clothes,Twain,111.0,14037.15,27163.85
1999.0,1999Q4,Clothes & Shoes,Shoes,Eclipse Shoes,4491.0,220287.11,443837.359999998
1999.0,1999Q4,Clothes & Shoes,Shoes,Shoes,2073.0,106766.489999999,199992.739999999
1999.0,1999Q4,Clothes & Shoes,Shoes,Tracker Shoes,2604.0,108020.289999999,198944.239999999
1999.0,1999Q4,Outdoors,Outdoors,Anoraks & Parkas,2361.0,185557.94,333858.439999998
1999.0,1999Q4,Outdoors,Outdoors,Backpacks,1125.0,77679.1499999998,146663.1
1999.0,1999Q4,Outdoors,Outdoors,Gloves & Mittens,523.0,12634.05,21833.9
1999.0,1999Q4,Outdoors,Outdoors,Knitted Accessories,364.0,4321.57999999999,7437.27999999999
1999.0,1999Q4,Outdoors,Outdoors,Outdoor Gear,2113.0,90356.4999999998,159591.5
1999.0,1999Q4,Outdoors,Outdoors,Sleepingbags,1965.0,89234.8499999999,175719.4
1999.0,1999Q4,Outdoors,Outdoors,Tents,817.0,145481.799999999,293892.600000001
1999.0,1999Q4,Sports,Assorted Sports Articles,Assorted Sports articles,6106.0,208643.455,379600.854999999
1999.0,1999Q4,Sports,Assorted Sports Articles,Darts,1987.0,36701.0499999999,62546.9000000001
1999.0,1999Q4,Sports,Assorted Sports Articles,Petanque - Boule,452.0,10885.4999999999,19629.2
1999.0,1999Q4,Sports,Assorted Sports Articles,Skates,2339.0,220520.25,458122.1
1999.0,1999Q4,Sports,Golf,Golf,2342.0,126166.369999999,258909.47
1999.0,1999Q4,Sports,Golf,Golf Clothes,793.0,64638.56,89872.2099999999
1999.0,1999Q4,Sports,Indoor Sports,Fitness,636.0,67693.0899999999,134976.039999999
1999.0,1999Q4,Sports,Indoor Sports,Gymnastic Clothing,434.0,11068.11,19637.86
1999.0,1999Q4,Sports,Indoor Sports,Top Trim,373.0,40132.5299999999,73103.1799999999
1999.0,1999Q4,Sports,Racket Sports,Badminton,220.0,22095.05,30234.4999999999
1999.0,1999Q4,Sports,Racket Sports,Racket Sports,1038.0,87916.5499999998,149015.699999999
1999.0,1999Q4,Sports,Racket Sports,Tennis,881.0,23484.18,41188.1799999999
1999.0,1999Q4,Sports,Running - Jogging,Jogging,1534.0,51199.3699999999,91117.7699999999
1999.0,1999Q4,Sports,Running - Jogging,Running Clothes,2172.0,51992.5899999999,94407.9400000006
1999.0,1999Q4,Sports,Swim Sports,Bathing Suits,1117.0,22944.5499999999,39209.0999999999
1999.0,1999Q4,Sports,Team Sports,American Football,684.0,8915.87000000001,16188.8999999999
1999.0,1999Q4,Sports,Team Sports,Baseball,534.0,5409.75999999999,9394.05999999999
1999.0,1999Q4,Sports,Team Sports,Basket Ball,196.0,2416.0,3905.84999999999
1999.0,1999Q4,Sports,Team Sports,Soccer,1905.0,35714.8800000001,69232.7800000001
1999.0,1999Q4,Sports,Winter Sports,Ski Dress,1399.0,196434.88,346267.429999998
1999.0,1999Q4,Sports,Winter Sports,Winter Sports,2386.0,123899.43,222812.08
2000.0,2000Q1,Children,Children Sports,"A-Team, Kids",310.0,5627.44999999999,10163.7
2000.0,2000Q1,Children,Children Sports,"Bathing Suits, Kids",90.0,1618.5,2800.1
2000.0,2000Q1,Children,Children Sports,"Eclipse, Kid's Clothes",585.0,9501.15000000001,19079.0999999999
2000.0,2000Q1,Children,Children Sports,"Eclipse, Kid's Shoes",351.0,7508.54999999999,15082.5
2000.0,2000Q1,Children,Children Sports,"Lucky Guy, Kids",289.0,7193.20000000001,13019.9999999999
2000.0,2000Q1,Children,Children Sports,"N.D. Gear, Kids",786.0,21158.4499999999,37889.7
2000.0,2000Q1,Children,Children Sports,"Olssons, Kids",254.0,2362.75,3984.29999999999
2000.0,2000Q1,Children,Children Sports,Orion Kid's Clothes,15.0,278.6,560.2
2000.0,2000Q1,Children,Children Sports,"Osprey, Kids",491.0,7658.49999999998,13878.4999999999
2000.0,2000Q1,Children,Children Sports,Tracker Kid's Clothes,1308.0,23972.55,43936.1999999998
2000.0,2000Q1,Children,Children Sports,"Ypsilon, Kids",158.0,3451.3,6117.49999999999
2000.0,2000Q1,Clothes & Shoes,Clothes,Eclipse Clothing,3503.0,103567.35,207490.2
2000.0,2000Q1,Clothes & Shoes,Clothes,Green Tomato,206.0,5901.15,9835.49999999999
2000.0,2000Q1,Clothes & Shoes,Clothes,Knitwear,1704.0,85894.6499999999,150673.799999999
2000.0,2000Q1,Clothes & Shoes,Clothes,LSF,355.0,18643.1499999999,35897.3
2000.0,2000Q1,Clothes & Shoes,Clothes,Leisure,328.0,15236.0499999999,27562.4999999999
2000.0,2000Q1,Clothes & Shoes,Clothes,Massif,42.0,6465.69999999999,12341.0
2000.0,2000Q1,Clothes & Shoes,Clothes,Orion,836.0,41966.9,79794.1000000001
2000.0,2000Q1,Clothes & Shoes,Clothes,Orion Clothing,529.0,14497.2,27745.6
2000.0,2000Q1,Clothes & Shoes,Clothes,Osprey,321.0,11403.0,19554.7
2000.0,2000Q1,Clothes & Shoes,Clothes,Shorts,175.0,2513.6,4497.39999999999
2000.0,2000Q1,Clothes & Shoes,Clothes,Stockings & Socks,315.0,2876.69999999999,4894.1
2000.0,2000Q1,Clothes & Shoes,Clothes,Street Wear,493.0,19938.9999999999,34400.6
2000.0,2000Q1,Clothes & Shoes,Clothes,T-Shirts,381.0,6253.0,11191.2
2000.0,2000Q1,Clothes & Shoes,Clothes,Tracker Clothes,2999.0,80871.4000000001,148782.699999999
2000.0,2000Q1,Clothes & Shoes,Clothes,Twain,79.0,10923.45,21109.75
2000.0,2000Q1,Clothes & Shoes,Shoes,Eclipse Shoes,4810.0,239996.199999999,483996.2
2000.0,2000Q1,Clothes & Shoes,Shoes,Shoes,2107.0,112862.7,209241.699999999
2000.0,2000Q1,Clothes & Shoes,Shoes,Tracker Shoes,2591.0,107826.099999999,198561.7
2000.0,2000Q1,Outdoors,Outdoors,Anoraks & Parkas,3693.0,286258.109999999,509988.259999996
2000.0,2000Q1,Outdoors,Outdoors,Backpacks,722.0,51118.8999999998,96409.9999999999
2000.0,2000Q1,Outdoors,Outdoors,Gloves & Mittens,305.0,7856.84999999999,13720.5
2000.0,2000Q1,Outdoors,Outdoors,Knitted Accessories,412.0,4907.02,8510.82
2000.0,2000Q1,Outdoors,Outdoors,Outdoor Gear,2385.0,99460.0499999996,175673.3
2000.0,2000Q1,Outdoors,Outdoors,Sleepingbags,1953.0,89304.85,175873.7
2000.0,2000Q1,Outdoors,Outdoors,Tents,863.0,158431.449999999,321752.8
2000.0,2000Q1,Sports,Assorted Sports Articles,Assorted Sports articles,4775.0,167936.25,304040.4
2000.0,2000Q1,Sports,Assorted Sports Articles,Darts,1474.0,27860.0499999999,47481.0000000002
2000.0,2000Q1,Sports,Assorted Sports Articles,Petanque - Boule,441.0,10806.8999999999,19526.7999999999
2000.0,2000Q1,Sports,Assorted Sports Articles,Skates,2361.0,227123.8,469374.5
2000.0,2000Q1,Sports,Golf,Golf,1863.0,99002.8000000003,204362.2
2000.0,2000Q1,Sports,Golf,Golf Clothes,645.0,53465.2,73382.3999999999
2000.0,2000Q1,Sports,Indoor Sports,Fitness,737.0,71593.61,143166.86
2000.0,2000Q1,Sports,Indoor Sports,Gymnastic Clothing,356.0,9369.91,16607.06
2000.0,2000Q1,Sports,Indoor Sports,Top Trim,410.0,45710.71,83495.91
2000.0,2000Q1,Sports,Racket Sports,Badminton,166.0,18776.65,25382.1
2000.0,2000Q1,Sports,Racket Sports,Racket Sports,613.0,48585.4499999999,84220.3999999999
2000.0,2000Q1,Sports,Racket Sports,Tennis,624.0,16812.6999999999,28941.4999999999
2000.0,2000Q1,Sports,Running - Jogging,Jogging,1591.0,55638.6499999998,97240.5999999999
2000.0,2000Q1,Sports,Running - Jogging,Running Clothes,2480.0,61148.9000000001,110376.0
2000.0,2000Q1,Sports,Swim Sports,Bathing Suits,1204.0,24921.5499999999,42520.4
2000.0,2000Q1,Sports,Team Sports,American Football,447.0,6219.33000000002,11011.5
2000.0,2000Q1,Sports,Team Sports,Baseball,426.0,3822.55,6934.29999999999
2000.0,2000Q1,Sports,Team Sports,Basket Ball,220.0,2740.55999999999,4408.65999999999
2000.0,2000Q1,Sports,Team Sports,Soccer,1256.0,23244.1,44608.7999999999
2000.0,2000Q1,Sports,Winter Sports,Ski Dress,1861.0,254706.73,453056.63
2000.0,2000Q1,Sports,Winter Sports,Winter Sports,3462.0,187819.414999999,332491.164999999
2000.0,2000Q2,Children,Children Sports,"A-Team, Kids",537.0,9052.19999999999,16350.6999999999
2000.0,2000Q2,Children,Children Sports,"Bathing Suits, Kids",207.0,3472.2,5998.2
2000.0,2000Q2,Children,Children Sports,"Eclipse, Kid's Clothes",1199.0,19415.0299999999,39004.03
