ACTUAL,PREDICT,COUNTRY,REGION,DIVISION,PRODTYPE,PRODUCT,QUARTER,YEAR,MONTH
877.0,795.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,1.0,1994.0,1994-01-01
845.0,379.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,1.0,1994.0,1994-02-01
425.0,114.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,1.0,1994.0,1994-03-01
899.0,475.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,2.0,1994.0,1994-04-01
987.0,747.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,2.0,1994.0,1994-05-01
641.0,372.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,2.0,1994.0,1994-06-01
448.0,415.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,3.0,1994.0,1994-07-01
341.0,955.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,3.0,1994.0,1994-08-01
137.0,356.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,3.0,1994.0,1994-09-01
235.0,316.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,4.0,1994.0,1994-10-01
482.0,351.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,4.0,1994.0,1994-11-01
678.0,164.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,4.0,1994.0,1994-12-01
240.0,386.0,CANADA,EAST,EDUCATION,OFFICE,DESK,1.0,1993.0,1993-01-01
605.0,113.0,CANADA,EAST,EDUCATION,OFFICE,DESK,1.0,1993.0,1993-02-01
274.0,68.0,CANADA,EAST,EDUCATION,OFFICE,DESK,1.0,1993.0,1993-03-01
422.0,885.0,CANADA,EAST,EDUCATION,OFFICE,DESK,2.0,1993.0,1993-04-01
763.0,575.0,CANADA,EAST,EDUCATION,OFFICE,DESK,2.0,1993.0,1993-05-01
561.0,743.0,CANADA,EAST,EDUCATION,OFFICE,DESK,2.0,1993.0,1993-06-01
339.0,816.0,CANADA,EAST,EDUCATION,OFFICE,DESK,3.0,1993.0,1993-07-01
877.0,203.0,CANADA,EAST,EDUCATION,OFFICE,DESK,3.0,1993.0,1993-08-01
192.0,581.0,CANADA,EAST,EDUCATION,OFFICE,DESK,3.0,1993.0,1993-09-01
604.0,815.0,CANADA,EAST,EDUCATION,OFFICE,DESK,4.0,1993.0,1993-10-01
55.0,333.0,CANADA,EAST,EDUCATION,OFFICE,DESK,4.0,1993.0,1993-11-01
87.0,40.0,CANADA,EAST,EDUCATION,OFFICE,DESK,4.0,1993.0,1993-12-01
942.0,672.0,CANADA,EAST,EDUCATION,OFFICE,DESK,1.0,1994.0,1994-01-01
912.0,23.0,CANADA,EAST,EDUCATION,OFFICE,DESK,1.0,1994.0,1994-02-01
768.0,948.0,CANADA,EAST,EDUCATION,OFFICE,DESK,1.0,1994.0,1994-03-01
951.0,291.0,CANADA,EAST,EDUCATION,OFFICE,DESK,2.0,1994.0,1994-04-01
768.0,839.0,CANADA,EAST,EDUCATION,OFFICE,DESK,2.0,1994.0,1994-05-01
978.0,864.0,CANADA,EAST,EDUCATION,OFFICE,DESK,2.0,1994.0,1994-06-01
20.0,337.0,CANADA,EAST,EDUCATION,OFFICE,DESK,3.0,1994.0,1994-07-01
298.0,95.0,CANADA,EAST,EDUCATION,OFFICE,DESK,3.0,1994.0,1994-08-01
193.0,535.0,CANADA,EAST,EDUCATION,OFFICE,DESK,3.0,1994.0,1994-09-01
336.0,191.0,CANADA,EAST,EDUCATION,OFFICE,DESK,4.0,1994.0,1994-10-01
617.0,412.0,CANADA,EAST,EDUCATION,OFFICE,DESK,4.0,1994.0,1994-11-01
709.0,711.0,CANADA,EAST,EDUCATION,OFFICE,DESK,4.0,1994.0,1994-12-01
5.0,425.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,1.0,1993.0,1993-01-01
164.0,215.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,1.0,1993.0,1993-02-01
422.0,948.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,1.0,1993.0,1993-03-01
424.0,544.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,2.0,1993.0,1993-04-01
854.0,764.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,2.0,1993.0,1993-05-01
168.0,446.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,2.0,1993.0,1993-06-01
8.0,957.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,3.0,1993.0,1993-07-01
748.0,967.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,3.0,1993.0,1993-08-01
682.0,11.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,3.0,1993.0,1993-09-01
300.0,110.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,4.0,1993.0,1993-10-01
672.0,263.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,4.0,1993.0,1993-11-01
894.0,215.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,4.0,1993.0,1993-12-01
944.0,965.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,1.0,1994.0,1994-01-01
403.0,423.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,1.0,1994.0,1994-02-01
596.0,753.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,1.0,1994.0,1994-03-01
481.0,770.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,2.0,1994.0,1994-04-01
503.0,263.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,2.0,1994.0,1994-05-01
126.0,79.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,2.0,1994.0,1994-06-01
721.0,441.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,3.0,1994.0,1994-07-01
271.0,858.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,3.0,1994.0,1994-08-01
721.0,667.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,3.0,1994.0,1994-09-01
157.0,193.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,4.0,1994.0,1994-10-01
991.0,394.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,4.0,1994.0,1994-11-01
499.0,680.0,CANADA,EAST,CONSUMER,FURNITURE,SOFA,4.0,1994.0,1994-12-01
284.0,414.0,CANADA,EAST,CONSUMER,FURNITURE,BED,1.0,1993.0,1993-01-01
705.0,770.0,CANADA,EAST,CONSUMER,FURNITURE,BED,1.0,1993.0,1993-02-01
737.0,679.0,CANADA,EAST,CONSUMER,FURNITURE,BED,1.0,1993.0,1993-03-01
745.0,7.0,CANADA,EAST,CONSUMER,FURNITURE,BED,2.0,1993.0,1993-04-01
633.0,713.0,CANADA,EAST,CONSUMER,FURNITURE,BED,2.0,1993.0,1993-05-01
983.0,851.0,CANADA,EAST,CONSUMER,FURNITURE,BED,2.0,1993.0,1993-06-01
591.0,944.0,CANADA,EAST,CONSUMER,FURNITURE,BED,3.0,1993.0,1993-07-01
42.0,130.0,CANADA,EAST,CONSUMER,FURNITURE,BED,3.0,1993.0,1993-08-01
771.0,485.0,CANADA,EAST,CONSUMER,FURNITURE,BED,3.0,1993.0,1993-09-01
465.0,23.0,CANADA,EAST,CONSUMER,FURNITURE,BED,4.0,1993.0,1993-10-01
296.0,193.0,CANADA,EAST,CONSUMER,FURNITURE,BED,4.0,1993.0,1993-11-01
890.0,7.0,CANADA,EAST,CONSUMER,FURNITURE,BED,4.0,1993.0,1993-12-01
312.0,919.0,CANADA,EAST,CONSUMER,FURNITURE,BED,1.0,1994.0,1994-01-01
777.0,768.0,CANADA,EAST,CONSUMER,FURNITURE,BED,1.0,1994.0,1994-02-01
364.0,854.0,CANADA,EAST,CONSUMER,FURNITURE,BED,1.0,1994.0,1994-03-01
601.0,411.0,CANADA,EAST,CONSUMER,FURNITURE,BED,2.0,1994.0,1994-04-01
823.0,736.0,CANADA,EAST,CONSUMER,FURNITURE,BED,2.0,1994.0,1994-05-01
847.0,10.0,CANADA,EAST,CONSUMER,FURNITURE,BED,2.0,1994.0,1994-06-01
490.0,311.0,CANADA,EAST,CONSUMER,FURNITURE,BED,3.0,1994.0,1994-07-01
387.0,348.0,CANADA,EAST,CONSUMER,FURNITURE,BED,3.0,1994.0,1994-08-01
688.0,458.0,CANADA,EAST,CONSUMER,FURNITURE,BED,3.0,1994.0,1994-09-01
650.0,195.0,CANADA,EAST,CONSUMER,FURNITURE,BED,4.0,1994.0,1994-10-01
447.0,658.0,CANADA,EAST,CONSUMER,FURNITURE,BED,4.0,1994.0,1994-11-01
91.0,704.0,CANADA,EAST,CONSUMER,FURNITURE,BED,4.0,1994.0,1994-12-01
197.0,807.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,1.0,1993.0,1993-01-01
51.0,861.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,1.0,1993.0,1993-02-01
570.0,873.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,1.0,1993.0,1993-03-01
423.0,933.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,2.0,1993.0,1993-04-01
524.0,355.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,2.0,1993.0,1993-05-01
416.0,794.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,2.0,1993.0,1993-06-01
789.0,645.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,3.0,1993.0,1993-07-01
551.0,700.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,3.0,1993.0,1993-08-01
400.0,831.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,3.0,1993.0,1993-09-01
361.0,800.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,4.0,1993.0,1993-10-01
189.0,830.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,4.0,1993.0,1993-11-01
554.0,828.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,4.0,1993.0,1993-12-01
585.0,12.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,1.0,1994.0,1994-01-01
281.0,501.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,1.0,1994.0,1994-02-01
629.0,914.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,1.0,1994.0,1994-03-01
43.0,685.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,2.0,1994.0,1994-04-01
533.0,755.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,2.0,1994.0,1994-05-01
882.0,708.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,2.0,1994.0,1994-06-01
790.0,595.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,3.0,1994.0,1994-07-01
600.0,32.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,3.0,1994.0,1994-08-01
148.0,49.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,3.0,1994.0,1994-09-01
237.0,727.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,4.0,1994.0,1994-10-01
488.0,239.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,4.0,1994.0,1994-11-01
457.0,273.0,CANADA,EAST,CONSUMER,OFFICE,TABLE,4.0,1994.0,1994-12-01
401.0,986.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,1.0,1993.0,1993-01-01
181.0,544.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,1.0,1993.0,1993-02-01
995.0,182.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,1.0,1993.0,1993-03-01
120.0,197.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,2.0,1993.0,1993-04-01
119.0,435.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,2.0,1993.0,1993-05-01
319.0,974.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,2.0,1993.0,1993-06-01
333.0,524.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,3.0,1993.0,1993-07-01
923.0,688.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,3.0,1993.0,1993-08-01
634.0,750.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,3.0,1993.0,1993-09-01
493.0,155.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,4.0,1993.0,1993-10-01
461.0,860.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,4.0,1993.0,1993-11-01
304.0,102.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,4.0,1993.0,1993-12-01
641.0,425.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,1.0,1994.0,1994-01-01
992.0,224.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,1.0,1994.0,1994-02-01
202.0,408.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,1.0,1994.0,1994-03-01
770.0,524.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,2.0,1994.0,1994-04-01
202.0,816.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,2.0,1994.0,1994-05-01
14.0,515.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,2.0,1994.0,1994-06-01
134.0,793.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,3.0,1994.0,1994-07-01
977.0,460.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,3.0,1994.0,1994-08-01
174.0,732.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,3.0,1994.0,1994-09-01
429.0,435.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,4.0,1994.0,1994-10-01
514.0,38.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,4.0,1994.0,1994-11-01
784.0,616.0,CANADA,EAST,CONSUMER,OFFICE,CHAIR,4.0,1994.0,1994-12-01
973.0,225.0,CANADA,EAST,CONSUMER,OFFICE,DESK,1.0,1993.0,1993-01-01
511.0,402.0,CANADA,EAST,CONSUMER,OFFICE,DESK,1.0,1993.0,1993-02-01
30.0,697.0,CANADA,EAST,CONSUMER,OFFICE,DESK,1.0,1993.0,1993-03-01
895.0,567.0,CANADA,EAST,CONSUMER,OFFICE,DESK,2.0,1993.0,1993-04-01
557.0,231.0,CANADA,EAST,CONSUMER,OFFICE,DESK,2.0,1993.0,1993-05-01
282.0,372.0,CANADA,EAST,CONSUMER,OFFICE,DESK,2.0,1993.0,1993-06-01
909.0,15.0,CANADA,EAST,CONSUMER,OFFICE,DESK,3.0,1993.0,1993-07-01
276.0,866.0,CANADA,EAST,CONSUMER,OFFICE,DESK,3.0,1993.0,1993-08-01
234.0,452.0,CANADA,EAST,CONSUMER,OFFICE,DESK,3.0,1993.0,1993-09-01
479.0,663.0,CANADA,EAST,CONSUMER,OFFICE,DESK,4.0,1993.0,1993-10-01
782.0,982.0,CANADA,EAST,CONSUMER,OFFICE,DESK,4.0,1993.0,1993-11-01
755.0,813.0,CANADA,EAST,CONSUMER,OFFICE,DESK,4.0,1993.0,1993-12-01
689.0,523.0,CANADA,EAST,CONSUMER,OFFICE,DESK,1.0,1994.0,1994-01-01
496.0,871.0,CANADA,EAST,CONSUMER,OFFICE,DESK,1.0,1994.0,1994-02-01
24.0,511.0,CANADA,EAST,CONSUMER,OFFICE,DESK,1.0,1994.0,1994-03-01
379.0,819.0,CANADA,EAST,CONSUMER,OFFICE,DESK,2.0,1994.0,1994-04-01
441.0,525.0,CANADA,EAST,CONSUMER,OFFICE,DESK,2.0,1994.0,1994-05-01
49.0,13.0,CANADA,EAST,CONSUMER,OFFICE,DESK,2.0,1994.0,1994-06-01
243.0,694.0,CANADA,EAST,CONSUMER,OFFICE,DESK,3.0,1994.0,1994-07-01
295.0,782.0,CANADA,EAST,CONSUMER,OFFICE,DESK,3.0,1994.0,1994-08-01
395.0,839.0,CANADA,EAST,CONSUMER,OFFICE,DESK,3.0,1994.0,1994-09-01
929.0,461.0,CANADA,EAST,CONSUMER,OFFICE,DESK,4.0,1994.0,1994-10-01
997.0,303.0,CANADA,EAST,CONSUMER,OFFICE,DESK,4.0,1994.0,1994-11-01
889.0,421.0,CANADA,EAST,CONSUMER,OFFICE,DESK,4.0,1994.0,1994-12-01
72.0,421.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,1.0,1993.0,1993-01-01
926.0,433.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,1.0,1993.0,1993-02-01
850.0,394.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,1.0,1993.0,1993-03-01
826.0,338.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,2.0,1993.0,1993-04-01
651.0,764.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,2.0,1993.0,1993-05-01
854.0,216.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,2.0,1993.0,1993-06-01
899.0,96.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,3.0,1993.0,1993-07-01
309.0,550.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,3.0,1993.0,1993-08-01
943.0,636.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,3.0,1993.0,1993-09-01
138.0,427.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,4.0,1993.0,1993-10-01
99.0,652.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,4.0,1993.0,1993-11-01
270.0,478.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,4.0,1993.0,1993-12-01
862.0,18.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,1.0,1994.0,1994-01-01
574.0,40.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,1.0,1994.0,1994-02-01
359.0,453.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,1.0,1994.0,1994-03-01
958.0,987.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,2.0,1994.0,1994-04-01
791.0,26.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,2.0,1994.0,1994-05-01
284.0,101.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,2.0,1994.0,1994-06-01
190.0,969.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,3.0,1994.0,1994-07-01
527.0,492.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,3.0,1994.0,1994-08-01
112.0,263.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,3.0,1994.0,1994-09-01
271.0,593.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,4.0,1994.0,1994-10-01
643.0,923.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,4.0,1994.0,1994-11-01
554.0,146.0,CANADA,WEST,EDUCATION,FURNITURE,SOFA,4.0,1994.0,1994-12-01
211.0,305.0,CANADA,WEST,EDUCATION,FURNITURE,BED,1.0,1993.0,1993-01-01
368.0,318.0,CANADA,WEST,EDUCATION,FURNITURE,BED,1.0,1993.0,1993-02-01
778.0,417.0,CANADA,WEST,EDUCATION,FURNITURE,BED,1.0,1993.0,1993-03-01
808.0,623.0,CANADA,WEST,EDUCATION,FURNITURE,BED,2.0,1993.0,1993-04-01
46.0,761.0,CANADA,WEST,EDUCATION,FURNITURE,BED,2.0,1993.0,1993-05-01
466.0,272.0,CANADA,WEST,EDUCATION,FURNITURE,BED,2.0,1993.0,1993-06-01
18.0,988.0,CANADA,WEST,EDUCATION,FURNITURE,BED,3.0,1993.0,1993-07-01
